area,frequency
Animal Science and Zoology,34025
"Ecology, Evolution, Behavior and Systematics",33809
Electrical and Electronic Engineering,32955
Agronomy and Crop Science,29814
General Medicine,29492
"Public Health, Environmental and Occupational Health",28027
Plant Science,27323
Food Science,26452
General Chemistry,26401
Computer Science Applications,26339
General Materials Science,23771
Condensed Matter Physics,23179
Biochemistry,22133
Multidisciplinary,21537
Computer Networks and Communications,21517
General Agricultural and Biological Sciences,21094
General Veterinary,20537
Mechanical Engineering,20388
Infectious Diseases,20170
Education,19624
Software,19385
Molecular Biology,18879
Energy Engineering and Power Technology,18262
Surgery,17974
Ecology,16645
General Engineering,16490
General Physics and Astronomy,16395
General Computer Science,16272
Genetics,15775
General Dentistry,15493
General Chemical Engineering,15457
Mechanics of Materials,15224
General Environmental Science,15193
"Renewable Energy, Sustainability and the Environment",15148
"Geography, Planning and Development",15084
Pollution,15061
Aquatic Science,14692
Industrial and Manufacturing Engineering,14624
Artificial Intelligence,14348
"Electronic, Optical and Magnetic Materials",13763
Applied Mathematics,13509
Physical and Theoretical Chemistry,13238
Organic Chemistry,13112
Analytical Chemistry,13017
Materials Chemistry,12984
Control and Systems Engineering,12395
Orthopedics and Sports Medicine,12300
Neurology (clinical),12218
"General Biochemistry, Genetics and Molecular Biology",11797
"Management, Monitoring, Policy and Law",11532
Pharmacology,11329
Microbiology,11211
Information Systems,11158
"Physical Therapy, Sports Therapy and Rehabilitation",11150
General Nursing,10756
Environmental Engineering,10656
Environmental Chemistry,10645
Microbiology (medical),10593
Biotechnology,10558
Cardiology and Cardiovascular Medicine,10382
"Atomic and Molecular Physics, and Optics",10036
Physiology,9852
Waste Management and Disposal,9758
Instrumentation,9653
Forestry,9647
Immunology,9636
Psychiatry and Mental Health,9620
"Health, Toxicology and Mutagenesis",9603
Cell Biology,9463
Hardware and Architecture,9369
Nutrition and Dietetics,9256
Sociology and Political Science,9123
Water Science and Technology,9056
Parasitology,8993
Insect Science,8974
General Social Sciences,8892
General Mathematics,8773
Control and Optimization,8712
"Safety, Risk, Reliability and Quality",8528
Soil Science,8528
"Endocrinology, Diabetes and Metabolism",8468
Civil and Structural Engineering,8308
Medicine (miscellaneous),8211
General Psychology,8196
Oncology,8128
Geology,8039
Modeling and Simulation,8008
Drug Discovery,7947
Health (social science),7806
"Pediatrics, Perinatology and Child Health",7725
Health Policy,7667
Toxicology,7545
Earth-Surface Processes,7389
Theoretical Computer Science,7331
Biomedical Engineering,7317
"Radiology, Nuclear Medicine and Imaging",7274
Immunology and Allergy,7160
Nature and Landscape Conservation,7147
Otorhinolaryngology,7142
Computer Vision and Pattern Recognition,7116
Bioengineering,7073
Horticulture,7036
Molecular Medicine,7035
Business and International Management,7011
Pharmaceutical Science,6985
Spectroscopy,6978
Nuclear and High Energy Physics,6877
"Surfaces, Coatings and Films",6839
Human-Computer Interaction,6820
Strategy and Management,6813
Signal Processing,6753
Space and Planetary Science,6636
Astronomy and Astrophysics,6626
Dermatology,6513
Management Science and Operations Research,6497
Polymers and Plastics,6413
Neurology,6371
Pharmacology (medical),6202
Obstetrics and Gynecology,6112
General Neuroscience,6047
History,6028
General Earth and Planetary Sciences,5938
Management of Technology and Innovation,5910
Biophysics,5777
Information Systems and Management,5680
Environmental Science (miscellaneous),5622
Inorganic Chemistry,5377
Statistics and Probability,5374
Building and Construction,5370
Physiology (medical),5353
Cancer Research,5337
Oceanography,5303
Atmospheric Science,5302
Economics and Econometrics,5301
Ceramics and Composites,5018
Fuel Technology,5000
Catalysis,4987
Law,4936
Oral Surgery,4932
"General Economics, Econometrics and Finance",4911
Applied Microbiology and Biotechnology,4848
Aerospace Engineering,4814
Agricultural and Biological Sciences (miscellaneous),4804
Metals and Alloys,4792
Process Chemistry and Technology,4744
Endocrinology,4743
Geophysics,4628
Clinical Biochemistry,4621
Language and Linguistics,4595
Epidemiology,4590
Rehabilitation,4568
Engineering (miscellaneous),4547
Cultural Studies,4499
Biomaterials,4497
"General Business, Management and Accounting",4457
"General Pharmacology, Toxicology and Pharmaceutics",4338
Pathology and Forensic Medicine,4325
General Immunology and Microbiology,4241
Pulmonary and Respiratory Medicine,4219
Virology,4174
Geotechnical Engineering and Engineering Geology,4070
Communication,3934
Linguistics and Language,3897
Library and Information Sciences,3837
Physics and Astronomy (miscellaneous),3826
Social Sciences (miscellaneous),3820
Ophthalmology,3756
Statistical and Nonlinear Physics,3625
Geochemistry and Petrology,3589
Automotive Engineering,3566
Hematology,3528
Gastroenterology,3506
Cellular and Molecular Neuroscience,3444
Anthropology,3430
Computational Theory and Mathematics,3409
Computational Mathematics,3366
Biological Psychiatry,3352
Philosophy,3318
Analysis,3300
Complementary and Alternative Medicine,3281
Computer Graphics and Computer-Aided Design,3189
General Energy,3094
Genetics (clinical),3060
Ocean Engineering,3045
