art_id,art_subtype,art_published_date,src_subject_area,src_subject_macro,src_percentile,ins_maint_id,ins_name,ins_category,ins_country,aut_id
2-s2.0-84951935294,Article,2015-12-30,Medicine (miscellaneous),MEDI,83,15715,Universidade de São Paulo,Publica,Brazil,56862304200
2-s2.0-84951935294,Article,2015-12-30,Medicine (miscellaneous),MEDI,83,15715,Universidade de São Paulo,Publica,Brazil,16241649700
2-s2.0-84951935294,Article,2015-12-30,Medicine (miscellaneous),MEDI,83,15715,Universidade de São Paulo,Publica,Brazil,54400149800
2-s2.0-84951935294,Article,2015-12-30,Medicine (miscellaneous),MEDI,83,15715,Universidade de São Paulo,Publica,Brazil,6506627898
2-s2.0-84951935294,Article,2015-12-30,Medicine (miscellaneous),MEDI,83,15715,Universidade de São Paulo,Publica,Brazil,7006460075
2-s2.0-84951935294,Article,2015-12-30,Nutrition and Dietetics,NURS,74,15715,Universidade de São Paulo,Publica,Brazil,56862304200
2-s2.0-84951935294,Article,2015-12-30,Nutrition and Dietetics,NURS,74,15715,Universidade de São Paulo,Publica,Brazil,16241649700
2-s2.0-84951935294,Article,2015-12-30,Nutrition and Dietetics,NURS,74,15715,Universidade de São Paulo,Publica,Brazil,54400149800
2-s2.0-84951935294,Article,2015-12-30,Nutrition and Dietetics,NURS,74,15715,Universidade de São Paulo,Publica,Brazil,6506627898
2-s2.0-84951935294,Article,2015-12-30,Nutrition and Dietetics,NURS,74,15715,Universidade de São Paulo,Publica,Brazil,7006460075
2-s2.0-84962773076,Article,2015-12-31,Animal Science and Zoology,AGRI,55,15715,Universidade de São Paulo,Publica,Brazil,57188746683
2-s2.0-84962773076,Article,2015-12-31,Animal Science and Zoology,AGRI,55,15715,Universidade de São Paulo,Publica,Brazil,14061025000
2-s2.0-84962773076,Article,2015-12-31,Animal Science and Zoology,AGRI,55,15715,Universidade de São Paulo,Publica,Brazil,35765402200
2-s2.0-84962773076,Article,2015-12-31,Animal Science and Zoology,AGRI,55,15715,Universidade de São Paulo,Publica,Brazil,57188744055
