eid,afid,name,domain,url,variants,match_count
10-s2.0-60069331,60069331,Fleury,fleury.com.br,http://www.fleury.com.br/Pages/Default.aspx,['Fleury'],0
10-s2.0-116087112,116087112,Laboratório de Neuroinfecção,,,['Laboratório de Neuroinfecção'],0
10-s2.0-116186326,116186326,Federal University Hospital of Pará,,,['Federal University Hospital Of Pará'],0
10-s2.0-116188891,116188891,Sao Goncalo Hospital and Clinic,,,['Sao Goncalo Hospital And Clinic'],0
10-s2.0-60069371,60069371,Centro de Ciencias Biologicas da UFPE,ccb.ufpe.br,,['Centro de Ciencias Biologicas da UFPE'],0
10-s2.0-113622059,113622059,Federal University Hospital of Campina Grande,,,"['Federal University Hospital Of Campina Grande', 'Federal University Of Campina Grand']",0
10-s2.0-60101671,60101671,"Instituto Carlos Chagas, Curitiba",,http://www.icc.fiocruz.br/,"['Instituto Carlos Chagas, Curitiba']",0
10-s2.0-110455370,110455370,ABC Federal University (UFABC),,,"['Federal University Of Ufabc', 'Federal University Of Abc–ufabc', 'Abc Federal University (ufabc)', 'Federal University Of The Abc (ufabc)']",0
10-s2.0-113488943,113488943,State University Hospital of Londrina,,,[],0
10-s2.0-60100492,60100492,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,gov.br,https://www.gov.br/capes/pt-br,"['Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, Brazil']",0
10-s2.0-60021980,60021980,Universidade de Pernambuco,upe.br,http://www.upe.br/,[],1
10-s2.0-60013918,60013918,Universidade Federal de Vicosa,ufv.br,https://www.ufv.br/,"['Federal University of Vicosa', 'Universidade Federal de Vicosa', 'Federal University of Viçosa']",1
10-s2.0-117120679,117120679,Red Bull Brazil Football,,,"['Red Bull Brazil Football', 'Red Bull Brazil', 'Red Bull']",0
10-s2.0-60031482,60031482,Universidade Federal de Pernambuco,ufpe.br,http://www.ufpe.br/,"['Universidade Federal de Pernambuco', 'Federal University of Pernambuco']",1
10-s2.0-60022764,60022764,Universidade Federal de Ouro Preto,en.ufop.br,https://en.ufop.br/,"['Federal University of Ouro Preto', 'Universidade Federal de Ouro Preto']",1
10-s2.0-60015786,60015786,Universidade Federal do Maranhão,portalpadrao.ufma.br,https://portalpadrao.ufma.br/,"['Federal University of Maranhao', 'Universidade Federal do Maranhao', 'Federal University of Maranhão (UFMA)', 'Federal University of Maranhão', 'Universidade Federal do Maranhão']",1
10-s2.0-60015043,60015043,Universidade Federal do Parana,ufpr.br,https://www.ufpr.br/portalufpr/,"['Federal University of Parana', 'Universidade Federal do Parana', 'Federal University of Paraná (UFPR)', 'Federal University of Paraná']",1
10-s2.0-60000590,60000590,Universidade Federal de Juiz de Fora,ufjf.br,https://www2.ufjf.br/ufjf/,"['Federal University of Juiz de Fora', 'Universidade Federal de Juiz de Fora', 'Federal University of Juiz de Fora (UFJF)']",1
10-s2.0-101025548,101025548,CNPq,,,[],0
10-s2.0-112471418,112471418,Centro Universitário Metodista Izabela Hendrix,,,"['Centro Universitário Metodista Izabela Hendrix', 'Centro Universitário Metodista Izabela Hendrix- Imih', 'Centro Universitário Izabela Hendrix']",0
10-s2.0-60026686,60026686,Universidade de Cuiaba,unic.br,http://www.unic.br,"['University of Cuiaba', 'Universidade de Cuiaba']",5
10-s2.0-116113636,116113636,Rua Jacobina,,,['Rua Jacobina'],0
10-s2.0-60025299,60025299,Universidade Federal de Itajubá,unifei.edu.br,https://unifei.edu.br/,"['Federal University of Itajubá', 'Universidade Federal de Itajubá']",1
10-s2.0-60028426,60028426,Universidade Federal do Espírito Santo,internacional.ufes.br,https://internacional.ufes.br/en/home,"['Federal University of Espirito Santo', 'Universidade Federal do Espirito Santo', 'Federal University of Espírito Santo', 'Federal University of Espírito Santo (Ufes)', 'Universidade Federal do Espírito Santo']",1
10-s2.0-60029159,60029159,Instituto Nacional de Pesquisas Da Amazonia,gov.br,https://www.gov.br/inpa/pt-br,['Instituto Nacional de Pesquisas Da Amazonia'],0
10-s2.0-60027866,60027866,Universidade Estadual de Londrina,uel.br,http://www.uel.br/portal/english/,"['State University of Londrina', 'Universidade Estadual de Londrina']",1
10-s2.0-101424648,101424648,Brazilian Medical Association,,,[],0
