eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-84948760347,10.1016/j.toxrep.2015.11.007,S2214750015300858,,Evaluation of mutagenic and antimicrobial properties of brown propolis essential oil from the Brazilian Cerrado biome,ar,Article,Fernandes F.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2015-12-31,"December 31, 2015",Toxicology Reports,22147500,21100367469,,Journal,2,,,1482-1488,,,43,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-84952977725,10.1002/adhm.201500604,,26616471,Liposome-Loaded Cell Backpacks,ar,Article,Polak R.,,Universidade de São Paulo;MIT School of Engineering,Sao Paulo;Cambridge,Brazil;United States,,,,,2015-12-30,30 December 2015,Advanced Healthcare Materials,21922640,21100225611,21922659,Journal,4,18,,2832-2841,,,50,0,,,,,
2-s2.0-84951928974,10.1186/s40409-015-0054-3,,,"Lack of association among TNF-α gene expression, -308 polymorphism (G > A) and virulence markers of Helicobacter pylori",ar,Article,Zabaglia L.M.,,Universidade do Sagrado Coracao,Bauru,Brazil,,,,,2015-12-30,"December 30, 2015",Journal of Venomous Animals and Toxins Including Tropical Diseases,16789180,4000152107,16789199,Journal,21,1,54,,,,8,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-84949604217,10.1016/j.ijpharm.2015.09.049,S0378517315302507,26403385,Feasability of a new process to produce fast disintegrating pellets as novel multiparticulate dosage form for pediatric use,ar,Article,Hoang Thi T.H.,,Université de Lille,Lille,France,,,,,2015-12-30,30 December 2015,International Journal of Pharmaceutics,03785173,22454,18733476,Journal,496,2,,842-849,,,12,0,,,,,
2-s2.0-84949580173,10.1016/j.ijpharm.2015.10.059,S0378517315303276,26520406,Bioactivity of noble metal nanoparticles decorated with biopolymers and their application in drug delivery,re,Review,Rai M.,,Sant Gadge Baba Amravati University,Amravati,India,,,,,2015-12-30,30 December 2015,International Journal of Pharmaceutics,03785173,22454,18733476,Journal,496,2,,159-172,,,132,0,,,,,
2-s2.0-84946917634,10.1016/j.jconrel.2015.10.037,S0168365915302042,26497930,Cytotoxicity of PEGylated liposomes co-loaded with novel pro-apoptotic drug NCL-240 and the MEK inhibitor cobimetinib against colon carcinoma in vitro,ar,Article,Sriraman S.K.,,Northeastern University,Boston,United States,,,,,2015-12-28,28 December 2015,Journal of Controlled Release,01683659,23010,18734995,Journal,220,,,160-168,,,25,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-84958679398,10.1016/j.tiv.2015.10.005,S0887233315002568,26475966,Gallic acid reduces the effect of LPS on apoptosis and inhibits the formation of neutrophil extracellular traps,ar,Article,Haute G.V.,,Pontifícia Universidade Católica do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2015-12-25,"December 25, 2015",Toxicology in Vitro,08872333,25224,18793177,Journal,30,1,,309-317,,,42,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-84958661405,10.1016/j.tiv.2015.10.004,S0887233315002556,26482336,Skin sensitizer identification by IL-8 secretion and CD86 expression on THP-1 cells,ar,Article,Parise C.,,Universidade Federal de São Paulo,Sao Paulo,Brazil,,,,,2015-12-25,"December 25, 2015",Toxicology in Vitro,08872333,25224,18793177,Journal,30,1,,318-324,,,12,0,,,,,
2-s2.0-84958655190,10.1016/j.tiv.2015.11.004,S0887233315300047,26556726,"The neuroprotection of cannabidiol against MPP+-induced toxicity in PC12 cells involves trkA receptors, upregulation of axonal and synaptic proteins, neuritogenesis, and might be relevant to Parkinson's disease",ar,Article,Santos N.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2015-12-25,"December 25, 2015",Toxicology in Vitro,08872333,25224,18793177,Journal,30,1,,231-240,,,94,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-84958620505,10.1016/j.tiv.2015.10.012,S0887233315002714,26522230,"Antiproliferative activity of goniothalamin enantiomers involves DNA damage, cell cycle arrest and apoptosis induction in MCF-7 and HB4a cells",ar,Article,Semprebon S.C.,,Universidade Estadual de Londrina,Londrina,Brazil,,,,,2015-12-25,"December 25, 2015",Toxicology in Vitro,08872333,25224,18793177,Journal,30,1,,250-263,,,18,1,all publisherhybridgold repository repositoryvor,All Open Access Hybrid Gold Green,,,
2-s2.0-84958603371,10.1016/j.tiv.2015.11.008,S0887233315300096,26578467,"Effects of the water soluble fraction of gasoline on ZFL cell line: Cytotoxicity, genotoxicity and oxidative stress",ar,Article,Lachner D.,,Universidade Estadual de Londrina,Londrina,Brazil,,,,,2015-12-25,"December 25, 2015",Toxicology in Vitro,08872333,25224,18793177,Journal,30,1,,225-230,,,13,0,,,,,
2-s2.0-84958592985,10.1016/j.tiv.2015.09.020,S0887233315002337,26407526,Protection against oxidative damage in human erythrocytes and preliminary photosafety assessment of Punica granatum seed oil nanoemulsions entrapping polyphenol-rich ethyl acetate fraction,ar,Article,Baccarin T.,,Universitat de Barcelona;Universidade Federal de Santa Catarina,Barcelona;Florianopolis,Spain;Brazil,,,,,2015-12-25,"December 25, 2015",Toxicology in Vitro,08872333,25224,18793177,Journal,30,1,,421-428,,,36,1,all publisherfree2read repository repositoryam,All Open Access Bronze Green,,,
2-s2.0-84947924591,10.1016/j.jep.2015.11.003,S0378874115302038,26549270,Antimutagenicity and induction of antioxidant defense by flavonoid rich extract of Myrcia bella Cambess. in normal and tumor gastric cells,ar,Article,Serpeloni J.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2015-12-24,24 December 2015,Journal of Ethnopharmacology,03788741,23015,18727573,Journal,176,,,345-355,,,29,2,all repository repositoryvor,All Open Access Green,,,
2-s2.0-84947094041,10.1016/j.jep.2015.11.001,S0378874115302026,26549272,"Proliferative effect of plants used for wound healing in Rio Grande do Sul state, Brazil",ar,Article,Alerico G.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2015-12-24,24 December 2015,Journal of Ethnopharmacology,03788741,23015,18727573,Journal,176,,,305-310,,,33,0,,,,,
2-s2.0-84946924796,10.1016/j.jep.2015.10.038,S0378874115301975,26520790,A systematic review of medicinal plants used for weight loss in Brazil: Is there potential for obesity treatment?,re,Review,Cercato L.M.,,Université Fédérale de Sergipe,Sao Cristovao,Brazil,,,,,2015-12-24,24 December 2015,Journal of Ethnopharmacology,03788741,23015,18727573,Journal,176,,,286-296,,,53,0,,,,,
2-s2.0-85091509726,10.1002/9781118930717.ch22,,,Retrospective treatment-outcome as a method of collecting clinical data in ethnopharmacological surveys,ch,Book Chapter,Graz B.,,Université de Lausanne (UNIL),Lausanne,Switzerland,,,,,2015-12-18,18 December 2015,Ethnopharmacology,,21101042914,,Book,,,,251-261,,,3,0,,,,,
2-s2.0-85062716519,10.1002/9781118930717.ch11,,,Anti-infective agents: The example of antibacterial drug leads,ch,Book Chapter,De Macedo M.B.,,Universiteit Antwerpen,Antwerpen,Belgium,,,,,2015-12-18,18 December 2015,Ethnopharmacology,,21101042914,,Book,,,,111-121,,,5,0,,,,,
2-s2.0-84984588961,10.1016/j.tetlet.2015.11.008,S0040403915303166,,"Synthesis, biological evaluation and molecular docking study of 7-amine-spiro[chromeno[4,3-b]quinoline-6,1′-cycloalkanes] as new tacrine hybrids",ar,Article,Bonacorso H.G.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2015-12-16,16 December 2015,Tetrahedron Letters,00404039,26514,18733581,Journal,56,50,,7024-7027,,,18,0,,,,,
2-s2.0-84954348986,10.3390/molecules201219822,,26694337,A nanostructured lipid system as a strategy to improve the in Vitro antibacterial activity of copper(II) complexes,ar,Article,Da Silva P.B.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2015-12-16,16 December 2015,Molecules,,26370,14203049,Journal,20,12,,22534-22545,,,21,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-84950267892,10.2147/IJN.S92638,,26719688,Liquid crystal precursor mucoadhesive system as a strategy to improve the prophylactic action of Syngonanthus nitens (Bong.) Ruhland against infection by Candida krusei,ar,Article,Ramos M.A.d.S.,,School of Pharmaceutical Sciences,Sao Jose do Rio Preto,Brazil,,,,,2015-12-16,16 December 2015,International Journal of Nanomedicine,11769114,7700153108,11782013,Journal,10,,,7455-7466,,,42,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-84929955198,10.1208/s12249-014-0259-8,,25511811,Influence of β-cyclodextrin on the Properties of Norfloxacin Form A,ar,Article,Chierentin L.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2015-12-16,16 December 2015,AAPS Pharmscitech,,19374,15309932,Journal,16,3,,683-691,,,18,2,all repository repositoryvor,All Open Access Green,,,
