eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-84996484136,10.1016/j.gene.2016.10.007,S0378111916308022,27720939,Differential expression of microRNAs from miR-17 family in the cerebellum of mucopolysaccharidosis type I mice,ar,Article,Pereira V.G.,,Universidade Federal de São Paulo,Sao Paulo,Brazil,,,,,2016-12-31,31 December 2016,Gene,03781119,15636,18790038,Journal,595,2,,207-211,,,7,0,,,,,
2-s2.0-85011086332,10.1109/ICCABS.2016.7802767,,,HRVCam: A software for real-time feedback of heart rate and HRV,cp,Conference Paper,Souza P.H.,,Universidade Catolica de Goias,Goiania,Brazil,,,,,2016-12-30,30 December 2016,2016 IEEE 6th International Conference on Computational Advances in Bio and Medical Sciences Iccabs 2016,,21100793736,,Conference Proceeding,,,7802767,,,,5,0,,,,,
2-s2.0-85007486880,10.1186/s13287-016-0448-3,,28038684,LL-37 boosts immunosuppressive function of placenta-derived mesenchymal stromal cells,ar,Article,Oliveira-Bravo M.,,Universidade de Brasília,Brasília,Brazil,,,,,2016-12-30,30 December 2016,Stem Cell Research and Therapy,,19700201524,17576512,Journal,7,1,189,,,,28,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-84990040723,10.1016/j.niox.2016.09.010,S1089860316301082,27693703,Nitric oxide-releasing chitosan nanoparticles alleviate the effects of salt stress in maize plants,ar,Article,Oliveira H.C.,,Universidade Estadual de Londrina,Londrina,Brazil,,,,,2016-12-30,30 December 2016,Nitric Oxide Biology and Chemistry,10898603,14200,10898611,Journal,61,,,10-19,,,169,0,,,,,
2-s2.0-84989339887,10.1016/j.niox.2016.09.009,S1089860316300945,27677584,Nitric oxide levels in patients with diabetes mellitus: A systematic review and meta-analysis,ar,Article,Assmann T.,,Universidade Federal do Rio Grande do Sul;Hospital de Clinicas de Porto Alegre,Porto Alegre;Porto Alegre,Brazil;Brazil,,,,,2016-12-30,30 December 2016,Nitric Oxide Biology and Chemistry,10898603,14200,10898611,Journal,61,,,1-9,,,95,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85015057095,10.1182/blood-2016-09-739433,S0006497120338477,28034870,Screening transplant donors for HTLV-1 and -2,re,Review,Gallo R.C.,,University of Maryland School of Medicine;Global Virus Network,Baltimore;Baltimore,United States;United States,,,,,2016-12-29,29 December 2016,Blood,00064971,25454,15280020,Journal,128,26,,3029-3031,,,40,1,all publisherfree2read repository repositoryvor,All Open Access Bronze Green,,,
2-s2.0-85007420833,10.1186/s13062-016-0171-0,,28031045,"Expansion of the molecular and morphological diversity of Acanthamoebidae (Centramoebida, Amoebozoa) and identification of a novel life cycle type within the group",ar,Article,Tice A.K.,,Mississippi State University;College of Arts & Sciences,Mississippi State;Mississippi State,United States;United States,,,,,2016-12-28,28 December 2016,Biology Direct,,5800173376,17456150,Journal,11,1,69,,,,64,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-84979683980,10.1016/j.nbt.2016.07.016,S1871678416323330,27474110,Improvement in extracellular protease production by the marine antarctic yeast Rhodotorula mucilaginosa L7,ar,Article,Chaud L.C.S.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2016-12-25,25 December 2016,New Biotechnology,18716784,11700154315,18764347,Journal,33,6,,807-814,,,35,2,all repository repositoryvor,All Open Access Green,,,
2-s2.0-84978698121,10.1016/j.nbt.2016.07.003,S1871678416323135,27432195,Deprotonation and protonation of humic acids as a strategy for the technological development of pH-responsive nanoparticles with fungicidal potential,ar,Article,Motta F.L.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2016-12-25,25 December 2016,New Biotechnology,18716784,11700154315,18764347,Journal,33,6,,773-780,,,29,0,,,,,
2-s2.0-85015586754,10.4238/gmr15049228,,28081281,Validation of reference genes for real-time quantitative PCR in tambaqui (Colossoma macropomum),ar,Article,Nascimento A.R.,,Faculdade Estácio do Amazonas,Manaus,Brazil,,,,,2016-12-23,23 December 2016,Genetics and Molecular Research,,22190,16765680,Journal,15,4,gmr15049228,,,,5,2,all repository repositoryvor repositoryam,All Open Access Green,,,
2-s2.0-85010685704,10.4238/gmr15049086,,28081276,Correlation and path analysis of biomass sorghum production,ar,Article,Vendruscolo T.P.S.,,Universidade do Estado de Mato Grosso,Caceres,Brazil,,,,,2016-12-23,23 December 2016,Genetics and Molecular Research,,22190,16765680,Journal,15,4,gmr15049086,,,,11,2,all repository repositoryvor repositoryam,All Open Access Green,,,
2-s2.0-85010651384,10.4238/gmr15049137,,28081278,Population structure of Annona crassiflora: An endemic plant species of the Brazilian Cerrado,ar,Article,Gwinner R.,,Universidade Federal de Lavras,Lavras,Brazil,,,,,2016-12-23,23 December 2016,Genetics and Molecular Research,,22190,16765680,Journal,15,4,gmr15049137,,,,7,0,,,,,
2-s2.0-85007415446,10.1021/acs.jnatprod.6b00492,,28006906,Isolation and Characterization of Cyclotides from Brazilian Psychotria: Significance in Plant Defense and Co-occurrence with Antioxidant Alkaloids,ar,Article,Matsuura H.N.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2016-12-23,23 December 2016,Journal of Natural Products,01633864,23053,15206025,Journal,79,12,,3006-3013,,,17,0,,,,,
2-s2.0-85007271075,10.1021/acs.jmedchem.6b00784,,28002965,In Vitro and in Vivo Anti-Trypanosoma cruzi Activity of New Arylamine Mannich Base-Type Derivatives,ar,Article,Moreno-Viguri E.,,Universidad de Navarra,Pamplona,Spain,,,,,2016-12-22,22 December 2016,Journal of Medicinal Chemistry,00222623,23041,15204804,Journal,59,24,,10929-10945,,,31,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85082358194,10.3390/molecules21121755,,28009846,"Polyphenol Composition, Antioxidant Activity and Cytotoxicity of Seeds from Two Underexploited Wild Licania Species: L. rigida and L. tomentosa",ar,Article,Parra Pessoa I.,,Universidade Federal do Ceará,Fortaleza,Brazil,,,,,2016-12-21,21 December 2016,Molecules Basel Switzerland,,26370,14203049,Journal,21,12,,,,,1,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85021191817,10.3389/fphy.2016.00051,,,Effects of spontaneous symmetry break in the origin of non-analytic behavior of entanglement at quantum phase transitions,ar,Article,Pereira L.J.,,Universidade Federal Fluminense,Niteroi,Brazil,,,,,2016-12-21,21 December 2016,Frontiers in Physics,,21100831025,2296424X,Journal,4,DEC,51,,,,4,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85006870988,10.1021/acsphotonics.6b00607,,,Electrochemical Control of Light Transmission through Nanohole Electrode Arrays,ar,Article,Atighilorestani M.,,University of Victoria,Victoria,Canada,,,,,2016-12-21,21 December 2016,ACS Photonics,,21100368207,23304022,Journal,3,12,,2375-2382,,,16,0,,,,,
2-s2.0-85006867360,10.1038/ncomms13902,,28000667,Folding of xylan onto cellulose fibrils in plant cell walls revealed by solid-state NMR,ar,Article,Simmons T.J.,,University of Cambridge,Cambridge,United Kingdom,,,,,2016-12-21,21 December 2016,Nature Communications,,19700182758,20411723,Journal,7,,13902,,,,342,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85009410544,10.7554/eLife.21394,,27993185,Carbon recovery dynamics following disturbance by selective logging in amazonian forests,ar,Article,Piponiot C.,,CNRS Centre National de la Recherche Scientifique;Université des Antilles;Ecologie des Forêts de Guyane;Forêts et Sociétés,Paris;Pointe-a-Pitre;Kourou;Montpellier,France;France;France;France,,,,,2016-12-20,20 December 2016,Elife,,21100242814,2050084X,Journal,5,DECEMBER2016,e21394,,,,53,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85007143957,10.3390/s16122197,,,Feasibility of a gelatin temperature sensor based on electrical capacitance,ar,Article,Silva F.T.,,Universidade Federal do Rio de Janeiro;Ingénierie des Agropolymères et Technologies Emergentes;Embrapa Agroindústria de Alimentos,Rio de Janeiro;Montpellier;Rio de Janeiro,Brazil;France;Brazil,,,,,2016-12-20,20 December 2016,Sensors Switzerland,14248220,130124,,Journal,16,12,2197,,,,15,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85006833573,10.1016/j.bpj.2016.10.034,S0006349516309936,28002744,Structural and Dynamic Insights of the Interaction between Tritrpticin and Micelles: An NMR Study,ar,Article,Santos T.L.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2016-12-20,20 December 2016,Biophysical Journal,00063495,14859,15420086,Journal,111,12,,2676-2688,,,18,1,all publisherfree2read repository repositoryvor,All Open Access Bronze Green,,,
2-s2.0-85006789253,10.1016/j.bpj.2016.10.032,S0006349516309912,28002737,Heterotypic Coiled-Coil Formation is Essential for the Correct Assembly of the Septin Heterofilament,ar,Article,Sala F.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2016-12-20,20 December 2016,Biophysical Journal,00063495,14859,15420086,Journal,111,12,,2608-2619,,,26,1,all publisherfree2read repository repositoryvor,All Open Access Bronze Green,,,
2-s2.0-85002374698,,,,Individualized moderate aerobic exercise improves physical capacity and prevents weight loss in collagen-induced arthritis,ar,Article,Santo R.C.d.E.,,Universidade Federal do Rio Grande do Sul;Hospital de Clinicas de Porto Alegre,Porto Alegre;Porto Alegre,Brazil;Brazil,,,,,2016-12-20,20 December 2016,International Journal of Clinical and Experimental Medicine,,17600155122,19405901,Journal,9,11,IJCEM0019580,22696-22703,,,1,0,,,,,
2-s2.0-85014847865,10.4238/gmr15048867,,28002585,Association between an ACAN gene variable number tandem repeat polymorphism and lumbar disc herniation: A case control study,ar,Article,Casa N.L.L.,,Universidade Federal de Goiás,Goiania,Brazil,,,,,2016-12-19,19 December 2016,Genetics and Molecular Research,,22190,16765680,Journal,15,4,gmr15048867,,,,9,1,all publisherfree2read,All Open Access Bronze,,,
