eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85044842168,10.1080/23311975.2016.1227232,,,A patient-centric approach to improve health care services,ar,Article,Pergher I.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2016-12-31,31 December 2016,Cogent Business and Management,,21100855822,23311975,Journal,3,1,1227232,,,,6,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85020373030,10.4324/9781315544069,,,Are the multiple social-ecological initiatives the sign of a political and cultural shift?,ch,Book Chapter,Léna P.,,Museum National d'Histoire Naturelle,Paris,France,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,350-353,,,0,0,,,,,
2-s2.0-85020371725,10.4324/9781315544069,,,Collective forest reserves in agrarian reform settlements: Measures to prevent a noncommons tragedy in the Brazilian amazon,ch,Book Chapter,May P.,,Universidade Federal Rural do Rio de Janeiro,Seropedica,Brazil,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,327-349,,,2,0,,,,,
2-s2.0-85020367943,10.4324/9781315544069,,,Brazil in the history of the anthropocene,ch,Book Chapter,Pádua J.A.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,19-40,,,12,0,,,,,
2-s2.0-85020366053,10.4324/9781315544069,,,Environmental policy and governance in Brazil: Challenges and prospects,ch,Book Chapter,de Moura A.M.M.,,Applied Economics Research Institute (IPEA),,Brazil,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,305-326,,,1,0,,,,,
2-s2.0-85020363080,10.4324/9781315544069,,,"Markets or the Commons? The role of indigenous peoples, traditional communities and sectors of the peasantry in the environmental crisis",ch,Book Chapter,Leroy J.P.,,FASE - Federation of Organizations for Social and Educational Assistance,,Brazil,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,103-122,,,2,0,,,,,
2-s2.0-85020360567,10.4324/9781315544069,,,The Amazon before the Brazilian environmental issue,ch,Book Chapter,Loureiro V.R.,,Universidade Federal do Pará,Belem,Brazil,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,62-81,,,0,0,,,,,
2-s2.0-85020359866,10.4324/9781315544069,,,Financing sustainability: Where has all the money gone?,ch,Book Chapter,Dowbor L.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,269-291,,,1,0,,,,,
2-s2.0-85020357007,10.4324/9781315544069,,,Planned disinformation: The example of the Belo Monte Dam as a source of greenhouse gases,ch,Book Chapter,Fearnside P.M.,,National Institute for Research in Amazonia (INPA-Manaus),,Brazil,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,125-142,,,6,0,,,,,
2-s2.0-85020354489,10.4324/9781315544069,,,Anthropocene in Brazil: An inquiry into development obsession and policy limits,ed,Editorial,Léna P.,,Museum National d'Histoire Naturelle,Paris,France,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,1-15,,,2,0,,,,,
2-s2.0-85020349410,10.4324/9781315544069,,,"Deregulation, relocation and environmental conflict: Considerations on the control of social demands in contemporary Brazil",ch,Book Chapter,Acselrad H.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,82-102,,,1,0,,,,,
2-s2.0-85020348151,10.4324/9781315544069,,,Shaping up Brazil's long-term development considering climate change impacts,ch,Book Chapter,Margulis S.,,Brazilian Institute on Applied Economics,,Brazil,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,220-241,,,1,0,,,,,
2-s2.0-85020346240,10.4324/9781315544069,,,"Population, development and environmental degradation in Brazil",ch,Book Chapter,Alves J.E.D.,,National School of Statistical Sciences (ENCE),,Brazil,,,,,2016-12-19,19 December 2016,Brazil in the Anthropocene Conflicts Between Predatory Development and Environmental Policies,,21100817971,,Book,,,,41-61,,,0,0,,,,,
