eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85007571975,10.1103/PhysRevB.94.235160,,,Competing adiabatic Thouless pumps in enlarged parameter spaces,ar,Article,Lopes P.L.E.S.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2016-12-30,30 December 2016,Physical Review B,24699950,21100874236,24699969,Journal,,23,235160,,,,9,1,all publisherfree2read repository repositoryvor repositoryam,All Open Access Bronze Green,,,
2-s2.0-85007499591,10.1186/s12938-016-0290-y,,28038673,Feature visualization and classification for the discrimination between individuals with Parkinson's disease under levodopa and DBS treatments,ar,Article,Machado A.R.P.,,Universidade Federal de Uberlândia,Uberlandia,Brazil,,,,,2016-12-30,30 December 2016,Biomedical Engineering Online,,28586,1475925X,Journal,15,1,169,,,,17,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85094627401,10.5599/jese.326,,,Ellipsometric measurement of thickness of tin oxides grown by voltammetry in phosphate solution of ph 8.7,ar,Article,Costa T.B.,,Universidade Federal Fluminense,Niteroi,Brazil,,,,,2016-12-27,27 December 2016,Journal of Electrochemical Science and Engineering,,21101019609,18479286,Journal,6,4,,303-314,,,1,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85008324993,10.1021/acs.macromol.6b02077,,,"Emitting Species of Poly(3-hexylthiophene): From Single, Isolated Chains to Bulk",ar,Article,Raithel D.,,Bayreuther Instituts für Makromolekülforschung,Bayreuth,Germany,,,,,2016-12-27,27 December 2016,Macromolecules,00249297,21100779404,15205835,Journal,49,24,,9553-9560,,,40,1,all publisherfree2read repository repositoryvor,All Open Access Bronze Green,,,
2-s2.0-85007583166,10.1103/PhysRevB.94.235439,,,Dynamic RKKY interaction between magnetic moments in graphene nanoribbons,ar,Article,Guimarães F.,,Forschungszentrum Jülich GmbH,Julich,Germany,,,,,2016-12-27,27 December 2016,Physical Review B,24699950,21100874236,24699969,Journal,,23,235439,,,,4,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85002050143,10.1016/j.surfcoat.2016.07.096,S0257897216307964,,Low temperature active screen plasma nitriding of 17–4 PH stainless steel,ar,Article,Pinedo C.,,Universidade de Mogi das Cruzes,Mogi das Cruzes,Brazil,,,,,2016-12-25,25 December 2016,Surface and Coatings Technology,02578972,24537,,Journal,308,,,189-194,,,26,0,,,,,
2-s2.0-85000925734,10.1016/j.surfcoat.2016.08.096,S0257897216309215,,Improvement of the properties and the adherence of DLC coatings deposited using a modified pulsed-DC PECVD technique and an additional cathode,ar,Article,Capote G.,,Universidad Nacional de Colombia,Bogota,Colombia,,,,,2016-12-25,25 December 2016,Surface and Coatings Technology,02578972,24537,,Journal,308,,,70-79,,,45,0,,,,,
2-s2.0-84995902304,10.1016/j.surfcoat.2016.07.108,S0257897216309136,,Modeling intrinsic residual stresses built-up during growth of nanostructured multilayer NbN/CrN coatings,ar,Article,Araujo J.A.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2016-12-25,25 December 2016,Surface and Coatings Technology,02578972,24537,,Journal,308,,,264-272,,,14,0,,,,,
2-s2.0-84994071231,10.1016/j.surfcoat.2016.07.095,S0257897216307952,,Influence of the surface chemistry-structure relationship on the nanoscale friction of nitrided and post-oxidized iron,ar,Article,Menezes C.,,Universidade de Caxias do Sul,Caxias do Sul,Brazil,,,,,2016-12-25,25 December 2016,Surface and Coatings Technology,02578972,24537,,Journal,308,,,220-225,,,0,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85016160097,10.1021/acs.jpcc.6b10984,,,The structure of borophosphosilicate pure network former glasses studied by multinuclear NMR spectroscopy,ar,Article,Uesbeck T.,,University of Münster,Munster,Germany,,,,,2016-12-23,23 December 2016,Journal of Physical Chemistry C,19327447,5200153123,19327455,Journal,121,3,,1838-1850,,,16,0,,,,,
