eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85114024228,10.1021/acsomega.7b01671,,,Natural Products Chemistry: What's the Next Step?,ed,Editorial,Lopes N.P.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2017-12-31,31 December 2017,ACS Omega,,21100828963,24701343,Journal,2,12,,8794-8795,,,0,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85063350251,10.1021/acsomega.7b01010,,,Electricity on Rubber Surfaces: A New Energy Conversion Effect,ar,Article,Burgo T.A.L.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2017-12-31,31 December 2017,ACS Omega,,21100828963,24701343,Journal,2,12,,8940-8947,,,22,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85042088173,10.1021/acsomega.7b01438,,,"Methyl-β-cyclodextrin inclusion complex with β βcaryophyllene: Preparation, characterization, and improvement of pharmacological activitie",ar,Article,Santos P.S.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2017-12-31,31 December 2017,ACS Omega,,21100828963,24701343,Journal,2,12,,9080-9094,,,48,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85038574229,10.1002/cssc.201701044,,28742268,Carbon Dioxide Capture by Aqueous Ionic Liquid Solutions,ar,Article,Simon N.M.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-12-22,22 December 2017,Chemsuschem,18645631,12000154478,1864564X,Journal,10,24,,4927-4933,,,77,0,,,,,
2-s2.0-85037374437,10.1002/anie.201709309,,29112325,Reduction of Dioxygen by Radical/B(p-C6F4X)3 Pairs to Give Isolable Bis(borane)superoxide Compounds,ar,Article,Tao X.,,University of Münster,Munster,Germany,,,,,2017-12-22,22 December 2017,Angewandte Chemie International Edition,14337851,22687,15213773,Journal,56,52,,16641-16644,,,31,0,,,,,
2-s2.0-85027572561,10.1016/j.seppur.2017.08.021,S1383586617315903,,Dissolved gas separation for engineered anaerobic wastewater systems,re,Review,Heile S.,,Cranfield University;Fachhochschule Osnabrück,Cranfield;Osnabruck,United Kingdom;Germany,,,,,2017-12-22,22 December 2017,Separation and Purification Technology,13835866,14292,18733794,Journal,189,,,405-418,,,57,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85027543248,10.1016/j.seppur.2017.08.028,S1383586617302824,,Demulsification of water-in-crude oil emulsions using single mode and multimode microwave irradiation,ar,Article,Santos D.,,Universidade Tiradentes,Aracaju,Brazil,,,,,2017-12-22,22 December 2017,Separation and Purification Technology,13835866,14292,18733794,Journal,189,,,347-356,,,88,0,,,,,
2-s2.0-85039069882,10.1021/acs.energyfuels.7b02998,,,Energy Assessment of Wood Pyrolysis Coproducts for Drying and Power Generation,ar,Article,Pereira E.G.,,Universidade Federal de Vicosa,Vicosa,Brazil,,,,,2017-12-21,21 December 2017,Energy and Fuels,08870624,29364,15205029,Journal,31,12,,13815-13823,,,5,0,,,,,
2-s2.0-85039041466,10.1021/acs.energyfuels.7b02425,,,Rheology of Tetrahydrofuran Hydrate Slurries,ar,Article,De Lima Silva P.H.,,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2017-12-21,21 December 2017,Energy and Fuels,08870624,29364,15205029,Journal,31,12,,14385-14392,,,26,0,,,,,
2-s2.0-85039040635,10.1021/acs.energyfuels.7b01949,,,Characterization of the Solid Residue and the Liquid Extract Separated by Propane-Induced Crude Oil Fractionation,ar,Article,Khalil De Oliveira M.C.,,Petrobras,Rio de Janeiro,Brazil,,,,,2017-12-21,21 December 2017,Energy and Fuels,08870624,29364,15205029,Journal,31,12,,13198-13214,,,5,0,,,,,
2-s2.0-85038596907,10.1021/acs.energyfuels.7b02847,,,Vibrational Spectroscopy and Thermophysical Properties of Ultralow Sulfur Diesel - Alternative Fuel Binary Blends,ar,Article,Petrucci T.,,Universidade Estadual de Maringá;CANMET Energy Technology Center,Maringa;Ottawa,Brazil;Canada,,,,,2017-12-21,21 December 2017,Energy and Fuels,08870624,29364,15205029,Journal,31,12,,13775-13784,,,3,0,,,,,
2-s2.0-85035749832,10.1016/j.electacta.2017.11.127,S0013468617324891,,Nail polish and carbon powder: An attractive mixture to prepare paper-based electrodes,ar,Article,Pradela-Filho L.,,Universidade Federal do Rio de Janeiro;Universidade Federal de Uberlândia,Rio de Janeiro;Uberlandia,Brazil;Brazil,,,,,2017-12-20,20 December 2017,Electrochimica Acta,00134686,25181,,Journal,258,,,786-792,,,66,0,,,,,
2-s2.0-85032379602,10.1016/j.jbiotec.2017.10.015,S0168165617317108,29106909,A study of bio-hybrid silsesquioxane/yeast: Biosorption and neuronal toxicity of lead,ar,Article,Trama-Freitas B.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2017-12-20,20 December 2017,Journal of Biotechnology,01681656,16078,18734863,Journal,264,,,43-50,,,10,2,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85039760999,10.2147/IJN.S147553,,29296084,Development and characterization of p1025-loaded bioadhesive liquid-crystalline system for the prevention of Streptococcus mutans biofilms,ar,Article,Calixto G.M.F.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2017-12-19,19 December 2017,International Journal of Nanomedicine,11769114,7700153108,11782013,Journal,13,,,31-41,,,19,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85038438022,10.1002/chem.201703643,,28881089,Intra- versus Intermolecular Hydrogen Bonding: Solvent-Dependent Conformational Preferences of a Common Supramolecular Binding Motif from 1H NMR and Vibrational Circular Dichroism Spectra,ar,Article,Demarque D.,,Universidade de São Paulo;Ruhr-Universitat Bochum,Sao Paulo;Bochum,Brazil;Germany,,,,,2017-12-19,19 December 2017,Chemistry A European Journal,09476539,23392,15213765,Journal,23,71,,17915-17922,,,28,0,,,,,
2-s2.0-85035079923,10.1080/10916466.2017.1396608,,,Comparison of calibration curve fitting methods in the determination of H2S mass fractions in natural gas by GC-SCD,ar,Article,Oliveira E.C.,,Pontifícia Universidade Católica do Rio de Janeiro;Petrobras,Rio de Janeiro;Rio de Janeiro,Brazil;Brazil,,,,,2017-12-17,17 December 2017,Petroleum Science and Technology,10916466,13716,15322459,Journal,35,24,,2241-2248,,,5,0,,,,,
2-s2.0-85037674402,10.3791/56291,,29286427,Live imaging followed by single cell tracking to monitor cell biology and the lineage progression of multiple neural populations,ar,Article,Gómez-Villafuertes R.,,Universidad Complutense de Madrid;Hospital Clínico San Carlos;University Institute for Neurochemistry Research (IUIN),Madrid;Madrid;,Spain;Spain;Sweden,,,,,2017-12-16,16 December 2017,Journal of Visualized Experiments,1940087X,19900191993,,Journal,2017,130,e56291,,,,8,0,,,,,
2-s2.0-85045734655,10.4018/978-1-5225-2993-4.ch013,,,Modeling a Predictive Control of Human Locomotion Based on the Dynamic Behavior,ch,Book Chapter,Rosario J.M.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2017-12-15,15 December 2017,Handbook of Research on Biomimetics and Biomedical Robotics,,21100857871,,Book,,,,316-331,,,0,0,,,,,
2-s2.0-85042540314,10.1007/978-3-319-66047-9,,,A Step by Step Approach to the Modeling of Chemical Engineering Processes: Using Excel for Simulation,bk,Book,Ferrareso Lona L.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2017-12-15,15 December 2017,A Step by Step Approach to the Modeling of Chemical Engineering Processes Using Excel for Simulation,,21100853359,,Book,,,,1-173,,,2,0,,,,,
2-s2.0-85034860662,10.1016/j.jelechem.2017.11.004,S1572665717307804,,Effect of lead dioxide high dispersion on titania nanotubes electrodes on the enhanced electrooxidation of aqueous p-nitrophenol and methyl red: An electrode comparative study,ar,Article,Quiroz M.A.,,Universidad de las Américas Puebla,Cholula,Mexico,,,,,2017-12-15,15 December 2017,Journal of Electroanalytical Chemistry,15726657,9500154039,,Journal,807,,,261-267,,,15,0,,,,,
2-s2.0-85034634785,10.1016/j.jelechem.2017.11.013,S1572665717307919,,Sensitive voltammetric determination of hydroxyzine and its main metabolite cetirizine and identification of oxidation products by nuclear magnetic resonance spectroscopy,ar,Article,Lourencao B.C.,,Universidade Federal de São Carlos,Sao Carlos,Brazil,,,,,2017-12-15,15 December 2017,Journal of Electroanalytical Chemistry,15726657,9500154039,,Journal,807,,,187-195,,,22,0,,,,,
2-s2.0-85032963132,10.1016/j.tetasy.2017.10.025,S0957416617304688,,Absolute configuration assignment of caffeic acid ester derivatives from Tithonia diversifolia by vibrational circular dichroism: the pitfalls of deuteration,ar,Article,Ccana-Ccapatinta G.V.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2017-12-15,15 December 2017,Tetrahedron Asymmetry,09574166,26513,1362511X,Journal,28,12,,1823-1828,,,15,0,,,,,
2-s2.0-85031723444,10.1016/j.chemolab.2017.10.002,S0169743917303611,,Evaluation and assessment of homogeneity in images. Part 1: Unique homogeneity percentage for binary images,ar,Article,de Moura França L.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2017-12-15,15 December 2017,Chemometrics and Intelligent Laboratory Systems,01697439,24595,18733239,Journal,171,,,26-39,,,17,0,,,,,
2-s2.0-85031001067,10.1016/j.ceramint.2017.08.214,S0272884217319144,,Macro-porous dolomite hollow fibers sintered at different temperatures toward widened applications,ar,Article,Bessa L.P.,,Universidade Federal de Uberlândia,Uberlandia,Brazil,,,,,2017-12-15,15 December 2017,Ceramics International,02728842,21522,,Journal,43,18,,16283-16291,,,34,0,,,,,
2-s2.0-85029642528,10.1016/j.ceramint.2017.09.104,S0272884217320369,,The role of CaO additive on sintering of aluminum nitride ceramics,ar,Article,Molisani A.,,University Center St. Andrew Foundation,Santo Andre,Brazil,,,,,2017-12-15,15 December 2017,Ceramics International,02728842,21522,,Journal,43,18,,16972-16979,,,48,0,,,,,
2-s2.0-85029590640,10.1016/j.ceramint.2017.09.118,S027288421732045X,,Effect of temperature and heating rate on the sintering performance of SiC-Al2O3-Dy2O3 and SiC-Al2O3-Yb2O3 systems,re,Review,Ribeiro S.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2017-12-15,15 December 2017,Ceramics International,02728842,21522,,Journal,43,18,,16048-16054,,,11,0,,,,,
