eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85050984265,10.1109/CSNET.2017.8242011,,,Message from the TPC chairs,ed,Editorial,Khatoun R.,,Télécom Paris,Palaiseau,France,,,,,2017-12-29,29 December 2017,2017 1st Cyber Security in Networking Conference Csnet 2017,,21100871291,,Conference Proceeding,2017-January,,8242011,1,,,0,0,,,,,
2-s2.0-85050962733,10.1109/CSNET.2017.8242010,,,Message from the general chairs,ed,Editorial,Ghernaouti S.,,Université de Lausanne (UNIL),Lausanne,Switzerland,,,,,2017-12-29,29 December 2017,2017 1st Cyber Security in Networking Conference Csnet 2017,,21100871291,,Conference Proceeding,2017-January,,8242010,1,,,0,0,,,,,
2-s2.0-85050824773,10.1109/CSNET.2017.8241996,,,WIDIP: Wireless distributed IPS for DDoS attacks,cp,Conference Paper,Goncalves J.A.,,Centro Federal De Educacão Tecnológica Celso Suckow Da Fonseca,Rio de Janeiro,Brazil,,,,,2017-12-29,29 December 2017,2017 1st Cyber Security in Networking Conference Csnet 2017,,21100870834,,Conference Proceeding,2017-January,,,1-3,,,5,0,,,,,
2-s2.0-85050801924,10.1109/CSNET.2017.8241992,,,A cooperative approach for a global intrusion detection system for internet service providers,cp,Conference Paper,Silva R.S.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2017-12-29,29 December 2017,2017 1st Cyber Security in Networking Conference Csnet 2017,,21100870834,,Conference Proceeding,2017-January,,,1-8,,,3,0,,,,,
2-s2.0-85050677531,10.1109/CSNET.2017.8242000,,,A cooperation-aware virtual network function for proactive detection of distributed port scanning,cp,Conference Paper,Sanz I.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2017-12-29,29 December 2017,2017 1st Cyber Security in Networking Conference Csnet 2017,,21100871291,,Conference Proceeding,2017-January,,8242000,1-8,,,4,0,,,,,
2-s2.0-85050658071,10.1109/CSNET.2017.8241999,,,Collecting and characterizing a real broadband access network traffic dataset,cp,Conference Paper,Lopez M.A.,,Universidade Federal do Rio de Janeiro;Laboratoire d'Informatique de Paris 6,Rio de Janeiro;Paris,Brazil;France,,,,,2017-12-29,29 December 2017,2017 1st Cyber Security in Networking Conference Csnet 2017,,21100871291,,Conference Proceeding,2017-January,,8241999,1-8,,,18,0,,,,,
2-s2.0-85046680434,10.1109/CSNET.2017.8241993,,,An approach for secure edge computing in the Internet of Things,cp,Conference Paper,Endler M.,,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2017-12-29,29 December 2017,2017 1st Cyber Security in Networking Conference Csnet 2017,,21100870834,,Conference Proceeding,2017-January,,,1-8,,,8,0,,,,,
2-s2.0-85038822535,10.1038/sdata.2017.192,,29257125,Data Descriptor: Automatized image processing of bovine blastocysts produced in vitro for quantitative variable determination,ar,Article,Rocha J.C.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2017-12-19,19 December 2017,Scientific Data,,21100451321,20524463,Journal,4,,170192,,,,23,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85021184338,10.1016/j.ejor.2017.06.001,S0377221717305180,,Balancing a robotic spot welding manufacturing line: An industrial case study,ar,Article,Lopes T.C.,,Universidade Tecnológica Federal do Paraná,Curitiba,Brazil,,,,,2017-12-16,16 December 2017,European Journal of Operational Research,03772217,22489,,Journal,263,3,,1033-1048,,,66,0,,,,,
2-s2.0-85031330341,10.1016/j.knosys.2017.09.035,S0950705117304562,,A new visualization method in many-objective optimization with chord diagram and angular mapping,ar,Article,Koochaksaraei R.H.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2017-12-15,15 December 2017,Knowledge Based Systems,09507051,24772,,Journal,138,,,134-154,,,42,0,,,,,
2-s2.0-85039790890,10.1088/1742-5468/aa9680,,,A strong invariance principle for the elephant random walk,ar,Article,Coletti C.F.,,Universidade Federal do ABC,Santo Andre,Brazil,,,,,2017-12-14,14 December 2017,Journal of Statistical Mechanics Theory and Experiment,,145274,17425468,Journal,2017,12,123207,,,,42,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85039793068,10.1088/1742-5468/aa9a67,,,Critical behavior of the 2D Ising model modulated by the Octonacci sequence,ar,Article,Alves G.A.,,Universidade Estadual do Piaui,Teresina,Brazil,,,,,2017-12-12,12 December 2017,Journal of Statistical Mechanics Theory and Experiment,,145274,17425468,Journal,2017,12,123302,,,,1,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85039793831,10.1088/1742-5468/aa9a5a,,,Effects of monomer size on polymer mass transport at a crystalline interface,ar,Article,Cadilhe A.,,Universidade Federal da Bahia,Salvador,Brazil,,,,,2017-12-11,11 December 2017,Journal of Statistical Mechanics Theory and Experiment,,145274,17425468,Journal,2017,12,123301,,,,1,0,,,,,
2-s2.0-85006853538,10.1080/02664763.2016.1267116,,,A clustering cure rate model with application to a sealant study,ar,Article,Gallardo D.I.,,Universidad de Antofagasta,Antofagasta,Chile,,,,,2017-12-10,10 December 2017,Journal of Applied Statistics,02664763,12119,13600532,Journal,44,16,,2949-2962,,,2,0,,,,,
2-s2.0-85006289173,10.1080/02664763.2016.1267124,,,Estimation and diagnostic for skew-normal partially linear models,ar,Article,Ferreira C.S.,,Universidade Federal de Juiz de Fora,Juiz de Fora,Brazil,,,,,2017-12-10,10 December 2017,Journal of Applied Statistics,02664763,12119,13600532,Journal,44,16,,3033-3053,,,17,0,,,,,
2-s2.0-85046695772,10.1109/CIC.2017.00055,,,Dependency Management with WED-flow Techniques and Tools: A Case Study,cp,Conference Paper,Ferreira J.E.,,Universidade de São Paulo;Georgia Institute of Technology,Sao Paulo;Atlanta,Brazil;United States,,,,,2017-12-09,9 December 2017,Proceedings 2017 IEEE 3rd International Conference on Collaboration and Internet Computing Cic 2017,,21100859927,,Conference Proceeding,2017-January,,,379-388,,,1,0,,,,,
2-s2.0-85037140144,10.1038/sdata.2017.180,,29206220,"Data Descriptor: MatchingLand, geospatial data testbed for the assessment of matching methods",ar,Article,Xavier E.M.A.,,Brazilian Army Geographic Service,Brasilia,Brazil,,,,,2017-12-05,5 December 2017,Scientific Data,,21100451321,20524463,Journal,4,,170180,,,,7,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85014521289,10.1080/02331934.2017.1295045,,,A co-opetitive framework for the hub location problems in transportation networks,ar,Article,Neamatian Monemi R.,,University of Southampton,Southampton,United Kingdom,,,,,2017-12-02,2 December 2017,Optimization,02331934,27989,10294945,Journal,66,12,,2089-2106,,,18,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-84966707624,10.1080/02331934.2016.1182528,,,A modified projection algorithm for constrained equilibrium problems,ar,Article,Santos P.S.M.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2017-12-02,2 December 2017,Optimization,02331934,27989,10294945,Journal,66,12,,2051-2062,,,8,0,,,,,
2-s2.0-85074714827,10.1007/s40808-017-0376-y,,,An ensemble of spatially explicit land-cover model projections: prospects and challenges to retrospectively evaluate deforestation policy,ar,Article,Bradley A.V.,,Imperial College London,London,United Kingdom,,,,,2017-12-01,1 December 2017,Modeling Earth Systems and Environment,23636203,21100981415,23636211,Journal,3,4,,1215-1228,,,11,0,,,,,
2-s2.0-85070914671,10.3390/data2040037,,,"Regionalization of a landscape-based hazard index of malaria transmission: An example of the state of Amapá, Brazil",ar,Article,Li Z.,,"Tsinghua University;Observation Spatiale, Modèles & Science Impliquée",Beijing;Montpellier,China;France,,,,,2017-12-01,December 2017,Data,,21100924372,23065729,Journal,2,4,37,,,,3,0,,,,,
2-s2.0-85062732296,10.1007/s40863-017-0068-6,,,On the separability of the partial skew groupoid ring,ar,Article,Bagio D.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2017-12-01,1 December 2017,Sao Paulo Journal of Mathematical Sciences,19826907,21100901061,23169028,Journal,11,2,,370-384,,,7,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85062729824,10.1007/s40863-017-0069-5,,,Non-abelian tensor product of residually finite groups,ar,Article,Bastos R.,,Universidade de Brasília,Brasília,Brazil,,,,,2017-12-01,1 December 2017,Sao Paulo Journal of Mathematical Sciences,19826907,21100901061,23169028,Journal,11,2,,361-369,,,2,2,all repository repositoryam,All Open Access Green,,,
