eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85063594477,10.1525/cse.2017.000471,,,Thermoelectric power plant for compensation of hydrological cycle change: Environmental impacts in Brazil,ar,Article,Rosa Mendes L.F.,,"Instituto Federal de Educação, Ciência e Tecnologia Fluminense – IFFluminense",Campos dos Goitacazes,Brazil,,,,,2017-12-31,31 December 2017,Case Studies in the Environment,,21101042191,24739510,Journal,1,1,,,,,13,0,,,,,
2-s2.0-85040114495,10.1021/acs.jpcc.7b10295,,,High-Pressure Effect in Vis-NIR Emission of Sm3+-Doped GeO2-PbO Glasses,ar,Article,Herrera A.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-12-28,28 December 2017,Journal of Physical Chemistry C,19327447,5200153123,19327455,Journal,121,51,,28475-28483,,,16,0,,,,,
2-s2.0-85039719742,10.1186/s13068-017-0999-2,,,Enhanced rates of enzymatic saccharification and catalytic synthesis of biofuel substrates in gelatinized cellulose generated by trifluoroacetic acid,ar,Article,Shiga T.M.,,Universidade de São Paulo;College of Agriculture,Sao Paulo;West Lafayette,Brazil;United States,,,,,2017-12-27,27 December 2017,Biotechnology for Biofuels,17546834,11700154702,,Journal,10,1,310,,,,23,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85045936913,10.23919/AEIT.2017.8240553,,,COLLEGA semantic middleware for collaborative assistance in mobile social networks,cp,Conference Paper,Hasse D.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2017-12-26,26 December 2017,2017 Aeit International Annual Conference Infrastructures for Energy and ICT Opportunities for Fostering Innovation Aeit 2017,,21100858105,,Conference Proceeding,2017-January,,,1-6,,,1,0,,,,,
2-s2.0-85047765608,10.1109/GHTC.2017.8239224,,,Spatial data in the Global South: A case study of alternative land management tools for cities with limited resources,cp,Conference Paper,Perez L.P.,,Universidade Federal do ABC,Santo Andre,Brazil,,,,,2017-12-22,22 December 2017,Ghtc 2017 IEEE Global Humanitarian Technology Conference Proceedings,,21100862465,,Conference Proceeding,2017-January,,,1-10,,,7,0,,,,,
2-s2.0-85047478626,10.1109/GHTC.2017.8239290,,,Precision agriculture using remote monitoring systems in Brazil,cp,Conference Paper,Maia R.F.,,Centro Universitario da FEI,Sao Paulo,Brazil,,,,,2017-12-22,22 December 2017,Ghtc 2017 IEEE Global Humanitarian Technology Conference Proceedings,,21100862465,,Conference Proceeding,2017-January,,,1-6,,,66,0,,,,,
2-s2.0-85038574229,10.1002/cssc.201701044,,28742268,Carbon Dioxide Capture by Aqueous Ionic Liquid Solutions,ar,Article,Simon N.M.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-12-22,22 December 2017,Chemsuschem,18645631,12000154478,1864564X,Journal,10,24,,4927-4933,,,77,0,,,,,
2-s2.0-85040783924,10.1049/iet-gtd.2017.0557,,,Stochastic assessment of distributed generation hosting capacity and energy efficiency in active distribution networks,ar,Article,Quijano D.A.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho"";Argonne National Laboratory",Sao Paulo;Lemont,Brazil;United States,,,,,2017-12-21,21 December 2017,Iet Generation Transmission and Distribution,17518687,5400152713,,Journal,11,18,,4617-4625,,,49,2,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85039069882,10.1021/acs.energyfuels.7b02998,,,Energy Assessment of Wood Pyrolysis Coproducts for Drying and Power Generation,ar,Article,Pereira E.G.,,Universidade Federal de Vicosa,Vicosa,Brazil,,,,,2017-12-21,21 December 2017,Energy and Fuels,08870624,29364,15205029,Journal,31,12,,13815-13823,,,5,0,,,,,
2-s2.0-85039041466,10.1021/acs.energyfuels.7b02425,,,Rheology of Tetrahydrofuran Hydrate Slurries,ar,Article,De Lima Silva P.H.,,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2017-12-21,21 December 2017,Energy and Fuels,08870624,29364,15205029,Journal,31,12,,14385-14392,,,26,0,,,,,
2-s2.0-85039040635,10.1021/acs.energyfuels.7b01949,,,Characterization of the Solid Residue and the Liquid Extract Separated by Propane-Induced Crude Oil Fractionation,ar,Article,Khalil De Oliveira M.C.,,Petrobras,Rio de Janeiro,Brazil,,,,,2017-12-21,21 December 2017,Energy and Fuels,08870624,29364,15205029,Journal,31,12,,13198-13214,,,5,0,,,,,
2-s2.0-85038596907,10.1021/acs.energyfuels.7b02847,,,Vibrational Spectroscopy and Thermophysical Properties of Ultralow Sulfur Diesel - Alternative Fuel Binary Blends,ar,Article,Petrucci T.,,Universidade Estadual de Maringá;CANMET Energy Technology Center,Maringa;Ottawa,Brazil;Canada,,,,,2017-12-21,21 December 2017,Energy and Fuels,08870624,29364,15205029,Journal,31,12,,13775-13784,,,3,0,,,,,
2-s2.0-85040160585,10.1016/j.joule.2017.10.006,S2542435117301307,,Design Principles and Top Non-Fullerene Acceptor Candidates for Organic Photovoltaics,ar,Article,Lopez S.A.,,Harvard Faculty of Arts and Sciences,Cambridge,United States,,,,,2017-12-20,20 December 2017,Joule,,21100834904,25424351,Journal,1,4,,857-870,,,181,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85038861901,10.3390/su9122373,,,Dynamic evaluation of the energy efficiency of environments in Brazilian university classrooms using DEA,ar,Article,Bezerra S.d.A.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2017-12-20,20 December 2017,Sustainability Switzerland,,21100240100,20711050,Journal,9,12,2373,,,,19,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85037708389,10.1515/ijeeps-2017-0054,,,A methodology to prevent failure in single pole reclosing operations,ar,Article,Miguel P.,,TgDelta Eng. Consultoria Ltda.,Rio de Janeiro,Brazil,,,,,2017-12-20,20 December 2017,International Journal of Emerging Electric Power Systems,21945756,4000151909,1553779X,Journal,18,6,0054,,,,3,0,,,,,
2-s2.0-85046104630,10.1109/UPEC.2017.8231948,,,Methodology for analysis of energy balance using state estimator and real-time measurements,cp,Conference Paper,Felipe Da Silva A.,,UFSM and Brazil,,Brazil,,,,,2017-12-19,19 December 2017,2017 52nd International Universities Power Engineering Conference Upec 2017,,21100858345,,Conference Proceeding,2017-January,,,1-6,,,0,0,,,,,
2-s2.0-85046104030,10.1109/UPEC.2017.8231925,,,The operational impacts in the distribution network from the energy storage management through the reactive PV inverters dispatch in distributed generation systems,cp,Conference Paper,De Azevedo R.M.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2017-12-19,19 December 2017,2017 52nd International Universities Power Engineering Conference Upec 2017,,21100858345,,Conference Proceeding,2017-January,,,1-6,,,3,0,,,,,
2-s2.0-85046089137,10.1109/UPEC.2017.8231929,,,An integrated approach to forecast programmed and emergency services in electric power utilities,cp,Conference Paper,Ferreira Almeida Da Silva M.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2017-12-19,19 December 2017,2017 52nd International Universities Power Engineering Conference Upec 2017,,21100858345,,Conference Proceeding,2017-January,,,1-4,,,0,0,,,,,
2-s2.0-85046084685,10.1109/UPEC.2017.8232007,,,Methodology for coordination and selectivity of protection devices with reliability assessment,cp,Conference Paper,Boaski M.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2017-12-19,19 December 2017,2017 52nd International Universities Power Engineering Conference Upec 2017,,21100858345,,Conference Proceeding,2017-January,,,1-6,,,4,0,,,,,
2-s2.0-85046082350,10.1109/UPEC.2017.8232021,,,Failure mode and effect analysis applied to power transformers,cp,Conference Paper,Freitag S.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2017-12-19,19 December 2017,2017 52nd International Universities Power Engineering Conference Upec 2017,,21100858345,,Conference Proceeding,2017-January,,,1-6,,,4,0,,,,,
2-s2.0-85046081728,10.1109/UPEC.2017.8231977,,,Intelligent voltage regulator to distributed voltage control in smart grids,cp,Conference Paper,Canha L.N.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2017-12-19,19 December 2017,2017 52nd International Universities Power Engineering Conference Upec 2017,,21100858345,,Conference Proceeding,2017-January,,,1-6,,,6,0,,,,,
2-s2.0-85046074782,10.1109/UPEC.2017.8231946,,,Transformerless micro-inverter for grid-connected photovoltaic systems,cp,Conference Paper,Knabben G.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2017-12-19,19 December 2017,2017 52nd International Universities Power Engineering Conference Upec 2017,,21100858345,,Conference Proceeding,2017-January,,,1-6,,,7,0,,,,,
