eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85040730555,10.1088/1757-899X/278/1/012079,,,Overview of different control strategies for a typical cryogenic warm compressor station at CERN,cp,Conference Paper,Pezzetti M.,,Organisation Européenne pour la Recherche Nucléaire,Geneva,Switzerland,,,,,2017-12-30,30 December 2017,Iop Conference Series Materials Science and Engineering,17578981,19700200831,1757899X,Conference Proceeding,278,1,012079,,,,1,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85030721896,10.1016/j.conbuildmat.2017.09.111,S0950061817319323,,Geopolymers obtained from bottom ash as source of aluminosilicate cured at room temperature,ar,Article,Antunes Boca Santa R.A.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2017-12-30,30 December 2017,Construction and Building Materials,09500618,24443,,Journal,157,,,459-466,,,43,0,,,,,
2-s2.0-85030562124,10.1016/j.conbuildmat.2017.09.181,S0950061817320135,,Recycled cellulose from Tetra Pak packaging as reinforcement of polyester based composites,ar,Article,Martínez-Barrera G.,,Universidad Autónoma del Estado de México,Toluca,Mexico,,,,,2017-12-30,30 December 2017,Construction and Building Materials,09500618,24443,,Journal,157,,,1018-1023,,,20,2,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85029826295,10.1016/j.conbuildmat.2017.09.078,S0950061817318792,,Crack opening prediction at casting joints with a new modified stress-strain law for embedded reinforcement,ar,Article,Díaz de Terán J.R.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2017-12-30,30 December 2017,Construction and Building Materials,09500618,24443,,Journal,157,,,668-675,,,2,0,,,,,
2-s2.0-85029700886,10.1016/j.conbuildmat.2017.09.074,S0950061817318755,,Cementing efficiency of electric arc furnace dust in mortars,ar,Article,da Silva Magalhães M.,,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2017-12-30,30 December 2017,Construction and Building Materials,09500618,24443,,Journal,157,,,141-150,,,50,0,,,,,
2-s2.0-85029693755,10.1016/j.conbuildmat.2017.09.043,S0950061817318457,,Electrolytes’ influence on foamability and foam stability of cement suspensions,ar,Article,Souza M.T.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2017-12-30,30 December 2017,Construction and Building Materials,09500618,24443,,Journal,157,,,363-371,,,19,0,,,,,
2-s2.0-85029678612,10.1016/j.conbuildmat.2017.09.091,S0950061817318925,,Enhancement of strength of coal fly ash–carbide lime blends through chemical and mechanical activation,ar,Article,Consoli N.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-12-30,30 December 2017,Construction and Building Materials,09500618,24443,,Journal,157,,,65-74,,,20,0,,,,,
2-s2.0-85027966367,10.1016/j.eswa.2017.08.023,S0957417417305614,,RDDM: Reactive drift detection method,ar,Article,Barros R.S.M.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2017-12-30,30 December 2017,Expert Systems with Applications,09574174,24201,,Journal,90,,,344-355,,,162,0,,,,,
2-s2.0-85026886346,10.1016/j.eswa.2017.07.050,S0957417417305262,,A class of hybrid multilayer perceptrons for software development effort estimation problems,ar,Article,de A. Araújo R.,,Instituto Federal do Sertão Parnambucano,,Brazil,,,,,2017-12-30,30 December 2017,Expert Systems with Applications,09574174,24201,,Journal,90,,,1-12,,,26,0,,,,,
2-s2.0-85050984265,10.1109/CSNET.2017.8242011,,,Message from the TPC chairs,ed,Editorial,Khatoun R.,,Télécom Paris,Palaiseau,France,,,,,2017-12-29,29 December 2017,2017 1st Cyber Security in Networking Conference Csnet 2017,,21100871291,,Conference Proceeding,2017-January,,8242011,1,,,0,0,,,,,
