eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85005949183,10.1145/3006385,,,Affinity-based thread and data mapping in shared memory systems,ar,Article,Diener M.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-12-31,December 2016,ACM Computing Surveys,03600300,23038,15577341,Journal,49,4,64,,,,33,0,,,,,
2-s2.0-85037547018,10.1002/sim.7456,,29067731,A random-censoring Poisson model for underreported data,ar,Article,de Oliveira G.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2017-12-30,30 December 2017,Statistics in Medicine,02776715,20086,10970258,Journal,36,30,,4873-4892,,,27,0,,,,,
2-s2.0-85039925785,10.1103/PhysRevE.96.062146,,29347450,Quantum phase transition in an effective three-mode model of interacting bosons,ar,Article,Frazão H.M.,,Universidade Federal de Minas Gerais;Universidade Federal do Piauí,Belo Horizonte;Teresina,Brazil;Brazil,,,,,2017-12-28,28 December 2017,Physical Review E,24700045,21100855841,24700053,Journal,96,6,062146,,,,0,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85044295137,10.1109/CloudCom.2017.19,,,On the Efficiency Gains of Using Disaggregated Hardware to Build Warehouse-Scale Clusters,cp,Conference Paper,Farias G.,,Universidade Federal de Campina Grande,Campina Grande,Brazil,,,,,2017-12-27,27 December 2017,Proceedings of the International Conference on Cloud Computing Technology and Science Cloudcom,23302194,21100310005,23302186,Conference Proceeding,2017-December,,,239-246,,,2,0,,,,,
2-s2.0-85044285675,10.1109/CloudCom.2017.42,,,DynSGX: A privacy preserving toolset for dinamically loading functions into intel(R) SGX enclaves,cp,Conference Paper,Silva R.,,Universidade Federal de Campina Grande,Campina Grande,Brazil,,,,,2017-12-27,27 December 2017,Proceedings of the International Conference on Cloud Computing Technology and Science Cloudcom,23302194,21100310005,23302186,Conference Proceeding,2017-December,,,314-321,,,14,0,,,,,
2-s2.0-85039942573,10.1103/PhysRevE.96.062143,,29347279,Narrow log-periodic modulations in non-Markovian random walks,ar,Article,Diniz R.M.B.,,Universidade Federal do Rio Grande do Norte,Natal,Brazil,,,,,2017-12-26,26 December 2017,Physical Review E,24700045,21100855841,24700053,Journal,96,6,062143,,,,4,0,,,,,
2-s2.0-85039773146,10.1088/1748-0221/12/12/P12034,,,Radioactive source calibration test of the CMS Hadron Endcap Calorimeter test wedge with Phase I upgrade electronics,ar,Article,Chatrchyan S.,,Yerevan Physics Institute,Yerevan,Armenia,,,,,2017-12-22,22 December 2017,Journal of Instrumentation,,4900152808,17480221,Journal,12,12,P12034,,,,1,0,,,,,
2-s2.0-85006847191,10.1007/s00209-016-1832-5,,,On stable constant mean curvature surfaces with free boundary,ar,Article,Nunes I.,,Imperial College London;Universidade Federal do Maranhão,London;Sao Luis,United Kingdom;Brazil,,,,,2017-12-22,22 December 2017,Mathematische Zeitschrift,00255874,25123,14321823,Journal,287,1-2,,473-479,,,23,2,all,All Open Access,,,
2-s2.0-85006857120,10.1007/s00209-016-1833-4,,,Complete minimal submanifolds with nullity in Euclidean space,ar,Article,Dajczer M.,,"Instituto Nacional de Matematica Pura E Aplicada, Rio de Janeiro",Rio de Janeiro,Brazil,,,,,2017-12-21,21 December 2017,Mathematische Zeitschrift,00255874,25123,14321823,Journal,287,1-2,,481-491,,,4,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85038822535,10.1038/sdata.2017.192,,29257125,Data Descriptor: Automatized image processing of bovine blastocysts produced in vitro for quantitative variable determination,ar,Article,Rocha J.C.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2017-12-19,19 December 2017,Scientific Data,,21100451321,20524463,Journal,4,,170192,,,,23,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85039956105,10.1103/PhysRevE.96.062703,,29347296,Temperature dependence of the nonlinear optical response of smectic liquid crystals containing gold nanorods,ar,Article,Silva R.S.,,Universidade Federal de Alagoas,Maceio,Brazil,,,,,2017-12-18,18 December 2017,Physical Review E,24700045,21100855841,24700053,Journal,96,6,062703,,,,5,0,,,,,
2-s2.0-85039951572,10.1103/PhysRevE.96.062906,,29347350,Birth of a subaqueous barchan dune,ar,Article,Alvarez C.A.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2017-12-18,18 December 2017,Physical Review E,24700045,21100855841,24700053,Journal,96,6,062906,,,,24,2,all repository repositoryvor repositoryam,All Open Access Green,,,
2-s2.0-85039936553,10.1103/PhysRevE.96.062209,,29347349,Importance sampling with imperfect cloning for the computation of generalized Lyapunov exponents,ar,Article,Anteneodo C.,,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2017-12-18,18 December 2017,Physical Review E,24700045,21100855841,24700053,Journal,96,6,062209,,,,3,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85039785773,10.1088/1748-0221/12/12/T12004,,,CALIS - A CALibration Insertion System for the DarkSide-50 dark matter search experiment,ar,Article,Agnes P.,,Université Paris Cité,Paris,France,,,,,2017-12-18,18 December 2017,Journal of Instrumentation,,4900152808,17480221,Journal,12,12,T12004,,,,15,1,all publisherhybridgold repository repositoryam,All Open Access Hybrid Gold Green,,,
2-s2.0-85021184338,10.1016/j.ejor.2017.06.001,S0377221717305180,,Balancing a robotic spot welding manufacturing line: An industrial case study,ar,Article,Lopes T.C.,,Universidade Tecnológica Federal do Paraná,Curitiba,Brazil,,,,,2017-12-16,16 December 2017,European Journal of Operational Research,03772217,22489,,Journal,263,3,,1033-1048,,,66,0,,,,,
2-s2.0-85063962219,,,,Differential item functioning,ch,Book Chapter,Gamerman D.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2017-12-15,15 December 2017,Handbook of Item Response Theory,,21100875765,,Book,3,,,67-86,,,12,0,,,,,
2-s2.0-85048597528,10.1109/SBR-LARS-R.2017.8215341,,,Blind IQA for Pictures in extreme conditions: Experimental evaluation on metallic surfaces,cp,Conference Paper,Steffens C.,,Universidade Federal do Rio Grande,Rio Grande,Brazil,,,,,2017-12-15,15 December 2017,Proceedings 2017 LARS 14th Latin American Robotics Symposium and 2017 5th Sbr Brazilian Symposium on Robotics LARS Sbr 2017 Part of the Robotics Conference 2017,,21100864434,,Conference Proceeding,2017-December,,,1-6,,,0,0,,,,,
2-s2.0-85048597465,10.1109/SBR-LARS-R.2017.8215294,,,A systematic mapping for the scenario of non-urban autonomous vehicle cooperation systems,cp,Conference Paper,Brito R.,,Universidade Tecnológica Federal do Paraná,Curitiba,Brazil,,,,,2017-12-15,15 December 2017,Proceedings 2017 LARS 14th Latin American Robotics Symposium and 2017 5th Sbr Brazilian Symposium on Robotics LARS Sbr 2017 Part of the Robotics Conference 2017,,21100864434,,Conference Proceeding,2017-December,,,1-6,,,8,0,,,,,
2-s2.0-85048595487,10.1109/SBR-LARS-R.2017.8215269,,,Calibration and multi-sensor fusion for on-road obstacle detection,cp,Conference Paper,Rosero L.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2017-12-15,15 December 2017,Proceedings 2017 LARS 14th Latin American Robotics Symposium and 2017 5th Sbr Brazilian Symposium on Robotics LARS Sbr 2017 Part of the Robotics Conference 2017,,21100864434,,Conference Proceeding,2017-December,,,1-6,,,12,0,,,,,
2-s2.0-85048592410,10.1109/SBR-LARS-R.2017.8215293,,,Progressive saliency-oriented object localization based on interlaced random color distance maps,cp,Conference Paper,Lie M.,,Universidade Tecnológica Federal do Paraná,Curitiba,Brazil,,,,,2017-12-15,15 December 2017,Proceedings 2017 LARS 14th Latin American Robotics Symposium and 2017 5th Sbr Brazilian Symposium on Robotics LARS Sbr 2017 Part of the Robotics Conference 2017,,21100864434,,Conference Proceeding,2017-December,,,1-6,,,0,0,,,,,
2-s2.0-85048589882,10.1109/SBR-LARS-R.2017.8215325,,,Modeling of an object in free fall and collision with linear and nonlinear environments,cp,Conference Paper,Pecly L.S.D.,,Instituto Nacional de Pesquisas Espaciais,Sao Jose dos Campos,Brazil,,,,,2017-12-15,15 December 2017,Proceedings 2017 LARS 14th Latin American Robotics Symposium and 2017 5th Sbr Brazilian Symposium on Robotics LARS Sbr 2017 Part of the Robotics Conference 2017,,21100864434,,Conference Proceeding,2017-December,,,1-6,,,0,0,,,,,
2-s2.0-85048588439,10.1109/ICPESYS.2017.8215916,,,Very short-term bus reactive load forecasting models based on KDD approach,cp,Conference Paper,Franco E.F.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2017-12-15,15 December 2017,2017 IEEE 7th International Conference on Power and Energy Systems Icpes 2017,,21100864558,,Conference Proceeding,2017-December,,,34-41,,,2,0,,,,,
2-s2.0-85048586868,10.1109/SBR-LARS-R.2017.8215324,,,Seam tracking and welding bead geometry analysis for autonomous welding robot,cp,Conference Paper,Soares L.B.,,Universidade Federal do Rio Grande,Rio Grande,Brazil,,,,,2017-12-15,15 December 2017,Proceedings 2017 LARS 14th Latin American Robotics Symposium and 2017 5th Sbr Brazilian Symposium on Robotics LARS Sbr 2017 Part of the Robotics Conference 2017,,21100864434,,Conference Proceeding,2017-December,,,1-6,,,22,0,,,,,
