eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85074909117,10.1016/j.ecss.2019.106479,S0272771419305335,,"Continuous and non-seasonal reproductive cycle of the alien species Diopatra neapolitana (Onuphidae, Annelida) in a tropical bay of SW Atlantic",ar,Article,Bergamo G.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2019-12-31,31 December 2019,Estuarine Coastal and Shelf Science,02727714,26844,,Journal,231,,106479,,,,12,0,,,,,
2-s2.0-85077310707,10.3847/1538-4357/ab5a80,,,Planck Far-infrared Detection of Hyper Suprime-Cam Protoclusters at z ∼ 4: Hidden AGN and Star Formation Activity,ar,Article,Kubo M.,,National Institutes of Natural Sciences - National Astronomical Observatory of Japan,Mitaka,Japan,,,,,2019-12-20,20 December 2019,Astrophysical Journal,0004637X,26765,15384357,Journal,887,2,214,,,,27,1,all publisherfree2read repository repositoryvor repositoryam,All Open Access Bronze Green,,,
2-s2.0-85072754664,10.1016/j.agwat.2019.105785,S0378377419310170,,Impact of sum-of-hourly and daily timesteps in the computations of reference evapotranspiration across the Brazilian territory,ar,Article,Althoff D.,,Universidade Federal de Vicosa,Vicosa,Brazil,,,,,2019-12-20,20 December 2019,Agricultural Water Management,03783774,35824,18732283,Journal,226,,105785,,,,14,0,,,,,
2-s2.0-85112589041,10.5016/GEOCIENCIAS.V38I3.13315,,,"Area selection for landfill installation using a composed approach: Case study in MirandÓpolis, São Paulo State, Brazil",ar,Article,de CARVALHO M.B.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2019-12-19,19 December 2019,Geociencias,01019082,33825,1980900X,Journal,38,3,,717-729,,,2,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85106526056,10.5016/geociencias.v38i3.13775,,,"New u-pb geochronological data of detrital zircons on the southern espinhaÇo range, regions of altamira and ipoema",ar,Article,Oliveira L.B.E.d.R.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2019-12-19,19 December 2019,Geociencias,01019082,33825,1980900X,Journal,38,3,,611-637,,,3,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85106514484,10.5016/geociencias.v38i3.13449,,,Grains morphological characterization in slides using image processing techniques,ar,Article,Coelho J.d.M.,,Centro Brasileiro de Pesquisas Físicas,Rio de Janeiro,Brazil,,,,,2019-12-19,19 December 2019,Geociencias,01019082,33825,1980900X,Journal,38,3,,735-750,,,0,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85106493145,10.5016/geociencias.v38i3.14129,,,Mapping of marine habitats of the internal continental shelfof the beach ofiracema-fortaleza – ceará,ar,Article,Pinheiro L.d.S.,,Universidade Federal do Ceará,Fortaleza,Brazil,,,,,2019-12-19,19 December 2019,Geociencias,01019082,33825,1980900X,Journal,38,3,,813-825,,,3,1,all publisherfree2read repository repositoryvor,All Open Access Bronze Green,,,
2-s2.0-85106482567,10.5016/geociencias.v38i3.13776,,,Methodology for classification of hazard index (iP) in mining tailings dams,ar,Article,de Almeida L.G.,,Universidade Federal de Ouro Preto,Ouro Preto,Brazil,,,,,2019-12-19,19 December 2019,Geociencias,01019082,33825,1980900X,Journal,38,3,,765-780,,,0,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85106476186,10.5016/GEOCIENCIAS.V38I3.13266,,,Approximate radiometric dating method for a common chondrite using the pb206-pb207 isotopic system by electron microprobe chemical analysis of metamorphic plagioclases,ar,Article,Gazillo Neto R.,,Universidade Federal do Ceará,Fortaleza,Brazil,,,,,2019-12-19,19 December 2019,Geociencias,01019082,33825,1980900X,Journal,38,3,,677-685,,,0,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85106460301,10.5016/geociencias.v38i3.13982,,,Use of arithmetic progression of the pearson correlation coefficient for prediction of surface distortion of ornamental rocks,ar,Article,Bolonini T.M.,,Universidade Federal do Espírito Santo,Vitoria,Brazil,,,,,2019-12-19,19 December 2019,Geociencias,01019082,33825,1980900X,Journal,38,3,,751-763,,,0,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85106460105,10.5016/geociencias.v38i3.12518,,,"Macroforaminifera in rhodoliths in the vitÓria-trindade chain, south atlantic, Brazilian east margin",ar,Article,Vilela C.G.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2019-12-19,19 December 2019,Geociencias,01019082,33825,1980900X,Journal,38,3,,787-794,,,3,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85106458384,10.5016/geociencias.v38i3.13798,,,Assessment of surface water quality in the city of rio claro/sp – brazil,ar,Article,Scarlatti V.M.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2019-12-19,19 December 2019,Geociencias,01019082,33825,1980900X,Journal,38,3,,741-754,,,1,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85106456500,10.5016/GEOCIENCIAS.V38I3.14058,,,"Comparative petrographic analysis between low pressure shapes: Itinga regions (mg), currais novos (rn) and bossÒst (central pirineus)",ar,Article,da Matta M.V.L.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2019-12-19,19 December 2019,Geociencias,01019082,33825,1980900X,Journal,38,3,,639-654,,,0,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85090680903,10.5016/geociencias.v38i3.14019,,,"Modeling to landslides susceptible areas: Comparative evaluation of sampling techniques, machine learning and digital elevation models",ar,Article,Pacheco Quevedo R.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2019-12-19,19 December 2019,Geociencias,01019082,33825,1980900X,Journal,38,3,,781-795,,,15,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85077068683,10.1029/2019GL084879,,,How Far North Did the African Monsoon Fringe Expand During the African Humid Period? Insights From Southwest Moroccan Speleothems,ar,Article,Sha L.,,Xi'an Jiaotong University,Xi'an,China,,,,,2019-12-16,16 December 2019,Geophysical Research Letters,00948276,27962,19448007,Journal,46,23,,14093-14102,,,42,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85075833525,10.1016/j.lithos.2019.105275,S0024493719304359,,"The Archean granulite-enderbite complex of the northern Carajás province, Amazonian craton (Brazil): Origin and implications for crustal growth and cratonization",ar,Article,Marangoanha B.,,Universidade Federal do Pará,Belem,Brazil,,,,,2019-12-15,15 December 2019,Lithos,00244937,24486,18726143,Journal,350-351,,105275,,,,30,0,,,,,
