eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85077047188,10.1186/s13071-019-3850-8,,31852489,"Insecticide resistance in Culex quinquefasciatus Say, 1823 in Brazil: A review",re,Review,Lopes R.P.,,Fundacao Oswaldo Cruz,Rio de Janeiro,Brazil,,,,,2019-12-18,18 December 2019,Parasites and Vectors,,17500154721,17563305,Journal,12,1,591,,,,53,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85081676926,10.1093/tas/txz058,,,Single point ruminal incubation times necessary to estimate rumen degradable protein content in concentrate feeds,ar,Article,Menezes A.C.B.,,Universidade Federal de Vicosa;North Dakota State University,Vicosa;Fargo,Brazil;United States,,,,,2019-12-16,16 December 2019,Translational Animal Science,,21100871108,25732102,Journal,3,,,1686-1690,,,2,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85081676852,10.1093/tas/txz062,,,One-carbon metabolite supplementation improves growth of bovine embryonic fibroblasts cultured in divergent glucose media,ar,Article,Crouse M.S.,,North Dakota State University,Fargo,United States,,,,,2019-12-16,16 December 2019,Translational Animal Science,,21100871108,25732102,Journal,3,,,1705-1709,,,7,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85077122328,10.1186/s40813-019-0136-7,,,Detection of Salmonella-specific antibody in swine oral fluids,ar,Article,Atkinson B.M.,,USDA Agricultural Research Service,"Washington, D.C.",United States,,,,,2019-12-16,16 December 2019,Porcine Health Management,,21100871622,20555660,Journal,5,1,29,,,,9,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85077325659,10.3389/fvets.2019.00424,,,Goniometric Assessment in French Bulldogs,ar,Article,Formenton M.R.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2019-12-13,13 December 2019,Frontiers in Veterinary Science,,21100843693,22971769,Journal,6,,424,,,,8,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85077307075,10.3389/fvets.2019.00460,,,"Susceptibility of Malassezia pachydermatis Clinical Isolates to Allopathic Antifungals and Brazilian Red, Green, and Brown Propolis Extracts",ar,Article,Deegan K.R.,,Universidade Federal da Bahia,Salvador,Brazil,,,,,2019-12-13,13 December 2019,Frontiers in Veterinary Science,,21100843693,22971769,Journal,6,,460,,,,14,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85089876008,10.22456/1679-9216.98311,,,Testicular morphological and ultrasonographic characterization of male gray brocket deers (Mazama gouazoubira) in different reproductive status,ar,Article,de Souza Cunha D.M.,,FAVET,Fortaleza,Brazil,,,,,2019-12-12,12 December 2019,Acta Scientiae Veterinariae,16780345,19900191821,16799216,Journal,47,,98311,,,,5,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85077294484,10.3389/fvets.2019.00434,,,"Epidemiological Study of Mycobacterium bovis Infection in Buffalo and Cattle in Amazonas, Brazil",ar,Article,Carneiro P.A.M.,,Michigan State University;Federal Institute of Amazonas,East Lansing;Manaus,United States;Brazil,,,,,2019-12-10,10 December 2019,Frontiers in Veterinary Science,,21100843693,22971769,Journal,6,,434,,,,12,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85074775718,10.1016/j.jvacx.2019.100047,S2590136219300488,,"Influenza vaccine effectiveness against hospitalizations in children and older adults—Data from South America, 2013–2017. A test negative design",ar,Article,Sofia Arriola C.,,Centers for Disease Control and Prevention,Atlanta,United States,,,,,2019-12-10,10 December 2019,Vaccine X,,21100897791,25901362,Journal,3,,100047,,,,22,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85073022183,10.1016/j.vaccine.2019.09.082,S0264410X19313246,31590933,Pharmacovigilance capacity strengthening for WHO prequalification: The case of the trivalent influenza vaccine manufactured by Instituto Butantan,ar,Article,Koike M.E.,,Instituto Butantan,Sao Paulo,Brazil,,,,,2019-12-10,10 December 2019,Vaccine,0264410X,21376,18732518,Journal,37,52,,7560-7565,,,4,0,,,,,
2-s2.0-85077251824,10.3389/fvets.2019.00432,,,Failure to Remove Bluetongue Serotype 8 Virus (BTV-8) From in vitro Produced and in vivo Derived Bovine Embryos and Subsequent Transmission of BTV-8 to Recipient Cows After Embryo Transfer,ar,Article,Haegeman A.,,Exotic and Particular Diseases,Brussels,Belgium,,,,,2019-12-05,5 December 2019,Frontiers in Veterinary Science,,21100843693,22971769,Journal,6,,432,,,,7,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85076626599,10.11606/issn.1678-4456.bjvras.2019.157248,,,Objective evaluation versus subjective evaluation of flexion tests in the pelvic limb of horses,ar,Article,Da Silva Azevedo M.,,Universidade Federal do Pampa,Bage,Brazil,,,,,2019-12-03,3 December 2019,Brazilian Journal of Veterinary Research and Animal Science,14139596,19700182219,16784456,Journal,56,4,e157248,,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85076617633,10.11606/issn.1678-4456.bjvras.2019.158360,,,Evaluation of the racial difference in body condition score and parameters of lipid metabolism in purebred arabian horses and thoroughbred horses trained for racing,ar,Article,Farinelli De Siqueira R.,,Universidade de São Paulo;Universidade Cruzeiro do Sul,Sao Paulo;Sao Paulo,Brazil;Brazil,,,,,2019-12-03,3 December 2019,Brazilian Journal of Veterinary Research and Animal Science,14139596,19700182219,16784456,Journal,56,4,e158360,,,,1,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85076597085,10.11606/issn.1678-4456.bjvras.2019.160249,,,Chronic equine proliferative pododermatitis: Case report,ar,Article,Oliveira Tregnago Azzolini E.,,Departamento de Medicina Veterinária da União Pioneira de Integraçao Social;União Pioneira de Integração SocialFazenda Lagoa Bonita,Brasilia;Brasilia Planaltina,Brazil;Brazil,,,,,2019-12-03,3 December 2019,Brazilian Journal of Veterinary Research and Animal Science,14139596,19700182219,16784456,Journal,56,4,e160249,,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85076107345,10.1136/vetreccr-2019-000958,,,High-grade astrocytoma with ventricular invasion in a dog,ar,Article,Pupin R.,,Universidade Federal de Mato Grosso do Sul,Campo Grande,Brazil,,,,,2019-12-02,2 December 2019,Veterinary Record Case Reports,,21100466246,20526121,Journal,7,4,e000958,,,,3,0,,,,,
2-s2.0-85079292684,10.1590/1678-5150-PVB-6388,,,Welfare and locomotor system disorders in active draft horses (cart horses),ar,Article,Prado V.C.M.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2019-12-01,1 December 2019,Pesquisa Veterinaria Brasileira,0100736X,18819,16785150,Journal,39,12,,942-948,,,1,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85079291293,10.1590/1678-5150-PVB-6478,,,Poisoning by Brachiaria spp. In various lamb breeds at increasing levels of supplementation during GROWTH,ar,Article,Melo G.K.A.,,Universidade Federal de Mato Grosso do Sul,Campo Grande,Brazil,,,,,2019-12-01,1 December 2019,Pesquisa Veterinaria Brasileira,0100736X,18819,16785150,Journal,39,12,,978-982,,,3,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85079290274,10.1590/1678-5150-PVB-6298,,,Outbreak of enzootic ataxia in goats and sheep in the state of Bahia,ar,Article,Fontes T.N.,,Universidade Federal da Bahia,Salvador,Brazil,,,,,2019-12-01,1 December 2019,Pesquisa Veterinaria Brasileira,0100736X,18819,16785150,Journal,39,12,,961-969,,,2,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85079288812,10.1590/1678-5150-PVB-6141,,,"Morphological description of ovary and uterus of the nurse shark (Ginglymostoma cirratum) caught off at the Fortaleza coast, Northeast Brazil",ar,Article,Rêgo M.G.,,Universidade Federal Rural de Pernambuco,Recife,Brazil,,,,,2019-12-01,1 December 2019,Pesquisa Veterinaria Brasileira,0100736X,18819,16785150,Journal,39,12,,997-1004,,,5,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85079286449,10.1590/1678-5150-PVB-6230,,,Impact of high-energy diets on the rumen environment and digital cushion in confined cattle,ar,Article,Tavares N.C.,,Universidade Federal de Pelotas,Pelotas,Brazil,,,,,2019-12-01,1 December 2019,Pesquisa Veterinaria Brasileira,0100736X,18819,16785150,Journal,39,12,,970-977,,,13,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85079286032,10.1590/1678-5150-PVB-6174,,,Ultrasound monitoring of the uterus and ovaries of dominant and subordinate females of yellow-breasted capuchin (Sapajus xanthosternos) and robust tufted capuchin (Sapajus robustus) in captive colonies during the ovarian cycle and anestrus periods,ar,Article,Pissinatti T.A.,,Instituto de Ciência e Tecnologia em Biomodelos,Rio de Janeiro,Brazil,,,,,2019-12-01,1 December 2019,Pesquisa Veterinaria Brasileira,0100736X,18819,16785150,Journal,39,12,,989-996,,,2,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85079279825,10.1590/1678-5150-PVB-5940,,,Antimicrobial activity of propolis extract fractions against Staphylococcus spp. Isolated from goat mastitis,ar,Article,Dos Santos H.C.,,Fundacao Universidade Federal do Vale do Sao Francisco,Petrolina,Brazil,,,,,2019-12-01,1 December 2019,Pesquisa Veterinaria Brasileira,0100736X,18819,16785150,Journal,39,12,,954-960,,,4,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85079276735,10.1590/1678-5150-PVB-6362,,,Spontaneous poisoning by Talisia esculenta in cattle,ar,Article,Melo J.K.A.,,Universidade Federal Rural de Pernambuco,Recife,Brazil,,,,,2019-12-01,1 December 2019,Pesquisa Veterinaria Brasileira,0100736X,18819,16785150,Journal,39,12,,949-953,,,3,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85079275649,10.1590/1678-5150-PVB-6077,,,Oral trichomoniasis in raptors in Southern Brazil,ar,Article,Echenique J.V.Z.,,Universidade Federal de Pelotas,Pelotas,Brazil,,,,,2019-12-01,1 December 2019,Pesquisa Veterinaria Brasileira,0100736X,18819,16785150,Journal,39,12,,983-988,,,8,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85079272628,10.1590/1678-5150-PVB-6352,,,Chemical and structural composition of black pigmented supragingival biofilm of bovines with periodontitis,ar,Article,Saraiva J.R.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2019-12-01,1 December 2019,Pesquisa Veterinaria Brasileira,0100736X,18819,16785150,Journal,39,12,,933-941,,,8,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85077869784,10.14202/vetworld.2019.1931-1939,,,Characterization and molecular epidemiology of Staphylococcus aureus strains resistant to beta-lactams isolated from the milk of cows diagnosed with subclinical mastitis,ar,Article,Souza G.A.A.D.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2019-12-01,December 2019,Veterinary World,09728988,21100201717,22310916,Journal,12,12,,1931-1939,,,5,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85076733635,10.3390/ani9121149,,,Young broiler feeding kinematic analysis as a function of the feed type,ar,Article,Neves D.P.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2019-12-01,December 2019,Animals,,21100244850,20762615,Journal,9,12,1149,,,,7,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85076313580,10.3390/ani9121087,,,The occurrence of multidrug resistant bacteria in the urine of healthy dogs and dogs with cystitis,ar,Article,Yamanaka A.R.,,Universidade de Cuiaba,Cuiaba,Brazil,,,,,2019-12-01,December 2019,Animals,,21100244850,20762615,Journal,9,12,1087,,,,11,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85076113242,10.3390/ani9121065,,,Function of cryopreserved cat ovarian tissue after autotransplantation,ar,Article,Vilela J.M.V.,,Université Catholique de Louvain;Instituto de Ciências Biológicas,Louvain-la-Neuve;Brasilia,Belgium;Brazil,,,,,2019-12-01,December 2019,Animals,,21100244850,20762615,Journal,9,12,1065,,,,7,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85075765213,10.1111/vcp.12805,,31777108,"The role of the multi-drug resistance 1, p53, b cell lymphoma 2, and bcl 2-associated X genes in the biologic behavior and chemotherapeutic resistance of canine transmissible venereal tumors",ar,Article,Alzate J.M.,,Universidad de Pamplona,Pamplona,Colombia,,,,,2019-12-01,1 December 2019,Veterinary Clinical Pathology,02756382,19504,1939165X,Journal,48,4,,730-739,,,8,0,,,,,
2-s2.0-85075367756,10.1007/s00436-019-06533-1,,31728724,"A new myxozoan species Henneguya unitaeniata sp. nov. (Cnidaria: Myxosporea) on gills of Hoplerythrinus unitaeniatus from Mato Grosso State, Brazil",ar,Article,Úngari L.P.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2019-12-01,1 December 2019,Parasitology Research,09320113,20340,14321955,Journal,118,12,,3327-3336,,,7,0,,,,,
2-s2.0-85075272090,10.1016/j.vetpar.2019.108990,S0304401719302717,31775103,Inducible Nitric Oxide Synthase is required for parasite restriction and inflammatory modulation during Neospora caninum infection,ar,Article,Barros P.d.S.C.,,Universidade Federal de Uberlândia,Uberlandia,Brazil,,,,,2019-12-01,December 2019,Veterinary Parasitology,03044017,19537,18732550,Journal,276,,108990,,,,14,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85075244409,10.1016/j.vetmic.2019.108482,S0378113519301099,31759775,Analysing nonsynonymous mutations between two Mycobacterium bovis strains with contrasting pathogenic profiles,ar,Article,Bigi M.,,Instituto de Investigaciones en Biociencias Agrícolas y Ambientales,Buenos Aires,Argentina,,,,,2019-12-01,December 2019,Veterinary Microbiology,03781135,20882,18732542,Journal,239,,108482,,,,6,2,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85075243291,10.1007/s00436-019-06493-6,,31728720,Development of an in vitro system to study the developmental stages of Toxoplasma gondii using a genetically modified strain expressing markers for tachyzoites and bradyzoites,ar,Article,Portes J.A.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2019-12-01,1 December 2019,Parasitology Research,09320113,20340,14321955,Journal,118,12,,3479-3489,,,7,0,,,,,
2-s2.0-85075213122,10.1007/s00436-019-06459-8,,31720833,"Epidemiology, hematology, and unusual morphological characteristics of Plasmodium during an avian malaria outbreak in penguins in Brazil",ar,Article,Vanstreels R.E.T.,,Universidade de São Paulo;Institute of Research and Rehabilitation of Marine Animals (IPRAM),"Sao Paulo;Cariacica, ES",Brazil;Brazil,,,,,2019-12-01,1 December 2019,Parasitology Research,09320113,20340,14321955,Journal,118,12,,3497-3508,,,18,0,,,,,
2-s2.0-85075174395,10.1016/j.vetpar.2019.108966,S030440171930247X,31759192,Efficacy of sarolaner on the treatment of myiasis caused by Cochliomyia hominivorax (Diptera: Calliphoridae) in dogs,ar,Article,Oliveira P.C.d.,,Universidade Federal Rural do Rio de Janeiro,Seropedica,Brazil,,,,,2019-12-01,December 2019,Veterinary Parasitology,03044017,19537,18732550,Journal,276,,108966,,,,9,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85075000369,10.1016/j.anireprosci.2019.106234,S0378432019306426,31785632,Effects of a single trace mineral injection at beginning of fixed-time AI treatment regimen on reproductive function and antioxidant response of grazing Nellore cows,ar,Article,Vedovatto M.,,Range Cattle Research and Education Center,Ona,United States,,,,,2019-12-01,December 2019,Animal Reproduction Science,03784320,36360,,Journal,211,,106234,,,,9,0,,,,,
2-s2.0-85074933374,10.1016/j.vprsr.2019.100351,S2405939019302072,31796167,First description of parasite load and clinicopathological and anatomopathological changes in a dog naturally coinfected with Dioctophyme renale and Leishmania infantum in Brazil,ar,Article,Oliveira V.d.C.,,Instituto Nacional de Infectologia Evandro Chagas (INI),Rio de Janeiro,Brazil,,,,,2019-12-01,December 2019,Veterinary Parasitology Regional Studies and Reports,,21100781742,24059390,Journal,18,,100351,,,,4,0,,,,,
2-s2.0-85074784541,10.1016/j.anireprosci.2019.106220,S0378432019301824,31785645,Importance of lipid metabolism on oocyte maturation and early embryo development: Can we apply what we know to buffalo?,re,Review,Dubeibe Marin D.F.,,Universidade Federal do Pará,Belem,Brazil,,,,,2019-12-01,December 2019,Animal Reproduction Science,03784320,36360,,Journal,211,,106220,,,,24,0,,,,,
2-s2.0-85074783711,10.1016/j.anireprosci.2019.106224,S0378432019301459,31785625,Effect of cryopreservation on sperm DNA fragmentation and apoptosis rates in the testicular tissue of domestic cats,ar,Article,Macente B.I.,,Universidade Brasil,Sao Paulo,Brazil,,,,,2019-12-01,December 2019,Animal Reproduction Science,03784320,36360,,Journal,211,,106224,,,,6,0,,,,,
2-s2.0-85074772222,10.1016/j.anireprosci.2019.106229,S0378432019305834,31785636,Composition of collared peccary seminal plasma and sperm motility kinetics in semen obtained during dry and rainy periods in a semiarid biome,ar,Article,Moreira S.S.J.,,Universidade Federal Rural do Semi-Árido,Mossoro,Brazil,,,,,2019-12-01,December 2019,Animal Reproduction Science,03784320,36360,,Journal,211,,106229,,,,13,0,,,,,
2-s2.0-85074726284,10.1007/s11046-019-00401-3,,31673906,Large Aortic Prosthesis Fungal Vegetation Due to Candida parapsilosis: An Uncommon Presentation,no,Note,Leite-Andrade M.C.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2019-12-01,1 December 2019,Mycopathologia,0301486X,19833,15730832,Journal,184,6,,795-796,,,2,0,,,,,
2-s2.0-85074706891,10.1007/s00436-019-06480-x,,31664517,"Long-term temporal variation in the parasite community structure of metazoans of Pimelodus blochii (Pimelodidae), a catfish from the Brazilian Amazon",ar,Article,Negreiros L.P.,,"Instituto Federal De Educação, Ciência E Tecnologia Do Acre – IFAC",Rio Branco,Brazil,,,,,2019-12-01,1 December 2019,Parasitology Research,09320113,20340,14321955,Journal,118,12,,3337-3347,,,9,0,,,,,
2-s2.0-85074652796,10.1016/j.smallrumres.2019.10.004,S0921448819301920,,Use of proteomics in the study of the acute phase of caprine arthritis encephalitis in seminal plasma,ar,Article,dos Santos K.F.,,Universidade Estadual do Vale do Acarau,Sobral,Brazil,,,,,2019-12-01,December 2019,Small Ruminant Research,09214488,92166,,Journal,181,,,39-44,,,3,0,,,,,
2-s2.0-85074466601,10.1016/j.anireprosci.2019.106226,S0378432019308139,31785634,Intrafollicular lipopolysaccharide injection delays ovulation in cows,ar,Article,Gindri P.,,Universidade Federal de Pelotas,Pelotas,Brazil,,,,,2019-12-01,December 2019,Animal Reproduction Science,03784320,36360,,Journal,211,,106226,,,,9,2,all repository repositoryvor,All Open Access Green,,,
