eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85132525555,,,,An overview of the internet of things technologies focusing on disaster response,ch,Book Chapter,França R.P.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2020-12-20,20 December 2020,Big Data Analytics in Supply Chain Management Theory and Applications,,21101221651,,Book,,,,151-168,,,2,0,,,,,
2-s2.0-85098797416,10.3917/med.192.0137,,,Rural development forums in Uruguay: Between decentralization and participation,ar,Article,Sabourin É.,,Universidade de Brasília,Brasília,Brazil,,,,,2020-12-17,17 December 2020,Mondes En Developpement,03023052,14890,,Journal,192,4,,137-156,,,0,0,,,,,
2-s2.0-85170377443,10.33094/8.2017.2020.82.62.72,,,Impacts of Covid-19 Pandemic and Persistence of Volatility in the Returns of the Brazilian Stock Exchange: An Application of the Markov Regime Switching GARCH (MRS-GARCH) Model,ar,Article,da Silva C.A.G.,,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2020-12-15,15 December 2020,International Journal of Applied Economics Finance and Accounting,,21101085290,2577767X,Journal,8,2,,62-72,,,1,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85094213330,10.1016/j.ijbiomac.2020.10.072,S0141813020347048,33091471,"Crosslinked alginate/sericin particles for bioadsorption of ytterbium: Equilibrium, thermodynamic and regeneration studies",ar,Article,da Costa T.B.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2020-12-15,15 December 2020,International Journal of Biological Macromolecules,01418130,17544,18790003,Journal,165,,,1911-1923,,,24,0,,,,,
2-s2.0-85094211757,10.1016/j.ijbiomac.2020.10.036,S0141813020346596,33075342,Innovative process for obtaining modified nanocellulose from soybean straw,ar,Article,Souza A.G.,,Universidade Federal do ABC,Santo Andre,Brazil,,,,,2020-12-15,15 December 2020,International Journal of Biological Macromolecules,01418130,17544,18790003,Journal,165,,,1803-1812,,,52,0,,,,,
2-s2.0-85092709890,10.1016/j.ijbiomac.2020.09.221,S0141813020345839,33017605,"Secretory production in Escherichia coli of a GH46 chitosanase from Chromobacterium violaceum, suitable to generate antifungal chitooligosaccharides",ar,Article,Azevedo M.I.G.,,Universidade Federal do Ceará,Fortaleza,Brazil,,,,,2020-12-15,15 December 2020,International Journal of Biological Macromolecules,01418130,17544,18790003,Journal,165,,,1482-1495,,,16,2,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85092287527,10.1016/j.ijbiomac.2020.09.143,S0141813020345037,32987083,Improved antioxidant activity of a starch and gelatin-based biodegradable coating containing Tetradenia riparia extract,ar,Article,Friedrich J.C.C.,,Universidade Estadual do Oeste do Paraná,Cascavel,Brazil,,,,,2020-12-15,15 December 2020,International Journal of Biological Macromolecules,01418130,17544,18790003,Journal,165,,,1038-1046,,,27,0,,,,,
2-s2.0-85092254450,10.1016/j.ijbiomac.2020.09.167,S014181302034527X,32987080,Effect of nanoemulsion modification with chitosan and sodium alginate on the topical delivery and efficacy of the cytotoxic agent piplartine in 2D and 3D skin cancer models,ar,Article,Giacone D.V.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2020-12-15,15 December 2020,International Journal of Biological Macromolecules,01418130,17544,18790003,Journal,165,,,1055-1065,,,46,0,,,,,
2-s2.0-85092253353,10.1016/j.ijbiomac.2020.09.220,S0141813020345827,33011269,Co-immobilization of amylases in porous crosslinked gelatin matrices by different reticulations approaches,ar,Article,Frota E.G.,,Universidade de Passo Fundo,Passo Fundo,Brazil,,,,,2020-12-15,15 December 2020,International Journal of Biological Macromolecules,01418130,17544,18790003,Journal,165,,,1002-1009,,,12,0,,,,,
2-s2.0-85092238115,10.1016/j.ijbiomac.2020.09.168,S0141813020345293,32991890,"Botryosphaeran, a (1 → 3)(1 → 6)-β-D-glucan, reduces tumor development and cachexia syndrome in obese male rats by increasing insulin sensitivity and FOXO3a activity",ar,Article,Geraldelli D.,,Universidade Federal de Mato Grosso,Cuiaba,Brazil,,,,,2020-12-15,15 December 2020,International Journal of Biological Macromolecules,01418130,17544,18790003,Journal,165,,,985-994,,,14,0,,,,,
2-s2.0-85092056685,10.1016/j.ijbiomac.2020.09.216,S0141813020345785,33011261,Interaction of guar gum galactomannans with the anionic surfactant sodium lauryl ether sulphate,ar,Article,de Seixas-Junior C.H.,,Universidade Federal do Parana,Curitiba,Brazil,,,,,2020-12-15,15 December 2020,International Journal of Biological Macromolecules,01418130,17544,18790003,Journal,165,,,713-721,,,11,0,,,,,
