eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85112018034,10.1016/j.ces.2021.116934,S0009250921004991,,Modeling of Ring Opening Polymerization: A short review with insights on how to develop the method of moments,re,Review,P. Rosa R.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2021-12-31,31 December 2021,Chemical Engineering Science,00092509,16413,,Journal,246,,116934,,,,14,0,,,,,
2-s2.0-85123241971,10.1016/j.fochx.2021.100133,S2590157521000213,,Recent advances and trends in extraction techniques to recover polyphenols compounds from apple by-products,ar,Article,da Silva L.C.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2021-12-30,30 December 2021,Food Chemistry X,,21100896855,25901575,Journal,12,,100133,,,,61,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85123030376,10.1016/j.fochx.2021.100142,S2590157521000304,,Physical aspects of orange essential oil-contaning particles after vacuum spray drying processing,ar,Article,Ramos F.d.M.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2021-12-30,30 December 2021,Food Chemistry X,,21100896855,25901575,Journal,12,,100142,,,,15,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85123029030,10.1016/j.fochx.2021.100140,S2590157521000286,,"Comparison of different extraction methods of Brazilian “pacová” (Renealmia petasites Gagnep.) oilseeds for the determination of lipid and terpene composition, antioxidant capacity, and inhibitory effect on neurodegenerative enzymes",ar,Article,dos Santos L.C.,,Consejo Superior de Investigaciones Científicas;Universidade Estadual de Campinas,Madrid;Campinas,Spain;Brazil,,,,,2021-12-30,30 December 2021,Food Chemistry X,,21100896855,25901575,Journal,12,,100140,,,,9,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85122684919,10.1016/j.fochx.2021.100138,S2590157521000262,,Use of jackfruit leaf (Artocarpus heterophyllus L.) protein hydrolysates as a stabilizer of the nanoemulsions loaded with extract-rich in pentacyclic triterpenes obtained from Coccoloba uvifera L. leaf,ar,Article,Calderón-Chiu C.,,Tecnológico Nacional de México,Mexico City,Mexico,,,,,2021-12-30,30 December 2021,Food Chemistry X,,21100896855,25901575,Journal,12,,100138,,,,15,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85122667671,10.1016/j.fochx.2021.100136,S2590157521000249,,Recovery and purification of bikaverin produced by Fusarium oxysporum CCT7620,ar,Article,Mendonça M.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2021-12-30,30 December 2021,Food Chemistry X,,21100896855,25901575,Journal,12,,100136,,,,4,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85121855021,10.1016/j.fochx.2021.100139,S2590157521000274,,Chemoprevention with a tea from hawthorn (Crataegus oxyacantha) leaves and flowers attenuates colitis in rats by reducing inflammation and oxidative stress,ar,Article,Nascimento R.d.P.d.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2021-12-30,30 December 2021,Food Chemistry X,,21100896855,25901575,Journal,12,,100139,,,,17,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85119968437,10.1016/j.fochx.2021.100161,S2590157521000493,,"Caferana seeds (Bunchosia glandulifera) as a new source of nutrients: Evaluation of the proximal composition, solvent extraction, bioactive compounds, and δ-lactam isolation",ar,Article,Fraga S.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2021-12-30,30 December 2021,Food Chemistry X,,21100896855,25901575,Journal,12,,100161,,,,2,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85119910489,10.1016/j.fochx.2021.100164,S2590157521000523,,Intensified green-based extraction process as a circular economy approach to recover bioactive compounds from soursop seeds (Annona muricata L.),ar,Article,Mesquita P.C.,,Universidade Federal de Santa Catarina;Federal Institute of Education,Florianopolis;Ubajara,Brazil;Brazil,,,,,2021-12-30,30 December 2021,Food Chemistry X,,21100896855,25901575,Journal,12,,100164,,,,18,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85119181046,10.1016/j.fochx.2021.100166,S2590157521000547,,Determination of free fatty acids in crude vegetable oil samples obtained by high-pressure processes,ar,Article,Medeiros Vicentini-Polette C.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2021-12-30,30 December 2021,Food Chemistry X,,21100896855,25901575,Journal,12,,100166,,,,64,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
