eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85127815530,10.21134/eurjhm.2021.47.11,,,Combined practice and learning of movement pattern and precision of the volleyball serve in beginners,ar,Article,Matos C.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2021-12-31,31 December 2021,European Journal of Human Movement,,21101037316,23864095,Journal,47,,,88-99,,,3,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85127800743,10.21134/eurjhm.2021.47.9,,,Influence of Resting Blood Pressure on Functional Fitness: An Experimental Study Comparing Hypertensive and Normotensive Older Women,ar,Article,Cardozo D.C.,,FaMIdade,Juiz de Fora,Brazil,,,,,2021-12-31,31 December 2021,European Journal of Human Movement,,21101037316,23864095,Journal,47,,,80-87,,,0,0,,,,,
2-s2.0-85127743475,10.21134/eurjhm.2021.47.5,,,The Learning of Rugby Passing Based on Different Small-Sided Games,ar,Article,Mazzeu F.L.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2021-12-31,31 December 2021,European Journal of Human Movement,,21101037316,23864095,Journal,47,,,40-48,,,3,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85124119889,10.26582/K.53.2.3,,,MANIPULATING THE PITCH SIZE CONSTRAINS THE PLAYERS’ POSITIONING DURING UNBALANCED SOCCER SMALL-SIDED GAMES PLAYED BY DIFFERENT AGE GROUPS,ar,Article,Praca G.M.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2021-12-31,31 December 2021,Kinesiology,,19400158604,1848638X,Journal,53,2,,206-214,,,11,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85122044913,10.3233/SHTI210662,,34920468,Cerebrovascular Diseases Dashboard and Update of the Predictive Analysis: A Proposal for e-SUS Brazil in the Primary Care,cp,Conference Paper,Dal Sasso G.T.M.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2021-12-15,15 December 2021,Studies in Health Technology and Informatics,09269630,19582,18798365,Book Series,284,,,50-52,,,0,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85122023626,10.3233/SHTI210743,,34920545,Automatic Polarity Classifier Model of Opinionso about Prostate Cancer on Facebook®,cp,Conference Paper,Dal Sasso G.T.M.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2021-12-15,15 December 2021,Studies in Health Technology and Informatics,09269630,19582,18798365,Book Series,284,,,353-355,,,0,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85122021614,10.3233/SHTI210725,,34920528,Scrum Framework and Health Solutions: Management and Results,cp,Conference Paper,Torrente G.,,Universidade do Estado do Amazonas,Manaus,Brazil,,,,,2021-12-15,15 December 2021,Studies in Health Technology and Informatics,09269630,19582,18798365,Book Series,284,,,290-294,,,7,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85121998789,10.3233/SHTI210734,,34920537,System Management Software for Emergency Call,cp,Conference Paper,Torrente G.,,Universidade do Estado do Amazonas,Manaus,Brazil,,,,,2021-12-15,15 December 2021,Studies in Health Technology and Informatics,09269630,19582,18798365,Book Series,284,,,326-327,,,1,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85121990105,10.3389/fspor.2021.797604,,,"Acute Behavior of Oxygen Consumption, Lactate Concentrations, and Energy Expenditure During Resistance Training: Comparisons Among Three Intensities",ar,Article,João G.A.,,Universidade São Judas Tadeu;Universidades Metropolitanas Unidas,Sao Paulo;Sao Paulo,Brazil;Brazil,,,,,2021-12-15,15 December 2021,Frontiers in Sports and Active Living,,21101063028,26249367,Journal,3,,797604,,,,11,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85116036757,10.1002/hbm.25656,,34587333,A deep learning based approach identifies regions more relevant than resting-state networks to the prediction of general intelligence from resting-state fMRI,ar,Article,Hebling Vieira B.,,Universidade de São Paulo;Georgia State University,Sao Paulo;Atlanta,Brazil;United States,,,,,2021-12-15,15 December 2021,Human Brain Mapping,10659471,16101,10970193,Journal,42,18,,5873-5887,,,15,1,all repository repositoryvor repositoryam,All Open Access Green,,,
2-s2.0-85128696690,10.4324/9781003000945-3,,,"Revisiting ""Post-AIDS"": Understanding gay community responses to HIV then and now",ch,Book Chapter,Dowsett G.W.,,La Trobe University,Melbourne,Australia,,,,,2021-12-14,14 December 2021,Post AIDS Discourse in Health Communication Sociocultural Interpretations,,21101086724,,Book,,,,15-30,,,4,0,,,,,
2-s2.0-85121795018,10.3389/fspor.2021.778813,,,Contextual Variables Affect Running Performance in Professional Soccer Players: A Brief Report,ar,Article,Augusto D.,,Universidade do Estado do Rio de Janeiro;Laboratory of soccer Studies (LABESFUT);Post-graduate Program in Exercise and Sport Sciences,Rio de Janeiro;Rio de Janeiro;Rio de Janeiro,Brazil;Brazil;Brazil,,,,,2021-12-13,13 December 2021,Frontiers in Sports and Active Living,,21101063028,26249367,Journal,3,,778813,,,,33,1,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85121576377,10.3389/fspor.2021.780459,,,Dose Response of Acute ATP Supplementation on Strength Training Performance,ar,Article,dos Santos Nunes de Moura H.P.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2021-12-08,8 December 2021,Frontiers in Sports and Active Living,,21101063028,26249367,Journal,3,,780459,,,,5,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85121215014,10.1136/bmjhci-2021-100476,,34876452,Association between the chronology of gestation and the morphometrical skin characteristics at childbirth: A development of predictive model,ar,Article,De Souza I.M.F.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2021-12-07,7 December 2021,BMJ Health and Care Informatics,,21100909462,26321009,Journal,28,1,e100476,,,,6,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85134885030,10.1016/C2020-0-02261-9,,,Probiotics: Advanced food and health applications,bk,Book,Brandelli A.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2021-12-06,6 December 2021,Probiotics Advanced Food and Health Applications,,21101097581,,Book,,,,1-511,,,3,0,,,,,
2-s2.0-85134884662,10.1016/B978-0-323-85170-1.00012-9,B9780323851701000129,,Next-Generation Probiotics,ch,Book Chapter,Barbosa J.C.,,Escola Superior de Biotecnologia da Universidade Católica Portuguesa,Porto,Portugal,,,,,2021-12-06,6 December 2021,Probiotics Advanced Food and Health Applications,,21101097581,,Book,,,,483-502,,,9,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85169599019,10.18004/rdn2021.dic.02.054.063,,,Association between urban/rural background and the development of depressive spectrum disorders: an experience from telepsychiatry,ar,Article,Torales J.,,Facultad de Ciencias Medicas Universidad Nacional de Asuncion;Universidad Politécnica y Artística del Paraguay,Asuncion;Asuncion,Paraguay;Paraguay,,,,,2021-12-01,Dec 2021,Revista Del Nacional Itaugua,20728174,21101178117,23073640,Journal,13,2,,54-63,,,4,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85148557120,10.1016/j.rcsop.2021.100080,S2667276621000809,,Regional drug information center disseminates educational materials related to the COVID-19 pandemic,ar,Article,dos Santos J.R.B.,,Universidade Federal Rural do Rio de Janeiro,Seropedica,Brazil,,,,,2021-12-01,December 2021,Exploratory Research in Clinical and Social Pharmacy,,21101132921,26672766,Journal,4,,100080,,,,0,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85146770450,,,,REPEATED BOUT EFFECT AND EPOC: A NARRATIVE REVIEW,ar,Article,Júnior A.P.R.,,Instituto Federal de Educação Ciência e Tecnologia Farroupilha – IFFarroupilha,Santa Maria,Brazil,,,,,2021-12-01,December 2021,Sport Science,18403662,19900192590,18403670,Journal,14,2,,32-37,,,0,0,,,,,
2-s2.0-85134054156,10.1186/s40945-021-00122-1,,,Choosing what works for whom: towards a better use of mechanistic knowledge in clinical practice,ar,Article,Alaiti R.K.,,Universidade de São Paulo;Research,Sao Paulo;Sao Paulo,Brazil;Brazil,,,,,2021-12-01,December 2021,Archives of Physiotherapy,,21101095935,20570082,Journal,11,1,26,,,,3,1,all publisherhybridgold repository repositoryvor,All Open Access Hybrid Gold Green,,,
2-s2.0-85131592260,10.18004/rdn2021.dic.02.018.028,,,Anxiety in pandemic: epidemiological characteristics of anxiety disorders seen through telepsychiatry in a university hospital,ar,Article,Torales J.,,Facultad de Ciencias Medicas Universidad Nacional de Asuncion;Universidad Politécnica y Artística del Paraguay,Asuncion;Asuncion,Paraguay;Paraguay,,,,,2021-12-01,Dec 2021,Revista Del Nacional Itaugua,20728174,21101178117,23073640,Journal,13,2,,18-28,,,2,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85131159868,10.1186/s40945-020-00095-7,,,Diagnostic accuracy of the clinical indicators to identify central sensitization pain in patients with musculoskeletal pain,ar,Article,Bittencourt J.V.,,Centro Universitário Augusto Motta (UNISUAM),Rio de Janeiro,Brazil,,,,,2021-12-01,December 2021,Archives of Physiotherapy,,21101095935,20570082,Journal,11,1,2,,,,8,1,all publisherhybridgold repository repositoryvor,All Open Access Hybrid Gold Green,,,
2-s2.0-85127683409,10.1016/j.jcm.2021.12.009,S1556370721000584,,Discriminative and Predictive Analysis of the Brazilian Version of the Örebro Musculoskeletal Pain Screening Questionnaire (ÖMPSQ) Short-Form in Patients With Low Back Pain,ar,Article,Fuhro F.F.,,Universidade Cidade de São Paulo,Sao Paulo,Brazil,,,,,2021-12-01,December 2021,Journal of Chiropractic Medicine,15563707,7500153109,,Journal,20,4,,191-198,,,1,2,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85126367682,10.1016/j.neuri.2021.100013,S2772528621000133,,"The DCT-CNN-ResNet50 architecture to classify brain tumors with super-resolution, convolutional neural network, and the ResNet50",ar,Article,Deshpande A.,,Angadi Institute of Technology and Management,Belagavi,India,,,,,2021-12-01,December 2021,Neuroscience Informatics,,21101257876,27725286,Journal,1,4,100013,,,,79,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85125692132,10.5935/0946-5448.20210027,,35239298,Efficacy of Ozone Therapy in the Treatment of Tinnitus: A Systematic Review,re,Review,Najadir Cristina De Faria G.C.,,Universidade de Brasília,Brasília,Brazil,,,,,2021-12-01,December 2021,International Tinnitus Journal,09465448,13742,,Journal,25,2,,149-153,,,2,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85125689566,10.5935/0946-5448.20210026,,35239297,Clinical Evaluation of Neck in Patients with Proprioceptive Cervicogenic Dizziness,ar,Article,Roseli Saraiva M.B.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2021-12-01,December 2021,International Tinnitus Journal,09465448,13742,,Journal,25,2,,143-148,,,4,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85125550680,10.1123/ijspp.2020-0856,,34088882,Genetic Polymorphisms Related to VO2max Adaptation Are Associated With Elite Rugby Union Status and Competitive Marathon Performance,ar,Article,Hall E.C.R.,,Manchester Metropolitan University,Manchester,United Kingdom,,,,,2021-12-01,December 2021,International Journal of Sports Physiology and Performance,15550265,14000156196,15550273,Journal,16,12,,1858-1864,,,5,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85125550130,10.1123/jpah.2021-0291,,34697257,Socioeconomic and Gender Inequalities in Leisure-Time Physical Activity and Access to Public Policies in Brazil From 2013 to 2019,ar,Article,Wendt A.,,Universidade Federal de Pelotas,Pelotas,Brazil,,,,,2021-12-01,December 2021,Journal of Physical Activity and Health,15433080,6000195388,15435474,Journal,18,12,,1503-1510,,,18,0,,,,,
2-s2.0-85124465099,10.23736/S0025-7826.21.03962-4,,,Can sport and face masks get along?,ar,Article,Lodi E.,,Azienda Ospedaliero - Universitaria di Modena,Modena,Italy,,,,,2021-12-01,December 2021,Medicina Dello Sport,00257826,19892,18271863,Journal,74,4,,731-739,,,1,0,,,,,
2-s2.0-85124432808,10.1519/JSC.0000000000003367,,31567790,Postactivation Potentiation Improves Performance in a Resistance Training Session in Trained Men,ar,Article,Alves R.R.,,Universidade Federal de Goiás,Goiania,Brazil,,,,,2021-12-01,1 December 2021,Journal of Strength and Conditioning Research,10648011,19889,15334295,Journal,35,12,,3296-3299,,,20,0,,,,,
2-s2.0-85123969132,10.1093/rpd/ncab171,,34875692,CHEST CT USAGE IN COVID-19 PNEUMONIA: MULTICENTER STUDY ON RADIATION DOSES AND DIAGNOSTIC QUALITY IN BRAZIL,ar,Article,Bernardo M.,,Pontifícia Universidade Católica de São Paulo;Hospital Dr. Miguel Soeiro,Sao Paulo;Sorocaba,Brazil;Brazil,,,,,2021-12-01,1 December 2021,Radiation Protection Dosimetry,01448420,29514,17423406,Journal,197,3-4,,135-145,,,6,1,all publisherfree2read repository repositoryvor,All Open Access Bronze Green,,,
2-s2.0-85123968852,10.1093/rpd/ncab182,,34979032,RADIATION DOSE FOR PATIENTS WITH KAWASAKI DISEASE UNDERGOING FLUOROSCOPICALLY GUIDED CARDIAC CATHETERIZATION,ar,Article,Miranda P.,,Hospital Dr. Luis Calvo Mackenna Hospital,Santiago,Chile,,,,,2021-12-01,1 December 2021,Radiation Protection Dosimetry,01448420,29514,17423406,Journal,197,3-4,,230-236,,,0,0,,,,,
2-s2.0-85123507624,10.52547/AASSJOURNAL.977,,,Balance Assessment in Children with Down Syndrome Who Practice Dance,ar,Article,Lourenço C.C.V.,,Universidade da Beira Interior,Covilha,Portugal,,,,,2021-12-01,December 2021,Annals of Applied Sport Science,24764981,21100838563,23224479,Journal,9,4,e977,,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85123375019,10.7752/jpes.2021.06468,,,Acute effects of listening to music and/or watching video clips on perceptual variables and performance during a high intensity exercise session,ar,Article,Almeida C.M.M.,,Fundacao Universidade Federal do Vale do Sao Francisco;College of Physical Education,Petrolina;Petrolina,Brazil;Brazil,,,,,2021-12-01,December 2021,Journal of Physical Education and Sport,22478051,19900191849,2247806X,Journal,21,6,468,3455-3463,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85123373421,10.7752/jpes.2021.06480,,,eSport: a state-of-the-art review based on bibliometric analysis,ar,Article,Yamanaka G.K.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2021-12-01,December 2021,Journal of Physical Education and Sport,22478051,19900191849,2247806X,Journal,21,6,480,3547-3555,,,12,0,,,,,
2-s2.0-85123250744,10.1007/s13755-021-00164-6,,,Predicting special care during the COVID-19 pandemic: a machine learning approach,ar,Article,Bezzan V.P.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2021-12-01,December 2021,Health Information Science and Systems,,21100853958,20472501,Journal,9,1,34,,,,9,1,all publisherhybridgold repository repositoryvor repositoryam,All Open Access Hybrid Gold Green,,,
2-s2.0-85122714409,10.1016/j.ctim.2021.102777,S0965229921001187,34571144,Benefits of intraoperative music on orthopedic surgeries under spinal anesthesia: A randomized clinical trial,ar,Article,Azi L.M.T.d.A.,,Universidade Federal da Bahia,Salvador,Brazil,,,,,2021-12-01,December 2021,Complementary Therapies in Medicine,09652299,21172,18736963,Journal,63,,102777,,,,8,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85122497579,10.3822/IJTMB.V14I4.631,,,Effect of Foot Reflexology Protocol on Premenstrual Syndrome Symptoms in Nursing Students: a Pre–Post Pilot Study,ar,Article,Vieira A.K.S.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2021-12-01,1 December 2021,International Journal of Therapeutic Massage and Bodywork Research Education and Practice,1916257X,19700175832,,Journal,14,4,,,,,4,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85122488152,10.1123/japa.2020-0394,,33863853,Acute Blood Pressure Effects in Older Adults with Hypertension After Different Modalities of Exercise: An Experimental Study,ar,Article,Cunha R.M.,,Instituto de Cardiologia/Fundacao Universitaria de Cardiologia;Evangelical University of Goiás – Unievangelica;Health Sciences Institute—FINAMA,Porto Alegre;Anapolis;Goias,Brazil;Brazil;Brazil,,,,,2021-12-01,1 December 2021,Journal of Aging and Physical Activity,10638652,29191,1543267X,Journal,29,6,,952-958,,,2,0,,,,,
2-s2.0-85122488043,10.1123/japa.2020-0018,,33863854,Effects of Resistance Training With Machines and Elastic Tubes on Functional Capacity and Muscle Strength in Community-Living Older Women: A Randomized Clinical Trial,ar,Article,Safons M.P.,,Universidade de Brasília,Brasília,Brazil,,,,,2021-12-01,1 December 2021,Journal of Aging and Physical Activity,10638652,29191,1543267X,Journal,29,6,,959-967,,,3,0,,,,,
2-s2.0-85122487996,10.1016/j.msksp.2021.102454,S2468781221001387,34482195,"Reliability, validity and responsiveness of the Step Up and Down (StUD) test for individuals with symptomatic knee osteoarthritis",ar,Article,Almeida G.P.L.,,Universidade Federal do Ceará,Fortaleza,Brazil,,,,,2021-12-01,December 2021,Musculoskeletal Science and Practice,24688630,21100801200,24687812,Journal,56,,102454,,,,7,0,,,,,
2-s2.0-85122487957,10.1123/japa.2020-0418,,34157676,Does Interrupting Prolonged Sitting With 10- or 20-Min Standing Attenuate Postprandial Glycemia and Blood Pressure in Middle-Aged and Older Adults With Type 2 Diabetes?,ar,Article,Freire Y.A.,,Universidade Federal do Rio Grande do Norte,Natal,Brazil,,,,,2021-12-01,1 December 2021,Journal of Aging and Physical Activity,10638652,29191,1543267X,Journal,29,6,,968-975,,,0,0,,,,,
2-s2.0-85122487940,10.1016/j.msksp.2021.102452,S2468781221001363,34507047,"Translation, cross-cultural adaptation and validation of the Upper Limb Functional Index (ULFI) into Brazilian Portuguese in patients with chronic upper limb musculoskeletal disorders",ar,Article,Takahasi H.Y.,,Universidade Federal do Maranhão;SARAH Network of Rehabilitation Hospitals,Sao Luis;Brasilia,Brazil;Brazil,,,,,2021-12-01,December 2021,Musculoskeletal Science and Practice,24688630,21100801200,24687812,Journal,56,,102452,,,,11,0,,,,,
2-s2.0-85122487825,10.1016/j.msksp.2021.102457,S2468781221001417,34507045,Localised manual therapy treatment has a preferential effect on the kinematics of the targeted motion segment,ar,Article,Tuttle N.,,Griffith University,Brisbane,Australia,,,,,2021-12-01,December 2021,Musculoskeletal Science and Practice,24688630,21100801200,24687812,Journal,56,,102457,,,,3,2,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85122487655,10.1016/j.msksp.2021.102447,S2468781221001314,34425357,Two-point discrimination and judgment of laterality in individuals with chronic unilateral non-traumatic shoulder pain,ar,Article,Caseiro M.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2021-12-01,December 2021,Musculoskeletal Science and Practice,24688630,21100801200,24687812,Journal,56,,102447,,,,9,0,,,,,
2-s2.0-85122165940,10.23736/S0022-4707.21.12008-0,,33480517,Cell integrity indicators in university athletes: Comparison among playing positions in indoor football,ar,Article,Martins P.C.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2021-12-01,December 2021,Journal of Sports Medicine and Physical Fitness,00224707,19887,18271928,Journal,61,12,,1675-1681,,,1,0,,,,,
2-s2.0-85122165652,10.23736/S0022-4707.20.11946-7,,33305552,Beta-alanine fails to improve on 5000 m running time despite increasing PAT1 expression in long-distance runners,ar,Article,Franco G.S.,,Universidade de São Paulo;Universidade de Franca,Sao Paulo;Franca,Brazil;Brazil,,,,,2021-12-01,December 2021,Journal of Sports Medicine and Physical Fitness,00224707,19887,18271928,Journal,61,12,,1605-1612,,,0,0,,,,,
2-s2.0-85122165347,10.23736/S0022-4707.21.11991-7,,33615760,Effects of an experimental taper period on male and female swimmers,ar,Article,de Arruda T.B.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2021-12-01,December 2021,Journal of Sports Medicine and Physical Fitness,00224707,19887,18271928,Journal,61,12,,1578-1586,,,2,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85122165140,10.23736/S0022-4707.20.11978-9,,33337113,The comparative measurement of body segment parameters using dual energy X-ray absorptiometry between sexes,ar,Article,Moreira O.C.,,Universidade Federal de Vicosa,Vicosa,Brazil,,,,,2021-12-01,December 2021,Journal of Sports Medicine and Physical Fitness,00224707,19887,18271928,Journal,61,12,,1613-1619,,,1,0,,,,,
2-s2.0-85122099871,10.1519/SSC.0000000000000683,,,Importance of Muscle Strength in Chronic Heart Failure,ar,Article,De Souza W.M.H.M.,,Universidade Federal do Rio de Janeiro;Aloysio de Castro State Institute of Cardiology,Rio de Janeiro;Rio de Janeiro,Brazil;Brazil,,,,,2021-12-01,1 December 2021,Strength and Conditioning Journal,15241602,29890,,Journal,43,6,,9-13,,,1,0,,,,,
2-s2.0-85122069257,10.1044/2021_JSLHR-20-00629,,34762812,Do Flexible Silicone Tubes Immersed in Water Combined With Vocalise Improve the Immediate Effect on Voice?,ar,Article,Cardoso N.S.V.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2021-12-01,December 2021,Journal of Speech Language and Hearing Research,10924388,15122,15589102,Journal,64,12,,4535-4562,,,6,0,,,,,
2-s2.0-85121721223,10.3390/foods10123144,,,Social media analysis to understand the expected benefits by plant-based meat alternatives consumers,ar,Article,Moreira M.N.B.,,Universidade Federal do Parana,Curitiba,Brazil,,,,,2021-12-01,December 2021,Foods,,21100898636,23048158,Journal,10,12,3144,,,,14,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
