eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85147186107,10.28951/bjb.v40i4.600,,,40th Anniversary of the Brazilian Journal of Biometrics,ed,Editorial,Rodrigues P.C.,,Universidade Federal da Bahia,Salvador,Brazil,,,,,2022-12-31,31 December 2022,Brazilian Journal of Biometrics,,21101184778,27645290,Journal,40,4,,367-370,,,0,0,,,,,
2-s2.0-85147185908,10.28951/bjb.v40i4.614,,,Statistical characterization of spatial and size distributions of particles in composite materials used in the manufacturing of biomedical instruments,ar,Article,Scalon J.D.,,Universidade Federal de Lavras,Lavras,Brazil,,,,,2022-12-31,31 December 2022,Brazilian Journal of Biometrics,,21101184778,27645290,Journal,40,4,,428-441,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85147185155,10.28951/bjb.v40i4.615,,,Explanatory factors for the rapid decline in fertility in the Brazilian Semi-arid region,ar,Article,da Silva E.S.d.A.,,Universidade Federal da Paraíba,Joao Pessoa,Brazil,,,,,2022-12-31,31 December 2022,Brazilian Journal of Biometrics,,21101184778,27645290,Journal,40,4,,442-452,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85147178510,10.28951/bjb.v40i4.622,,,Marginal logistic regression with a cure fraction in a cluster design: An application in dental traumatology,ar,Article,Colosimo E.A.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2022-12-31,31 December 2022,Brazilian Journal of Biometrics,,21101184778,27645290,Journal,40,4,,381-392,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85147177128,10.28951/bjb.v40i4.623,,,Bayesian estimation of nonlinear models parameters in the description of growth coffee fruits,ar,Article,Fernandes T.J.,,Universidade Federal de Lavras,Lavras,Brazil,,,,,2022-12-31,31 December 2022,Brazilian Journal of Biometrics,,21101184778,27645290,Journal,40,4,,393-406,,,5,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85147176805,10.28951/bjb.v40i4.647,,,Overdispersion Models for Clustered Toxicological Data in a Bioassay of Entomopathogenic Fungus,ar,Article,de Freitas S.M.,,Universidade Federal do Ceará,Fortaleza,Brazil,,,,,2022-12-31,31 December 2022,Brazilian Journal of Biometrics,,21101184778,27645290,Journal,40,4,,490-509,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85147176111,10.28951/bjb.v40i4.605,,,Diabetes diagnosis based on hard and soft voting classifiers combining statistical learning models,ar,Article,de Oliveira G.P.,,Universidade Federal da Bahia,Salvador,Brazil,,,,,2022-12-31,31 December 2022,Brazilian Journal of Biometrics,,21101184778,27645290,Journal,40,4,,415-427,,,10,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85146900205,10.2994/SAJH-D-20-00019.1,,,"Lizard Assemblage in a Protected Area in the Brazilian Atlantic Forest: Species Composition, Richness, Abundance, and Distribution",ar,Article,Pereira-Ribeiro J.,,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2022-12-31,31 December 2022,South American Journal of Herpetology,18089798,21100332432,1982355X,Journal,25,1,,34-40,,,0,0,,,,,
2-s2.0-85146277316,10.3372/wi.52.52307,,,"A revision of the ""basal-axile placentation clade"" of Miconieae, the newly erected Miconia sect. Liogieria (Melastomataceae: Miconieae) from the Greater Antilles",ar,Article,Bécquer E.R.,,Universidad de La Habana,Havana,Cuba,,,,,2022-12-31,31 December 2022,Willdenowia,05119618,17878,18686397,Journal,52,3,,387-432,,,3,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85145397629,10.22201/fc.25942158e.2022.4.551,,,"NEW PREDATION RECORDS ON THOROPA MILIARIS (ANURA: CYCLORAMPHIDAE), WITH A REVIEW OF KNOWN PREDATORS",ar,Article,Oliveira H.J.,,Universidade Federal de Juiz de Fora,Juiz de Fora,Brazil,,,,,2022-12-30,30 December 2022,Revista Latinoamericana De Herpetologia,,21101029732,25942158,Journal,5,4,,115-119,,,3,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85142925458,10.4324/9781003314943,,,"Visualizations of urban space: Digital age, aesthetics, and politics",bk,Book,Wagner C.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2022-12-30,30 December 2022,Visualizations of Urban Space Digital Age Aesthetics and Politics,,21101123422,,Book,,,,1-214,,,4,0,,,,,
2-s2.0-85142765931,10.1016/j.fochms.2022.100149,S2666566222000776,,"Evaluation of freeze-dried phenolic extract from cashew apple by-product: Physical properties, in vitro gastric digestion and chemometric analysis of the powders",ar,Article,de Souza Lima A.C.,,Universidade Federal do Ceará,Fortaleza,Brazil,,,,,2022-12-30,30 December 2022,Food Chemistry Molecular Sciences,,21101066155,26665662,Journal,5,,100149,,,,9,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85142489504,10.1016/j.fochms.2022.100148,S2666566222000764,,Underexploited Brazilian Cerrado fruits as sources of phenolic compounds for diseases management: A review,ar,Article,Arruda H.S.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2022-12-30,30 December 2022,Food Chemistry Molecular Sciences,,21101066155,26665662,Journal,5,,100148,,,,32,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85142421286,10.1016/j.fochx.2022.100489,S2590157522002875,,Synergic effect of natural deep eutectic solvent and high-intensity ultrasound on obtaining a ready-to-use genipin extract: Crosslinking and anti-neurodegenerative properties,ar,Article,Isabel Landim Neves M.,,Consejo Superior de Investigaciones Científicas;Universidade Estadual de Campinas,Madrid;Campinas,Spain;Brazil,,,,,2022-12-30,30 December 2022,Food Chemistry X,,21100896855,25901575,Journal,16,,100489,,,,9,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85142181913,10.1016/j.lwt.2022.114161,S0023643822010969,,Detection and quantification using ATR-FTIR spectroscopy of whey protein concentrate adulteration with wheat flour,ar,Article,Martins M.S.,,Universidade Federal do Espírito Santo,Vitoria,Brazil,,,,,2022-12-30,30 December 2022,Lwt,00236438,20744,,Journal,172,,114161,,,,39,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85141998002,10.1016/j.fochms.2022.100144,S2666566222000727,,Nanoencapsulation and bioaccessibility of polyphenols of aqueous extracts from Bauhinia forficata link,ar,Article,Verônica Cardoso de Souza B.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2022-12-30,30 December 2022,Food Chemistry Molecular Sciences,,21101066155,26665662,Journal,5,,100144,,,,11,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85140748111,10.1016/j.fochx.2022.100465,S2590157522002632,,"The role of emerging technologies in the dehydration of berries: Quality, bioactive compounds, and shelf life",re,Review,Pateiro M.,,Fundación Centro Tecnolóxico da Carne,San Cibrao das Vinas,Spain,,,,,2022-12-30,30 December 2022,Food Chemistry X,,21100896855,25901575,Journal,16,,100465,,,,52,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85140292150,10.1016/j.fochms.2022.100141,S2666566222000697,,β-carotene genetically-enriched lyophilized orange juice increases antioxidant capacity and reduces β-amyloid proteotoxicity and fat accumulation in Caenorhabditis elegans,ar,Article,Raquel Ferreira Paulo I.,,Universidade Federal do Rio Grande do Norte,Natal,Brazil,,,,,2022-12-30,30 December 2022,Food Chemistry Molecular Sciences,,21101066155,26665662,Journal,5,,100141,,,,5,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85139962137,10.52547/jibs.8.4.617,,,"A review of Chrysidoidea (Hymenoptera, Aculeata), excluding Chrysididae of Iran",ar,Article,Barahoei H.,,Research Institute of Zabol,Zabol,Iran,,,,,2022-12-30,30 December 2022,Journal of Insect Biodiversity and Systematics,,21101097251,24238112,Journal,8,4,,617-645,,,8,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85138365694,10.1016/j.fochms.2022.100134,S2666566222000624,,Functional properties of bioactive compounds from Spirulina spp.: Current status and future trends,ar,Article,Bortolini D.G.,,Universidade Federal do Parana,Curitiba,Brazil,,,,,2022-12-30,30 December 2022,Food Chemistry Molecular Sciences,,21101066155,26665662,Journal,5,,100134,,,,139,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85148199017,10.1002/9781119776376.ch1,,,Ultrasound,ch,Book Chapter,Scudino H.,,Universidade Federal Fluminense,Niteroi,Brazil,,,,,2022-12-29,29 December 2022,Novel Technologies in Food Science,,21101134912,,Book,,,,1-38,,,0,0,,,,,
2-s2.0-85148148547,10.1002/9781119776376.ch11,,,Supercritical Fluid,ch,Book Chapter,Barros C.P.,,Universidade Federal Fluminense,Niteroi,Brazil,,,,,2022-12-29,29 December 2022,Novel Technologies in Food Science,,21101134912,,Book,,,,405-449,,,1,0,,,,,
2-s2.0-85148146190,10.1002/9781119776376.ch15,,,Ohmic Heating,ch,Book Chapter,Rocha R.d.S.,,"Universidade Federal Fluminense;Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro",Niteroi;Rio de Janeiro,Brazil;Brazil,,,,,2022-12-29,29 December 2022,Novel Technologies in Food Science,,21101134912,,Book,,,,551-609,,,0,0,,,,,
2-s2.0-85148137198,10.1002/9781119776376.ch4,,,Cold Plasma,ch,Book Chapter,Cavalcanti R.N.,,"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro",Rio de Janeiro,Brazil,,,,,2022-12-29,29 December 2022,Novel Technologies in Food Science,,21101134912,,Book,,,,109-169,,,3,0,,,,,
2-s2.0-85147778252,10.5852/ejt.2022.854.2021,,,"A time relic: a new species of dwarf boa, Tropidophis Bibron, 1840 (Serpentes: Amerophidia), from the Upper Amazon Basin",ar,Article,Ortega-Andrade H.M.,,Universidad Regional Amazónica Ikiam,Tena,Ecuador,,,,,2022-12-29,29 December 2022,European Journal of Taxonomy,,21100812850,21189773,Journal,854,,,1-107,,,3,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85146382852,10.11646/phytotaxa.577.1.9,,,"In the middle way there was a Callianthe (Malvaceae): a new species in forest path edges from Espírito Santo state, Brazil",ar,Article,Costa M.T.R.,,Instituto De Pesquisas Jardim Botanico Do Rio De Janerio;Escola Nacional de Botânica Tropical,Rio de Janeiro;Rio de Janeiro,Brazil;Brazil,,,,,2022-12-29,29 December 2022,Phytotaxa,11793155,21100209326,11793163,Journal,577,1,,145-149,,,1,0,,,,,
2-s2.0-85146382244,10.11646/phytotaxa.577.1.6,,,Systematic significance of cypselae in the Calea teucriifolia complex,ar,Article,Marques D.,,Universidade Federal do Ceará,Fortaleza,Brazil,,,,,2022-12-29,29 December 2022,Phytotaxa,11793155,21100209326,11793163,Journal,577,1,,125-132,,,6,0,,,,,
2-s2.0-85146382181,10.11646/phytotaxa.577.1.4,,,Contributions to the knowledge and distribution of Pucciniales (rust fungi) in three Brazilian biomes,ar,Article,da Silva Martins Junior A.,,Universidade do Estado do Para;National School of Tropical Botany (ENBT),Belem;Rio de Janeiro,Brazil;Brazil,,,,,2022-12-29,29 December 2022,Phytotaxa,11793155,21100209326,11793163,Journal,577,1,,79-117,,,0,0,,,,,
2-s2.0-85148659009,10.4002/040.065.0102,,,AN INTEGRATIVE APPROACH FOR THE IDENTIFICATION OF NATIVE AND EXOTIC LYMNAEIDS FROM BRAZIL,ar,Article,Medeiros C.,,Fundacao Oswaldo Cruz,Rio de Janeiro,Brazil,,,,,2022-12-28,28 December 2022,Malacologia,00762997,22642,,Book Series,65,1-2,,25-42,,,1,0,,,,,
2-s2.0-85148617913,10.4002/040.065.0101,,,"PHYLOGENETIC SYSTEMATICS AND DISTRIBUTION OF POMACEA SORDIDA (SWAINSON, 1823) AND POMACEA INTERMEDIA (FÉRUSSAC IN QUOY & GAIMARD, 1825) (CAENOGASTROPODA: AMPULLARIIDAE)",ar,Article,Barbosa K.P.,,Fundacao Oswaldo Cruz,Rio de Janeiro,Brazil,,,,,2022-12-28,28 December 2022,Malacologia,00762997,22642,,Book Series,65,1-2,,1-23,,,1,0,,,,,
2-s2.0-85148575119,10.4002/040.065.0107,,,ASSESSING SPECIES BOUNDARIES IN THE FRESHWATER SNAIL FAMILY PHYSIDAE USING COALESCENT-BASED DELIMITATION METHODS,ar,Article,Sartini do Espirito Santo B.,,Universidade Federal de Juiz de Fora,Juiz de Fora,Brazil,,,,,2022-12-28,28 December 2022,Malacologia,00762997,22642,,Book Series,65,1-2,,91-111,,,2,0,,,,,
2-s2.0-85148228501,10.11646/zootaxa.5226.1.1,,37044496,"Revision of the smaller-sized dorados (Salminus), with comments on the monophyly of the genus and its biogeography (Characiformes: Bryconidae)",ar,Article,Lima F.C.T.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2022-12-28,28 December 2022,Zootaxa,11755326,4700151916,11755334,Journal,5226,1,,1-66,,,9,0,,,,,
2-s2.0-85147859558,10.11646/zootaxa.5223.1.1,,37044499,Tadpoles of Central Amazonia (Amphibia: Anura),ar,Article,Schiesari L.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2022-12-28,28 December 2022,Zootaxa,11755326,4700151916,11755334,Journal,5223,1,,1-149,,,5,0,,,,,
2-s2.0-85144356442,10.1021/acs.jafc.2c07028,,36530137,Phenolic Profile and Antioxidant Properties in Extracts of Developing Açaí (Euterpe oleracea Mart.) Seeds,ar,Article,Martins G.R.,,"Universidade Federal do Rio de Janeiro;Instituto Nacional de Tecnologia, Rio de Janeiro",Rio de Janeiro;Rio de Janeiro,Brazil;Brazil,,,,,2022-12-28,28 December 2022,Journal of Agricultural and Food Chemistry,00218561,33722,15205118,Journal,70,51,,16218-16228,,,14,0,,,,,
2-s2.0-85145715751,10.1639/0007-2745-125.4.541,,,Phylogeny of the Pyrenula ochraceoflava group (Pyrenulaceae) reveals near-cryptic diversification and the inclusion of the Mazaediothecium album aggregate,ar,Article,Miranda-González R.,,Universidad Nacional Autónoma de México,Mexico,Mexico,,,,,2022-12-27,27 December 2022,Bryologist,00072745,17374,,Journal,125,4,,541-557,,,6,0,,,,,
2-s2.0-85145943761,10.11609/jott.8167.14.12.22337-22340,,,Mercury in tuna from the western equatorial Atlantic Ocean and health risk assessment,ar,Article,Di Beneditto A.P.M.,,Universidade Estadual do Norte Fluminense,Campos dos Goitacazes,Brazil,,,,,2022-12-26,26 December 2022,Journal of Threatened Taxa,09747893,21100806903,09747907,Journal,14,12,,22337-22340,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85174042816,10.4324/9781003311171-14,,,Dialogue of knowledge for the assessment of the impacts of the oil spill disaster on the Brazilian coast in 2019,ch,Book Chapter,Machado L.O.R.,,Institute for Studies in Collective Health (IESC/UFRJ),,Brazil,,,,,2022-12-23,23 December 2022,Transdisciplinary Marine Research Bridging Science and Society,,21101182774,,Book,,,,206-224,,,0,0,,,,,
2-s2.0-85142796741,,,,Dental image analysis: Where deep learning meets dentistry,ch,Book Chapter,Silva B.,,Universidade Federal da Bahia,Salvador,Brazil,,,,,2022-12-23,23 December 2022,Convolutional Neural Networks for Medical Image Processing Applications,,21101123048,,Book,,,,170-195,,,0,0,,,,,
2-s2.0-85152186699,,,,The relevance of virtual reality and increased reality in events with streaming and livestreaming in COVID and post-COVID-19 era: A touristic perspective,ch,Book Chapter,Machado A.F.,,Instituto Politécnico do Cávado e do Ave,Barcelos,Portugal,,,,,2022-12-22,22 December 2022,Tourist Behavior Past Present and Future,,21101145573,,Book,,,,277-294,,,0,0,,,,,
2-s2.0-85145727823,10.3389/fevo.2022.1081114,,,"Evolutionary history of Nasutitermes kemneri (Termitidae, Nasutitermitinae), a termite from the South American diagonal of open formations",ar,Article,Kohari K.S.,,Universidade Federal do ABC,Santo Andre,Brazil,,,,,2022-12-22,22 December 2022,Frontiers in Ecology and Evolution,,21100834704,2296701X,Journal,10,,1081114,,,,3,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85145716156,10.3389/fsufs.2022.1056615,,,"The social impact of cultivated and plant-based meats as radical innovations in the food chain: Views from Brazil, the United States and Europe",ar,Article,Morais-da-Silva R.L.,,Universidade Federal do Parana,Curitiba,Brazil,,,,,2022-12-22,22 December 2022,Frontiers in Sustainable Food Systems,,21100941001,2571581X,Journal,6,,1056615,,,,10,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85145072089,10.11646/PHYTOTAXA.576.3.6,,,Taxonomic notes on Cyperus (Cyperaceae: Cypereae) from northeastern Brazil,le,Letter,Matzenauer W.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2022-12-22,22 December 2022,Phytotaxa,11793155,21100209326,11793163,Journal,576,3,,297-300,,,0,0,,,,,
2-s2.0-85145065838,10.11646/PHYTOTAXA.576.3.3,,,"Macrolepiota capelariae (Agaricaceae, Basidiomycota): a new species from the Brazilian Atlantic Rainforest with extended records to Argentina and Mexico",ar,Article,Souza A.D.,,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",Sao Paulo,Brazil,,,,,2022-12-22,22 December 2022,Phytotaxa,11793155,21100209326,11793163,Journal,576,3,,265-278,,,4,0,,,,,
2-s2.0-85145044978,10.11646/PHYTOTAXA.576.3.1,,,"Novelties in Stigmatodon (Bromeliaceae, Tillandsioideae), a genus endemic to Brazil: three new species, one new combination, and two new stigma types",ar,Article,Leme E.M.C.,,Marie Selby Botanical Gardens;Rio de Janeiro Botanical Garden,Sarasota;Rio de Janeiro,United States;Brazil,,,,,2022-12-22,22 December 2022,Phytotaxa,11793155,21100209326,11793163,Journal,576,3,,233-249,,,7,0,,,,,
2-s2.0-85145040332,10.11646/PHYTOTAXA.576.3.4,,,"Borreria savannicola (Spermacoceae, Rubiaceae), a new species from savanna patches within the Caatinga, Ceará State, Brazil",ar,Article,de Souza E.B.,,Universidade Estadual do Vale do Acarau,Sobral,Brazil,,,,,2022-12-22,22 December 2022,Phytotaxa,11793155,21100209326,11793163,Journal,576,3,,279-288,,,2,0,,,,,
2-s2.0-85145027597,10.11646/PHYTOTAXA.576.3.5,,,"A new species of Bauhinia (Cercidoideae, Leguminosae) from the states of Pernambuco and Alagoas, Brazil",ar,Article,Dos Santos A.C.B.,,Universidade Federal Rural de Pernambuco,Recife,Brazil,,,,,2022-12-22,22 December 2022,Phytotaxa,11793155,21100209326,11793163,Journal,576,3,,289-296,,,2,0,,,,,
2-s2.0-85142822519,10.1201/9781003266167-5,,,Authenticity and chemometrics of coffee and tea,ch,Book Chapter,Oliveira L.S.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2022-12-22,22 December 2022,Chemometrics and Authenticity of Foods of Plant Origin,,21101123009,,Book,,,,73-89,,,1,0,,,,,
2-s2.0-85142576837,,,,Biological control of phytopathogenic fungi: Mechanisms and potentials,ch,Book Chapter,Selari P.J.R.G.,,"Instituto Federal de Educação, Ciência e Tecnologia Goiano Campus Rio Verde",Rio Verde,Brazil,,,,,2022-12-22,22 December 2022,Agricultural Biocatalysis Biological and Chemical Applications,,21101122248,,Book,,,,3-39,,,5,0,,,,,
2-s2.0-85138528158,10.1590/1983-40632022v5272376,,,Increase in cation exchange capacity by the action of maize rhizosphere on Mg or Fe biotite-rich rocks1,ar,Article,Krahl L.L.,,Universidade de Brasília,Brasília,Brazil,,,,,2022-12-22,22 December 2022,Pesquisa Agropecuaria Tropical,15176398,19700182009,19834063,Journal,52,,e72376,,,,2,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85130612000,10.4025/actascianimsci.v44i1.54800,,,Correlation and path analysis of assessment methodologies of bone quality from brown egg layers at final of the production cycle,ar,Article,Reis T.L.,,Universidade Federal Rural do Rio de Janeiro,Seropedica,Brazil,,,,,2022-12-22,22 December 2022,Acta Scientiarum Animal Sciences,18062636,19600162007,18078672,Journal,44,,e54800,,,,0,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85130607122,10.4025/actascianimsci.v44i1.54986,,,The genotype does not influence the establishment of elephantgrass (Pennisetum purpureum Schum.),ar,Article,Ribeiro R.E.P.,,Instituto Federal de Educação,Castanhal,Brazil,,,,,2022-12-22,22 December 2022,Acta Scientiarum Animal Sciences,18062636,19600162007,18078672,Journal,44,,e54986,,,,3,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85130606276,10.4025/actascianimsci.v44i1.55220,,,Economic loss from the main causes of whole bovine carcass condemnation in slaughterhouses supervised by the Federal Inspection Service in São Paulo state from 2010 to 2019,ar,Article,Rodrigues R.M.,,Universidade Federal de Mato Grosso,Cuiaba,Brazil,,,,,2022-12-22,22 December 2022,Acta Scientiarum Animal Sciences,18062636,19600162007,18078672,Journal,44,,e55220,,,,3,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85126596974,10.4025/actascianimsci.v44i1.54370,,,"Goat kids fed diets containing castor cake detoxified: II. Nitrogen balance, hepatic and renal function",ar,Article,de Araújo R.A.,,Universidade Estadual do Maranhão,Sao Luis,Brazil,,,,,2022-12-22,22 December 2022,Acta Scientiarum Animal Sciences,18062636,19600162007,18078672,Journal,44,,e54370,,,,0,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85126454367,10.1590/1983-21252022v35n111rc,,,"SOYBEAN YIELD PREDICTION USING REMOTE SENSING IN SOUTHWESTERN PIAUÍ STATE, BRAZIL",ar,Article,Andrade T.G.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2022-12-22,22 December 2022,Revista Caatinga,0100316X,19700181006,19832125,Journal,35,1,,105-116,,,9,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85126431441,10.1590/1983-21252022v35n112rc,,,ASSESSMENT OF SUBSTRATE SOLUTION EXTRACTION METHODS FOR DETERMINATION OF CHEMICAL ATTRIBUTES IN SOILLESS CULTURE OF BELL PEPPER AND MELON,ar,Article,Wamser A.F.,,EPAGRI - Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina S.A.,Cacador,Brazil,,,,,2022-12-22,22 December 2022,Revista Caatinga,0100316X,19700181006,19832125,Journal,35,1,,117-126,,,1,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85126386481,10.1590/1983-21252022v35n119rc,,,SALINE WATER AND NITROGEN FERTILIZATION ON LEAF COMPOSITION AND YIELD OF CORN,ar,Article,DE SOUSA G.G.,,Universidade da Integração Internacional da Lusofonia Afro-Brasileira - UNILAB,Redencao,Brazil,,,,,2022-12-22,22 December 2022,Revista Caatinga,0100316X,19700181006,19832125,Journal,35,1,,191-198,,,24,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85123209319,10.1590/1983-40632022v5270024,,,Vegetative development and biomass production of Sesbania herbacea in a wet floodplain environment1,no,Note,Pimenta L.B.,,Embrapa Arroz e Feijão,Santo Antonio de Goias,Brazil,,,,,2022-12-22,22 December 2022,Pesquisa Agropecuaria Tropical,15176398,19700182009,19834063,Journal,52,,e70024,,,,0,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85123160682,10.1590/1983-40632022v5270483,,,Fuzzy system in a ferrous sulfate pre-treatment of elephant grass,no,Note,Godinho E.Z.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2022-12-22,22 December 2022,Pesquisa Agropecuaria Tropical,15176398,19700182009,19834063,Journal,52,,e70483,,,,3,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85123022745,10.4025/actascianimsci.v44i1.53714,,,Ingestive behavior of lambs fed relocated and inoculated whole-plant corn silage,ar,Article,Cardoso M.V.S.B.,,Universidade Federal de Lavras,Lavras,Brazil,,,,,2022-12-22,22 December 2022,Acta Scientiarum Animal Sciences,18062636,19600162007,18078672,Journal,44,,e53714,,,,2,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85122765511,10.4025/actascianimsci.v44i1.53445,,,Weaning and concentrate supplementation on the characteristics of carcass cuts and longissimus muscle of Suffolk lambs finished on pasture,ar,Article,Fernandes S.R.,,Universidade Estadual de Londrina,Londrina,Brazil,,,,,2022-12-22,22 December 2022,Acta Scientiarum Animal Sciences,18062636,19600162007,18078672,Journal,44,,e53445,,,,1,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85122765093,10.4025/actascianimsci.v44i1.53447,,,Evaluation of extruded roughage with different additives in sheep diet,ar,Article,de Assis T.S.,,Universidade Federal de Uberlândia,Uberlandia,Brazil,,,,,2022-12-22,22 December 2022,Acta Scientiarum Animal Sciences,18062636,19600162007,18078672,Journal,44,,e53447,,,,0,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85122754713,10.4025/actascianimsci.v44i1.53652,,,"Morphometry, productivity and bromatological analisis of purple elephant grass according to nitrogen fertilization",ar,Article,Ramos J.P.F.,,Empresa Estadual de Pesquisa Agropecuária da Paraíba,Joao Pessoa,Brazil,,,,,2022-12-22,22 December 2022,Acta Scientiarum Animal Sciences,18062636,19600162007,18078672,Journal,44,,e53652,,,,0,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85122754565,10.4025/actascianimsci.v44i1.53382,,,Different sieving methods for determining the physical characteristics in ground corn,ar,Article,Biazzi H.M.,,Universidade do Estado de Santa Catarina,Florianopolis,Brazil,,,,,2022-12-22,22 December 2022,Acta Scientiarum Animal Sciences,18062636,19600162007,18078672,Journal,44,,e53382,,,,4,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85122753080,10.4025/actascianimsci.v44i1.53516,,,Pantanal’s fish native meatballs has the nutritional values increased with the use of pequi in its recipe,ar,Article,Pereira Q.D.,,"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul",Campo Grande,Brazil,,,,,2022-12-22,22 December 2022,Acta Scientiarum Animal Sciences,18062636,19600162007,18078672,Journal,44,,e53516,,,,0,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
