eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85144955670,10.3389/froh.2022.1083035,,,Editorial: Frontiers in oral health: Highlights in oral cancers 2021/2,ed,Editorial,Kujan O.,,The Faculty of Health and Medical Sciences,Perth,Australia,,,,,2022-12-08,8 December 2022,Frontiers in Oral Health,,21101121175,26734842,Journal,3,,1083035,,,,0,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85213565056,10.22034/ijo.2022.554538.1070,,,Rapid Maxillary Expansion Based on the Correlation of the Maturation Between the Midpalatal and Zygomaticomaxillary Sutures through CBCT,ar,Article,Ladewig V.d.M.,,Universidade Norte do Parana,Londrina,Brazil,,,,,2022-12-01,December 2022,Iranian Journal of Orthodontics,17355087,21101266527,23833491,Journal,17,2,e1070,,,,0,0,,,,,
2-s2.0-85174920887,10.34172/japid.2022.016,,,Clinical evaluation and biological understanding of the early step-by-step healing after periodontal microsurgery: A case report with PES analysis comparing initial and 31-day result,ar,Article,Kahn S.,,Universidade Veiga de Almeida,Rio de Janeiro,Brazil,,,,,2022-12-01,Dec 2022,Journal of Advanced Periodontology and Implant Dentistry,,21101196744,26455390,Journal,14,2,,141-145,,,8,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85164775923,10.30476/DENTJODS.2021.91479.1588,,,Efficacy of a 0.5% Propolis-0.9% Pomegranate Buccal Spray Treatment Compared with 2% Miconazole Gel for Denture Stomatitis Treatment in Elderly Patients: a Randomized Clinical Trial,ar,Article,Parro Y.M.,,Universidade de Brasília,Brasília,Brazil,,,,,2022-12-01,December 2022,Journal of Dentistry Iran,23456485,21101163369,23456418,Journal,23,4,,472-479,,,2,0,,,,,
2-s2.0-85161844647,10.1016/j.xaor.2022.09.004,S266643052200111X,,Orthodontic treatment in a patient with sickle cell anemia: An update,ar,Article,Pithon M.M.,,Universidade Federal do Rio de Janeiro;Universidade Estadual do Sudoeste da Bahia,Rio de Janeiro;Vitoria da Conquista,Brazil;Brazil,,,,,2022-12-01,December 2022,Ajo do Clinical Companion,,21101133344,26664305,Journal,2,6,,618-619,,,0,0,,,,,
2-s2.0-85151469904,10.34172/joddd.2022.039,,,Assessment of marginal gaps and image quality of crowns made of two different restorative materials: An in vitro study using CBCT images,ar,Article,Doriguêtto P.V.T.,,Universidade Federal de Juiz de Fora,Juiz de Fora,Brazil,,,,,2022-12-01,Dec 2022,Journal of Dental Research Dental Clinics Dental Prospects,2008210X,21100854235,20082118,Journal,16,4,,243-250,,,1,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85148559629,10.1016/j.xaor.2022.09.003,S2666430522000991,,Extraction of maxillary premolars in Class III surgical patients,ar,Article,de Paiva Ghiu I.T.,,Universidade Federal Fluminense,Niteroi,Brazil,,,,,2022-12-01,December 2022,Ajo do Clinical Companion,,21101133344,26664305,Journal,2,6,,532-556,,,0,0,,,,,
2-s2.0-85146096475,10.1053/j.sodo.2022.12.001,S1073874622000706,,Skeletal anchorage in surgery first orthognathic surgery,ar,Article,Faber J.,,Universidade de Brasília,Brasília,Brazil,,,,,2022-12-01,December 2022,Seminars in Orthodontics,10738746,23536,,Journal,28,4,,311-319,,,0,0,,,,,
2-s2.0-85145470732,10.15644/asc56/4/3,,,Effect of Different Bleaching Gels Thickeners on Cytotoxicity to Human Gingival Fibroblasts and Enamel Physical Properties: an in Situ Study,ar,Article,Silva B.G.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2022-12-01,December 2022,Acta Stomatologica Croatica,00017019,23760,18460410,Journal,56,4,,363-375,,,4,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85144680351,10.3390/dj10120222,,,Resin Composites in Posterior Teeth: Clinical Performance and Direct Restorative Techniques,re,Review,Pizzolotto L.,,Private practice,Porto Alegre,Brazil,,,,,2022-12-01,December 2022,Dentistry Journal,,21100901062,23046767,Journal,10,12,222,,,,27,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85144098270,10.1186/s12903-022-02648-7,,36522707,Factors associated with recent and regular non-use of dental services by students from a university in southeastern Brazil: a cross-sectional study,ar,Article,de Oliveira Cunha R.,,Universidade Federal de Juiz de Fora,Juiz de Fora,Brazil,,,,,2022-12-01,December 2022,BMC Oral Health,,24341,14726831,Journal,22,1,612,,,,1,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85144086639,10.1016/j.prosdent.2022.10.006,S0022391322006497,36526362,Response to the letter to the Editor regarding “Jaw tracking integration to the virtual patient: A 4D dynamic approach”,le,Letter,Zambrana N.,,Universidade de São Paulo;Private Practice,Sao Paulo;Sao Paulo,Brazil;Brazil,,,,,2022-12-01,December 2022,Journal of Prosthetic Dentistry,00223913,26175,10976841,Journal,128,6,,1415,,,1,0,,,,,
2-s2.0-85143895366,10.1007/s40368-022-00736-4,,35904752,Premature loss of primary molars: impact on the oral health-related quality of life of schoolchildren,ar,Article,Evangelista M.E.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2022-12-01,December 2022,European Archives of Paediatric Dentistry,18186300,5800179585,19969805,Journal,23,6,,911-918,,,3,0,,,,,
2-s2.0-85143704574,10.21037/fomm-21-46,,,Oral rehabilitation through the application of a xenogenous bone graft prior to placement of a dental implant: a case report with 9 years of follow-up,ar,Article,Ferreira P.M.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2022-12-01,December 2022,Frontiers of Oral and Maxillofacial Medicine,,21101073270,2664777X,Journal,4,,40,,,,0,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85143379927,10.1016/j.dental.2022.11.017,S010956412200313X,36424207,Pigmentation techniques of a 4YSZ: Effect on the fatigue mechanical behavior of a 4YSZ adhesively luted onto dentin analog,ar,Article,Souza L.F.B.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2022-12-01,December 2022,Dental Materials,01095641,24936,,Journal,38,12,,2003-2013,,,2,0,,,,,
2-s2.0-85143131434,10.1186/s12903-022-02609-0,,36463206,Stress as worsening of the signs and symptoms of the geographic tongue during the COVID-19 pandemic: a pilot study,ar,Article,Sarruf M.B.J.M.,,Universidade Federal Fluminense,Niteroi,Brazil,,,,,2022-12-01,December 2022,BMC Oral Health,,24341,14726831,Journal,22,1,565,,,,3,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85142824891,10.1016/j.ajodo.2022.09.010,S0889540622006400,36456095,Orthodontics social media calling for help: How big is the problem?,le,Letter,Gasparello G.G.,,University of Juiz de Fora,Juiz de Fora,Brazil,,,,,2022-12-01,December 2022,American Journal of Orthodontics and Dentofacial Orthopedics,08895406,23807,,Journal,162,6,,809-810,,,0,0,,,,,
2-s2.0-85142789607,10.1016/j.dental.2022.11.015,S0109564122003177,36446649,Silica infiltration on translucent zirconia restorations: Effects on the antagonist wear and survivability,ar,Article,Alves L.M.M.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho"";NYU College of Dentistry",Sao Paulo;New York,Brazil;United States,,,,,2022-12-01,December 2022,Dental Materials,01095641,24936,,Journal,38,12,,2084-2095,,,9,1,all publisherfree2read repository repositoryam,All Open Access Bronze Green,,,
2-s2.0-85142782476,10.1016/j.ajodo.2022.09.006,S0889540622006084,36456089,Authors’ response,le,Letter,Colet R.,,Paraná Hospital,Maringa,Brazil,,,,,2022-12-01,December 2022,American Journal of Orthodontics and Dentofacial Orthopedics,08895406,23807,,Journal,162,6,,804-805,,,0,0,,,,,
2-s2.0-85142691739,10.1016/j.prosdent.2022.10.011,S0022391322006898,36435670,Effect of printing layer thickness on the trueness and fit of additively manufactured removable dies,ar,Article,Yilmaz B.,,"The Ohio State University;University of Bern, Faculty of Medicine",Columbus;Bern,United States;Switzerland,,,,,2022-12-01,December 2022,Journal of Prosthetic Dentistry,00223913,26175,10976841,Journal,128,6,,1318-1318.e9,,,23,1,all repository repositoryvor,All Open Access Green,,,
