eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85214072652,10.4090/juee.2022.v16n2.192204,,,ASSESSMENT OF BIOCONVERSION PERFORMANCE AFTER ALKALINE FERMENTATION PROCESS TO RECOVER BIOGAS AND NUTRIENTS,ar,Article,Ferreira T.S.,,Universidade Estadual da Paraiba,Campina Grande,Brazil,,,,,2022-12-31,31 December 2022,Journal of Urban and Environmental Engineering,,19700186945,19823932,Journal,16,2,,193-204,,,0,0,,,,,
2-s2.0-85174046633,10.4090/juee.2022.v16n2.186192,,,PERFORMANCE OF OVERSIZED PUMPS CONTROLLED BY VARIABLE FREQUENCY DRIVES IN WATER SUPPLY SYSTEMS,ar,Article,Mendonça K.H.,,Universidade Federal da Paraíba,Joao Pessoa,Brazil,,,,,2022-12-31,31 December 2022,Journal of Urban and Environmental Engineering,,19700186945,19823932,Journal,16,2,,186-192,,,0,0,,,,,
2-s2.0-85174037600,10.4090/juee.2023.v16n2.215220,,,BIOCHAR IN WASTEWATER TREATMENT: A SYSTEMATIC MAPPING,ar,Article,Menezes B.L.O.,,Université Fédérale de Sergipe,Sao Cristovao,Brazil,,,,,2022-12-31,31 December 2022,Journal of Urban and Environmental Engineering,,19700186945,19823932,Journal,16,2,,215-220,,,0,0,,,,,
2-s2.0-85174020101,10.4090/juee.2022.v16n2.162170,,,"OCCURRENCE OF CRYPTOSPORIDIUM OOCYSTS AND GIARDIA CYSTS IN PUBLIC WATER SUPPLIES IN VITÓRIA, ES, BRAZIL",ar,Article,Keller R.,,Universidade Federal do Espírito Santo,Vitoria,Brazil,,,,,2022-12-31,31 December 2022,Journal of Urban and Environmental Engineering,,19700186945,19823932,Journal,16,2,,162-170,,,0,0,,,,,
2-s2.0-85173749945,10.4090/juee.2022.v16n2.141153,,,GIS SPATIAL TOOLS FOR TRAFFIC ACCIDENTS: ANALYSIS WITH HEAVY VEHICLES ON HIGHWAYS IN RIO DE JANEIRO,ar,Article,Bressane S.,,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2022-12-31,31 December 2022,Journal of Urban and Environmental Engineering,,19700186945,19823932,Journal,16,2,,141-153,,,1,0,,,,,
2-s2.0-85142681520,10.1016/j.bej.2022.108737,S1369703X22004065,,Estimation of selectivities in transglycosylation systems with multiple transglycosylation products,ar,Article,Mitchell D.A.,,Universidade Federal do Parana,Curitiba,Brazil,,,,,2022-12-31,31 December 2022,Biochemical Engineering Journal,1369703X,16849,1873295X,Journal,189,,108737,,,,4,0,,,,,
2-s2.0-85143993851,10.1201/9781003206385-2,,,Green approaches to catalytic processes under alternative reaction media,ch,Book Chapter,Pereira M.M.,,Universidade de Coimbra,Coimbra,Portugal,,,,,2022-12-30,30 December 2022,Advanced Materials for A Sustainable Environment Development Strategies and Applications,,21101126096,,Book,,,,25-56,,,0,0,,,,,
2-s2.0-85143993214,10.1201/9781003206385-4,,,Nano-engineered hybrid materials for decontamination of hazardous organics,ch,Book Chapter,Horta I.M.,,Instituto Tecnologico de Aeronautica,Sao Jose dos Campos,Brazil,,,,,2022-12-30,30 December 2022,Advanced Materials for A Sustainable Environment Development Strategies and Applications,,21101126096,,Book,,,,77-99,,,0,0,,,,,
2-s2.0-85142925458,10.4324/9781003314943,,,"Visualizations of urban space: Digital age, aesthetics, and politics",bk,Book,Wagner C.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2022-12-30,30 December 2022,Visualizations of Urban Space Digital Age Aesthetics and Politics,,21101123422,,Book,,,,1-214,,,4,0,,,,,
2-s2.0-85142312086,10.1017/S0376892922000364,S0376892922000364,,Brazil: Environment under attack,ed,Editorial,Dutra Da Silva M.,,Universidade Federal do Rio Grande,Rio Grande,Brazil,,,,,2022-12-29,29 December 2022,Environmental Conservation,03768929,20953,14694387,Journal,49,4,,203-205,,,11,1,all publisherfree2read,All Open Access Bronze,,,
