eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85146186666,10.3389/fcimb.2022.1104519,,36644771,Editorial: Tropical fungal diseases,ed,Editorial,Taborda C.P.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2022-12-29,29 December 2022,Frontiers in Cellular and Infection Microbiology,,21100255109,22352988,Journal,12,,1104519,,,,2,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85142183130,10.1182/blood.2022017257,S0006497122013015,36126318,Breakthrough COVID-19 in vaccinated patients with hematologic malignancies: results from the EPICOVIDEHA survey,ar,Article,Pagano L.,,"Università Cattolica del Sacro Cuore, Campus di Roma;Fondazione Policlinico Universitario Agostino Gemelli IRCCS",Rome;Rome,Italy;Italy,,,,,2022-12-29,29 December 2022,Blood,00064971,25454,15280020,Journal,140,26,,2773-2787,,,71,1,all publisherhybridgold repository repositoryvor repositoryam,All Open Access Hybrid Gold Green,,,
2-s2.0-85145891242,10.3389/fcimb.2022.983089,,36619768,The contribution of gut-brain axis to development of neurological symptoms in COVID-19 recovered patients: A hypothesis and review of literature,ar,Article,Vakili K.,,SBUMS School of Medicine,Tehran,Iran,,,,,2022-12-22,22 December 2022,Frontiers in Cellular and Infection Microbiology,,21100255109,22352988,Journal,12,,983089,,,,22,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85145744343,10.3389/fmicb.2022.1078972,,,The Neurospora crassa PCL-1 cyclin is a PHO85-1 (PGOV) kinase partner that directs the complex to glycogen metabolism and is involved in calcium metabolism regulation,ar,Article,Campanella J.E.M.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2022-12-22,22 December 2022,Frontiers in Microbiology,,21100226442,1664302X,Journal,13,,1078972,,,,1,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85145730242,10.3389/fmicb.2022.1037455,,,Genomic landscape of the SARS-CoV-2 pandemic in Brazil suggests an external P.1 variant origin,ar,Article,Perico C.P.,,Universidade Federal do Parana,Curitiba,Brazil,,,,,2022-12-22,22 December 2022,Frontiers in Microbiology,,21100226442,1664302X,Journal,13,,1037455,,,,4,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85145675451,10.3389/fcimb.2022.1089088,,36619756,Editorial: New strategies and technologies enabling point of care diagnosis of neglected or tropical diseases,ed,Editorial,Costa A.D.T.,,"Instituto Carlos Chagas, Curitiba",Curitiba,Brazil,,,,,2022-12-22,22 December 2022,Frontiers in Cellular and Infection Microbiology,,21100255109,22352988,Journal,12,,1089088,,,,0,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85145504081,10.3389/fimmu.2022.1021768,,36618401,Schiff bases complexed with iron and their relation with the life cycle and infection by Schistosoma mansoni,ar,Article,da Silva J.V.,,Universidade Federal de São Carlos,Sao Carlos,Brazil,,,,,2022-12-21,21 December 2022,Frontiers in Immunology,,21100229161,16643224,Journal,13,,1021768,,,,0,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85145502426,10.3389/fimmu.2022.1102384,,36618393,Neutralizing antibody titers to Omicron six months after vaccination with BNT162b2 in Colombia,ar,Article,Zapata-Cardona M.I.,,Universidad de Antioquia,Medellin,Colombia,,,,,2022-12-21,21 December 2022,Frontiers in Immunology,,21100229161,16643224,Journal,13,,1102384,,,,2,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85145500091,10.3389/fcimb.2022.979800,,36619767,The antigen processing-associated transporter gene polymorphism: Role on gene and protein expression in HPV-infected pre-cancerous cervical lesion,ar,Article,Medeiros F.S.,,Fundacao Oswaldo Cruz,Rio de Janeiro,Brazil,,,,,2022-12-21,21 December 2022,Frontiers in Cellular and Infection Microbiology,,21100255109,22352988,Journal,12,,979800,,,,0,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85144598512,10.1136/jitc-2022-005644,,36543374,Activated B cells suppress T-cell function through metabolic competition,ar,Article,Imahashi N.,,University of Texas Health Science Center at Houston;National Hospital Organization Nagoya Medical Center,Houston;Nagoya,United States;Japan,,,,,2022-12-21,21 December 2022,Journal for Immunotherapy of Cancer,,21100466864,20511426,Journal,10,12,e005644,,,,18,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85152107812,10.21769/BioProtoc.4576,,,Faster Bacterial Gene Cloning Using the Brick into the Gateway (BiG) Protocol,ar,Article,Pierdoná F.G.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2022-12-20,20 December 2022,Bio Protocol,,21101060220,23318325,Journal,12,24,e4576,,,,0,2,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85145407761,10.3389/fmicb.2022.1075650,,,Evaluation of a rapid susceptibility test of polymyxin B by MALDI-TOF,ar,Article,Barth P.O.,,Universidade Federal do Rio Grande do Sul;Hospital de Clinicas de Porto Alegre,Porto Alegre;Porto Alegre,Brazil;Brazil,,,,,2022-12-19,19 December 2022,Frontiers in Microbiology,,21100226442,1664302X,Journal,13,,1075650,,,,4,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
