eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85147034387,10.1142/S0218127422502455,,,On the Limit Cycles of a Class of Discontinuous Piecewise Differential Systems Formed by Two Rigid Centers Governed by Odd Degree Polynomials,ar,Article,Carvalho T.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2022-12-30,30 December 2022,International Journal of Bifurcation and Chaos,02181274,12337,,Journal,32,16,2250245,,,,1,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85218968930,10.18537/mskn.13.02.06,,,Evaluation of the diagnostic value of fecal calprotectin in dyspepsia patients,ar,Article,González C.,,University of Cuenca,Cuenca,Ecuador,,,,,2022-12-24,24 December 2022,Maskana,13906143,21101277819,24778893,Journal,13,2,,56-61,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85145683079,10.1016/j.isci.2022.105676,S2589004222019484,,Ediacaran Corumbella has a cataphract calcareous skeleton with controlled biomineralization,ar,Article,Osés G.L.,,Universidade de São Paulo;The University of Edinburgh;Universidade Federal de São Carlos,Sao Paulo;Edinburgh;Sao Carlos,Brazil;United Kingdom;Brazil,,,,,2022-12-22,22 December 2022,Iscience,,21100907125,25890042,Journal,25,12,105676,,,,8,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85143132472,10.1016/j.isci.2022.105598,S2589004222018703,,Uric acid metabolism modulates diet-dependent responses to intraspecific competition in Drosophila larvae,ar,Article,Morimoto J.,,University of Aberdeen;Universidade Federal do Parana,Aberdeen;Curitiba,United Kingdom;Brazil,,,,,2022-12-22,22 December 2022,Iscience,,21100907125,25890042,Journal,25,12,105598,,,,6,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85143993600,10.1073/pnas.2213096119,,36508678,Genomic diversification of the specialized parasite of the fungus-growing ant symbiosis,ar,Article,Gotting K.,,University of Wisconsin-Madison,Madison,United States,,,,,2022-12-20,20 December 2022,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,10916490,Journal,119,51,e2213096119,,,,7,1,all publisherhybridgold repository repositoryvor,All Open Access Hybrid Gold Green,,,
2-s2.0-85143176260,10.1016/j.scib.2022.11.012,S209592732200514X,,Rethinking the neurosurgical approach to brain disorders from the network neuroscience perspective,no,Note,Wei P.H.,,"Xuanwu Hospital, Capital Medical University;National Clinical Research Center for Geriatric Disorders",Beijing;Beijing,China;China,,,,,2022-12-15,15 December 2022,Science Bulletin,20959273,21100405003,20959281,Journal,67,23,,2376-2380,,,4,0,,,,,
2-s2.0-85142930235,10.1038/s41586-022-05578-0,,36446943,"Author Correction: Failure of human rhombic lip differentiation underlies medulloblastoma formation (Nature, (2022), 609, 7929, (1021-1028), 10.1038/s41586-022-05215-w)",er,Erratum,Hendrikse L.D.,,University of Toronto Faculty of Medicine;The Hospital for Sick Children,Toronto;Toronto,Canada;Canada,,,,,2022-12-15,15 December 2022,Nature,00280836,21206,14764687,Journal,612,7940,,E12,,,4,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85143447921,10.1073/pnas.2211217119,,36469788,Multiclonal human origin and global expansion of an endemic bacterial pathogen of livestock,ar,Article,Yebra G.,,"University of Edinburgh, Roslin Institute",Midlothian,United Kingdom,,,,,2022-12-13,13 December 2022,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,10916490,Journal,119,50,e2211217119,,,,31,1,all publisherhybridgold repository repositoryvor repositoryam,All Open Access Hybrid Gold Green,,,
2-s2.0-85180378862,10.2307/j.ctv32r02zk,,,Frameworks for scientific and technological research oriented by transdisciplinary co-production,bk,Book,de Rezende Alvares L.M.A.,,Universidade de Brasília,Brasília,Brazil,,,,,2022-12-06,6 December 2022,Frameworks for Scientific and Technological Research Oriented by Transdisciplinary Co Production,,21101194021,,Book,,,,1-163,,,0,0,,,,,
2-s2.0-85143619966,10.1073/pnas.2201573119,,,Opinion dynamics in financial markets via random networks,ar,Article,Granha M.F.B.,,Universidade de Pernambuco,Recife,Brazil,,,,,2022-12-06,6 December 2022,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,10916490,Journal,119,49,e2201573119,,,,17,1,all publisherhybridgold repository repositoryvor repositoryam,All Open Access Hybrid Gold Green,,,
