eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85189698653,10.1075/lcs.00044.sig,,,Algorithmic power and scientific knowledge,ar,Article,Signorini I.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2023-12-31,31 December 2023,Language Culture and Society,25433164,21101109913,25433156,Journal,5,2,,231-245,,,2,0,,,,,
2-s2.0-85187723618,10.14198/DISSOC.17.4.1,,,Notes in bold: Contributions of Afroperspectivist epistemes against colonial noises in knowledge production of Critical Discourse Studies,ar,Article,MacEdo L.B.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2023-12-31,31 December 2023,Discurso Y Sociedad,,21100862242,18874606,Journal,17,4,,652-676,,,0,1,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85187663594,10.14198/DISSOC.17.4.2,,,"""We are born with that"" A vision of Paulo Freire and the spaces as discursive instruments in ""que hora ela volta?""",ar,Article,Von Behr J.G.C.,,Universidade de Brasília,Brasília,Brazil,,,,,2023-12-31,31 December 2023,Discurso Y Sociedad,,21100862242,18874606,Journal,17,4,,677-694,,,0,1,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85182943923,10.17651/ONOMAST.67.9,,,PARLIAMENTARY NAMES AS A STRATEGY FOR SOCIAL POSITIONING AND MANIFESTING IDENTITY TRAITS,ar,Article,Amaral E.T.R.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2023-12-31,31 December 2023,Onomastica,00784648,21101033942,,Journal,67,,,143-161,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85188215980,10.1017/S1355771823000651,S1355771823000651,,Ecomprovisation: Project Markarian 335,ar,Article,Aliel L.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2023-12-30,30 December 2023,Organised Sound,13557718,19700173012,14698153,Journal,28,3,,328-337,,,3,0,,,,,
2-s2.0-85182994648,10.3989/aeamer.2023.2.02,,,Images of Slavery in Brazilian Colonisation,ar,Article,Domingues H.M.B.,,Museu de Astronomia e Ciências Afins,Rio de Janeiro - Rio de Janeiro,Brazil,,,,,2023-12-30,30 December 2023,Anuario De Estudios Americanos,02105810,24754,19884273,Journal,80,2,,427-454,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85179373490,10.3989/asclepio.2023.24,,,CALL TEACHERS! TRAINING OF HEALTH PROFESSIONALS (HEALTH EDUCATORS AND PUBLIC HEALTH NURSES) IN BRAZIL,ar,Article,Ferreira L.O.,,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2023-12-30,30 December 2023,Asclepio,02104466,27640,19883102,Journal,75,2,e24,,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85179340595,10.3989/asclepio.2023.23,,,FROM NORMALISTS TO NATURALISTS: THE SPECIALIZATION OF WOMEN IN PUBLIC HEALTH IN BRAZIL (1920-1960),ar,Article,Azevedo N.,,Casa de Oswaldo Cruz,Rio de Janeiro,Brazil,,,,,2023-12-30,30 December 2023,Asclepio,02104466,27640,19883102,Journal,75,2,e23,,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85179333087,10.3989/asclepio.2023.26,,,"STATE, NATURE: PUBLIC HEALTH AND MEDICAL CARE INSTITUTIONS IN SÃO PAULO BETWEEN THE 19TH AND 20TH CENTURIES",ar,Article,da Silva M.R.B.,,Departamento de História-FFLCH-USP,,Brazil,,,,,2023-12-30,30 December 2023,Asclepio,02104466,27640,19883102,Journal,75,2,e26,,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85179323057,10.3989/asclepio.2023.25,,,"CONSIDERATIONS ON THE FIRST WOMEN PSYCHIATRISTS IN BRAZIL: EDUCATION, PRACTICE AND INTEGRATION STRATEGIES (1920-1940)",ar,Article,Mercier V.,,Université Lumière Lyon 2,Lyon,France,,,,,2023-12-30,30 December 2023,Asclepio,02104466,27640,19883102,Journal,75,2,e25,,,,0,1,all publisherfullgold,All Open Access Gold,,,
