eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85174508132,10.31117/neuroscirn.v6i4.237,,,Intravenous human dental pulp-derived mesenchymal stem cell therapy for ischemic stroke in rats: an analysis of functional and ischemic brain areas outcomes,ar,Article,Greggianin G.F.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2023-12-31,31 December 2023,Neuroscience Research Notes,,21101038738,2576828X,Journal,6,4,237,,,,0,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85182718403,10.46900/apn.v3i1(January-April).68,,,Endoscopic Third Ventriculostomy: long term results,no,Note,de Oliveira R.S.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2023-12-27,27 December 2023,Archives of Pediatric Neurosurgery,,21101196738,26753626,Journal,5,,e682021,,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182714219,10.46900/apn.v5suppl1.241,,,Our First Supplement!,ed,Editorial,Ballestero M.,,Universidade de São Paulo;Universidade Federal de São Carlos,Sao Paulo;Sao Carlos,Brazil;Brazil,,,,,2023-12-27,27 December 2023,Archives of Pediatric Neurosurgery,,21101196738,26753626,Journal,5,,e2412023,,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182686340,10.46900/apn.v5Suppl1.132,,,Endoscopic anatomy of the ventricles,ar,Article,Dezena R.A.,,Universidade Federal do Triangulo Mineiro,Uberaba,Brazil,,,,,2023-12-27,27 December 2023,Archives of Pediatric Neurosurgery,,21101196738,26753626,Journal,5,,e1322022,,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85182644620,10.46900/apn.v3i1(January-April).70,,,ETV and choroid plexus coagulation: a critical analysis,no,Note,Santos M.V.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2023-12-27,27 December 2023,Archives of Pediatric Neurosurgery,,21101196738,26753626,Journal,5,,e702021,,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85170435379,10.1017/neu.2023.38,S0924270823000388,37605989,Pharmacogenetics of angiotensin modulators according to APOE- μ4 alleles and the ACE insertion/deletion polymorphism in Alzheimer's disease,ar,Article,Oliveira F.F.D.,,Universidade Federal de São Paulo,Sao Paulo,Brazil,,,,,2023-12-22,22 December 2023,Acta Neuropsychiatrica,09242708,17554,16015215,Journal,35,6,,346-361,,,3,0,,,,,
2-s2.0-105010117971,10.20338/bjmb.v17i6.418,,,Editorial: Michael Turvey: The Most Influential Scholar in Motor Behavior in the Last 50 Years,ed,Editorial,Profeta V.L.d.S.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2023-12-22,22 December 2023,Brazilian Journal of Motor Behavior,19805586,21101306753,24464902,Journal,17,6,,282-284,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-105010013647,10.20338/bjmb.v17i6.402,,,Infographic: How is talent defined among Brazilian sports scientists?,no,Note,Thiengo C.R.,,Ginga Futebol,Bauru,Brazil,,,,,2023-12-22,22 December 2023,Brazilian Journal of Motor Behavior,19805586,21101306753,24464902,Journal,17,6,,268-269,,,0,0,,,,,
2-s2.0-85184300465,10.1159/000535859,,38128499,Thymic Innervation Impairment in Experimental Autoimmune Encephalomyelitis,ar,Article,Francelin C.,,Universidade Estadual de Campinas;Fundacao Oswaldo Cruz,Campinas;Rio de Janeiro,Brazil;Brazil,,,,,2023-12-21,21 December 2023,Neuroimmunomodulation,10217401,21336,14230216,Journal,31,1,,25-39,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85180083459,10.1021/acschemneuro.3c00443,,38048522,Neuroprotective Profile of Triazole Grandisin Analogue against Amyloid-Beta Oligomer-Induced Cognitive Impairment,ar,Article,Andrade V.H.B.d.,,Universidade Federal de Mato Grosso do Sul,Campo Grande,Brazil,,,,,2023-12-20,20 December 2023,ACS Chemical Neuroscience,,19700172804,19487193,Journal,14,24,,4298-4310,,,0,0,,,,,
