eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85176323167,10.1017/S136898002300229X,S136898002300229X,37905595,Evaluation of food purchasing in the Brazilian School Feeding Programme: Feasibility of the requirements and recommendations,ar,Article,Azevedo A.B.C.D.,,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2023-12-31,31 December 2023,Public Health Nutrition,13689800,27997,14752727,Journal,26,12,,3331-3342,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85181416282,10.1136/bmjoq-2023-002510,,38160020,Validation of a method to assess the severity of medication administration errors in Brazil,ar,Article,Assunção-Costa L.,,Universidade Federal da Bahia;INAFF,Salvador;Salvador,Brazil;Brazil,,,,,2023-12-30,30 December 2023,BMJ Open Quality,,21100932737,23996641,Journal,12,4,e002510,,,,1,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85166071740,10.1017/S000711452300154X,,37466032,Consumption of ultra-processed products is associated with vitamin D deficiency in Brazilian adults and elderly,ar,Article,Nascimento L.M.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2023-12-28,28 December 2023,British Journal of Nutrition,00071145,30025,14752662,Journal,130,12,,2198-2205,,,2,0,,,,,
2-s2.0-85163846507,10.1017/S0007114523001368,,37317800,Characteristics of food establishments registered with a meal delivery app in Latin America,ar,Article,de Paula Matos J.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2023-12-28,28 December 2023,British Journal of Nutrition,00071145,30025,14752662,Journal,130,12,,2155-2161,,,5,0,,,,,
2-s2.0-85163624055,10.1017/S0007114523001356,,37323002,Association between dairy products consumption and the prevalences of combined prediabetes and type 2 diabetes mellitus in Brazilian adolescents: a cross-sectional study,ar,Article,Medina M.,,Universidade Federal do Rio Grande do Sul;Universidad del Azuay,Porto Alegre;Cuenca,Brazil;Ecuador,,,,,2023-12-28,28 December 2023,British Journal of Nutrition,00071145,30025,14752662,Journal,130,12,,2162-2173,,,2,0,,,,,
2-s2.0-85160945355,10.1017/S0007114523001204,S0007114523001204,37190988,Exposure to ultra-processed foods during pregnancy and ultrasound fetal growth parameters,ar,Article,Lourenço B.H.,,Universidade de São Paulo;Harvard T.H. Chan School of Public Health,Sao Paulo;Boston,Brazil;United States,,,,,2023-12-28,28 December 2023,British Journal of Nutrition,00071145,30025,14752662,Journal,130,12,,2136-2145,,,5,0,,,,,
2-s2.0-85180447171,10.7764/Horiz_Enferm.34.3.780-797,,,INTERPROFESSIONAL EDUCATION AND COLLABORATIVE PRACTICE IN HEALTH: APPLICATIONS AND CHALLENGES FOR NURSING,ar,Article,Jaque R.L.,,Universidad de Chile,Santiago,Chile,,,,,2023-12-23,23 December 2023,Horizonte De Enfermeria,07168861,21101158602,07196946,Journal,34,3,,780-797,,,0,0,,,,,
2-s2.0-85217500448,10.1136/spcare-2023-004620,,38129106,Clinical pharmacy in hospital palliative medicine: non-randomised clinical trial,ar,Article,Cavalcante-Santos L.M.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2023-12-21,21 December 2023,BMJ Supportive and Palliative Care,2045435X,21100322088,20454368,Journal,14,e2,spcare-2023-004620,,,,0,0,,,,,
2-s2.0-85173255214,10.1016/j.fhfh.2023.100158,S2667025923000420,,Exopolysaccharides in immunomodulation of ulcerative colitis: A systematic review and meta-analysis of randomized controlled trials in an animal model,ar,Article,Brito L.P.d.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2023-12-15,15 December 2023,Food Hydrocolloids for Health,,21101092738,26670259,Journal,4,,100158,,,,5,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85158015558,10.1017/S0007114523001022,S0007114523001022,37154243,Weight loss associated with low-energy diets with different glycaemic loads does not improve arterial stiffness: a randomised clinical trial,ar,Article,Perin L.,,Instituto de Cardiologia/Fundacao Universitaria de Cardiologia,Porto Alegre,Brazil,,,,,2023-12-14,14 December 2023,British Journal of Nutrition,00071145,30025,14752662,Journal,130,11,,1859-1870,,,0,0,,,,,
