eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85217788373,10.1145/3702485,,,Introduction to the Special Issue on Security and Privacy of Avatar in Metaverse,ed,Editorial,Zhang Y.,,Nanjing University of Aeronautics and Astronautics,Nanjing,China,,,,,2024-12-31,31 December 2024,ACM Transactions on Multimedia Computing Communications and Applications,15516857,4700151918,15516865,Journal,21,2,41,,,,0,1,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85214846904,10.4204/EPTCS.415.14,,,Modal Logics – RNmatrices vs. Nmatrices,cp,Conference Paper,Coniglio M.E.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2024-12-31,31 December 2024,Electronic Proceedings in Theoretical Computer Science Eptcs,20752180,21100244944,,Conference Proceeding,415,,,138-149,,,0,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85214806575,10.4204/EPTCS.415.20,,,A note on Grigoriev and Zaitsev’s system CNL24,cp,Conference Paper,Omori H.,,Tohoku University,Sendai,Japan,,,,,2024-12-31,31 December 2024,Electronic Proceedings in Theoretical Computer Science Eptcs,20752180,21100244944,,Conference Proceeding,415,,,229-243,,,0,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85214795018,10.4204/EPTCS.415.21,,,The Power of Generalized Clemens Semantics,cp,Conference Paper,Omori H.,,Tohoku University,Sendai,Japan,,,,,2024-12-31,31 December 2024,Electronic Proceedings in Theoretical Computer Science Eptcs,20752180,21100244944,,Conference Proceeding,415,,,244-256,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85214999772,10.53391/mmnsa.1555670,,,A study of fractional optimal control of overweight and obesity in a community and its impact on the diagnosis of diabetes,ar,Article,Moya E.M.D.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2024-12-30,30 December 2024,Mathematical Modelling and Numerical Simulation with Applications,,21101180452,27918564,Journal,4,4,,514-543,,,4,0,,,,,
2-s2.0-85213920649,10.1201/9781003465904-2,,,A perspective on digital twins as an emerging technology,ch,Book Chapter,Monteiro A.C.B.,,Renato Archer Information Technology Center (CTI),"Campinas, São Paulo",Brazil,,,,,2024-12-30,30 December 2024,Handbook of Industrial and Business Applications with Digital Twins,,21101267162,,Book,,,,3-19,,,0,0,,,,,
2-s2.0-85203538068,10.21037/jmai-24-51,,,The impact of the orientation of MRI slices on the accuracy of Alzheimer’s disease classification using convolutional neural networks (CNNs),ar,Article,Ramalho B.A.C.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2024-12-30,30 December 2024,Journal of Medical Artificial Intelligence,,21101063739,26172496,Journal,7,,35,,,,4,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-105001933212,10.21037/vats-23-12,,,Uniportal video-assisted thoracoscopic surgery: bleeding control with additional port surgical technique,ar,Article,Barcelos R.R.,,Harvard Medical School,Boston,United States,,,,,2024-12-30,30 December 2024,Video Assisted Thoracic Surgery,,21101039659,25190792,Journal,9,,39,,,,0,0,,,,,
2-s2.0-85201215539,10.20396/rdbci.v22i00.8676334,,,"Citizen science in the implementation of the Sustainable Development Goals in the State of Santa Catarina, Brazil",ar,Article,Silveira P.C.d.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2024-12-29,29 December 2024,Revista Digital De Biblioteconomia E Ciencia Da Informacao,,21100901898,1678765X,Journal,22,,e024016,,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85203182431,10.1016/j.neucom.2024.128443,S0925231224012141,,Memory-efficient DRASiW Models,ar,Article,Napoli O.O.,,Universidade Estadual de Campinas;Iscte – Instituto Universitário de Lisboa,Campinas;Lisbon,Brazil;Portugal,,,,,2024-12-28,28 December 2024,Neurocomputing,09252312,24807,18728286,Journal,610,,128443,,,,1,0,,,,,
