eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85213933320,10.4324/9781003528937-24,,,Closure of constraints and the individuation of causal systems in biology,ch,Book Chapter,El-Hani C.N.,,Universidade Federal da Bahia,Salvador,Brazil,,,,,2024-12-30,30 December 2024,Routledge Handbook of Causality and Causal Methods,,21101267134,,Book,,,,215-229,,,0,0,,,,,
2-s2.0-85213184200,10.4324/9781003458081-8,,,"Public management in the digital age in the city of Niterói, Brazil: Institutional and procedural changes and lessons learned for the developing world",ch,Book Chapter,Barreto E.R.,,University of Ottawa;Universidade Federal Fluminense,Ottawa;Niteroi,Canada;Brazil,,,,,2024-12-30,30 December 2024,Routledge International Handbook of Public Administration and Digital Governance,,21101266111,,Book,,,,94-111,,,0,0,,,,,
2-s2.0-86000623405,10.1079/9781786390912.0000,,,The handbook of mites of stored products,bk,Book,Vacante V.,,Università degli Studi di Reggio Calabria,Reggio Calabria,Italy,,,,,2024-12-23,23 December 2024,Handbook of Mites of Stored Products,,21101281084,,Book,,,,1-671,,,1,0,,,,,
2-s2.0-85213918966,10.4324/9781003449850-12,,,Cooperative organizations as complex adaptive systems,ch,Book Chapter,Silva C.,,Pontifícia Universidade Católica do Paraná,Curitiba,Brazil,,,,,2024-12-23,23 December 2024,Routledge Handbook of Cooperative Economics and Management,,21101267139,,Book,,,,131-144,,,0,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
2-s2.0-85216065792,,,,"Public territorial governance and community-based tourism for sustainable local development: A case study of paraty, Brazil",ch,Book Chapter,de Almeida T.C.,,Universidade Federal de Vicosa,Vicosa,Brazil,,,,,2024-12-18,18 December 2024,Tourism Case Studies Latin America Region,,21101271120,,Book,,,,58-66,,,0,0,,,,,
2-s2.0-85216063802,,,,Pretos que Voam - an afrocentric collective project to promote the access of peripheral black people to airline crew jobs in Brazil,ch,Book Chapter,Amorim L.,,Quilombo Aéreo,Rio de Janeiro,Brazil,,,,,2024-12-18,18 December 2024,Tourism Case Studies Latin America Region,,21101271120,,Book,,,,67-76,,,0,0,,,,,
2-s2.0-85216060955,,,,Developing a rural tourism route through the integration of local stakeholders: Challenges and opportunities for family farmers in Porto Seguro - Bahia (Brazil),ch,Book Chapter,Sant'Anna E.S.,,Universidade Federal Fluminense,Niteroi,Brazil,,,,,2024-12-18,18 December 2024,Tourism Case Studies Latin America Region,,21101271120,,Book,,,,208-217,,,1,0,,,,,
2-s2.0-85216058074,,,,Co-creation and developing the creative economy: The 'Galo da Madrugada' case,ch,Book Chapter,Almeida L.,,RECRIA - Brazilian Creative Tourism and Experiences Network,Recife,Brazil,,,,,2024-12-18,18 December 2024,Tourism Case Studies Latin America Region,,21101271120,,Book,,,,134-143,,,0,0,,,,,
2-s2.0-85216057394,,,,Tourism cases in Latin America: An introduction,ch,Book Chapter,Allis T.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2024-12-18,18 December 2024,Tourism Case Studies Latin America Region,,21101271120,,Book,,,,xv-xxiii,,,0,0,,,,,
2-s2.0-85216056797,,,,"A city developed for (and by) tourism: Campos do Jordão (São Paulo, Brazil)",ch,Book Chapter,Mendes B.C.,,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",Sao Paulo,Brazil,,,,,2024-12-18,18 December 2024,Tourism Case Studies Latin America Region,,21101271120,,Book,,,,218-230,,,0,0,,,,,
2-s2.0-85216056508,,,,"'We are a territory, a territory of struggles': Community and resistance tourism in a territorial museum on the outskirts of São Paulo",ch,Book Chapter,Cardoso C.,,Comunidade Cultural Quilombaque,Sao Paulo,Brazil,,,,,2024-12-18,18 December 2024,Tourism Case Studies Latin America Region,,21101271120,,Book,,,,17-31,,,0,0,,,,,
2-s2.0-85216054141,,,,Tourism done by indigenous peoples and traditional communities in Brazil's first world heritage mixed site,ch,Book Chapter,de Oliveira dos Santos R.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2024-12-18,18 December 2024,Tourism Case Studies Latin America Region,,21101271120,,Book,,,,44-57,,,0,0,,,,,
2-s2.0-85216053350,,,,Placemaking perspective and determinants of tourism: A case study in a creative design city in Brazil,ch,Book Chapter,Mediotte E.J.,,Universidade Federal de Vicosa,Vicosa,Brazil,,,,,2024-12-18,18 December 2024,Tourism Case Studies Latin America Region,,21101271120,,Book,,,,231-244,,,0,0,,,,,
