eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-86000116014,,,,THE HISTORICAL MEANING OF THE 1923 REVOLUTION IN BRAZIL,ar,Article,Axt G.,,Fundação Superior do Ministério Público do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,387-449,,,0,0,,,,,
2-s2.0-85218006914,,,,THE ROLE OF THE DIRETORIA DE TERRAS E COLONIZAÇÃO IN THE URBAN PLANNING OF NORTH RIO GRANDE DO SUL BETWEEN THE YEARS 1907 AND 1928,ar,Article,Maroneze Garcia C.,,Instituto Federal do Rio Grande do Sul,Rio Grande,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,87-114,,,0,0,,,,,
2-s2.0-85217997576,,,,THE 20TH SEPTEMBER CELEBRATIONS AMONG ITALIAN IMMIGRANTS IN RIO GRANDE DO SUL,ar,Article,de Ruggiero A.,,Pontifícia Universidade Católica do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,205-219,,,0,0,,,,,
2-s2.0-85217795462,10.1344/sn2024.28.43574,,,Offerors on the residential real estate market in Gran Santiago (Chile): towa rds multifamily assets,ar,Article,Martín I.M.S.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2024-12-31,31 December 2024,Scripta Nova,,6300153139,11389788,Journal,28,4,,123-143,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85217740126,10.1344/sn2024.28.43502,,,"Territorialization of capital in the Lower Amazon: An analysis of the Ford, Cargill, and Alcoa cases",ar,Article,Almeida R.,,Universidade Federal do Oeste do Pará,Santarem,Brazil,,,,,2024-12-31,31 December 2024,Scripta Nova,,6300153139,11389788,Journal,28,4,,33-63,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85217628205,,,,IFSUL PASSO FUNDO: CONNECTIONS WITH TECHNOLOGICAL EDUCATION IN BRAZIL AND LOCAL POWER RELATIONS (2006-2023),ar,Article,Barea C.,,Universidade de Passo Fundo,Passo Fundo,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,365-385,,,0,0,,,,,
2-s2.0-85217569471,,,,THE HISTORIOGRAPHY OF ITALIAN IMMIGRATION IN RIO GRANDE DO SUL,ar,Article,Herédia V.B.M.,,Pontifícia Universidade Católica do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,17-54,,,0,0,,,,,
2-s2.0-85217566544,,,,NOTES ON THE ITALIANITY OF ARCHITECTURE IN RIO GRANDE DO SUL,ar,Article,Weimer G.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,143-182,,,0,0,,,,,
2-s2.0-85217557924,,,,GEMELLAGGI BETWEEN BRAZIL AND ITALY: HISTORICAL LINKS OF COLLECTIVE AND TERRITORIAL IDENTIFICATIONS,ar,Article,Tedesco J.C.,,Universidade de Passo Fundo,Passo Fundo,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,115-141,,,0,0,,,,,
2-s2.0-85217551945,,,,WAYS OF “MAKING AMERICA”: THE COURSE OF AN IMMIGRANT IN THE CONDE D’EU COLONY,ar,Article,Vendrame M.I.,,Universidade do Vale do Rio dos Sinos,Sao Leopoldo,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,319-340,,,0,0,,,,,
2-s2.0-85217547547,,,,URBANIZATION IN ITALIAN COLONIZATION IN RIO GRANDE DO SUL: THE CASE OF CAXIAS DO SUL,ar,Article,Do Nascimento R.F.,,Universidade de Caxias do Sul,Caxias do Sul,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,183-204,,,0,0,,,,,
2-s2.0-85217540610,,,,THE BUILDING OF THE FIRST METHODIST TEMPLES IN RIO GRANDE DO SUL IN THE ITALIAN COLONY,ar,Article,Chiesa V.M.D.,,Pontifícia Universidade Católica do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,221-246,,,0,0,,,,,
2-s2.0-85217536450,,,,FEMALE VOICES: MEMORIES ABOUT RELIGIOSITY IN THE LIVES OF ITALIAN IMMIGRANTS AND THEIR DESCENDANTS,ar,Article,Raampazzo C.B.,,Universidade de Caxias do Sul,Caxias do Sul,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,289-318,,,0,0,,,,,
2-s2.0-85217529421,,,,FAMILY AND DIVISION OF INHERITANCE AT FARM OF THE SOCORRO-RS BETWEEN THE 19TH AND 20TH CENTURIES,ar,Article,Pegoraro A.P.,,Universidade de Passo Fundo,Passo Fundo,Brazil,,,,,2024-12-31,31 December 2024,Revista do Instituto Historico E Geografico do Rio Grande do Sul,16783484,21101274418,25957031,Journal,2024,167,,451-477,,,0,0,,,,,
2-s2.0-85217488252,10.21138/GF.856,,,SPATIAL ANALYSIS OF SEDIMENT TRANSPORT BY AREA OF CONTRIBUTION OF TRIBUTARIES WITHOUT VEGETATION COVER IN THE UNA RIVER BASIN,ar,Article,Abreu Sales J.C.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2024-12-31,31 December 2024,Geofocus,,21101176024,15785157,Journal,2024,34,,45-62,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85216342657,10.7160/eriesj.2024.170404,,,DATA ENVELOPMENT ANALYSIS AS A TOOL FOR IDENTIFYING REFERENCE SCHOOLS: A STUDY IN THE CONTEXT OF HIGH SCHOOL IN A BRAZILIAN STATE,ar,Article,Soares D.J.M.,,Instituto Federal do Norte de Minas Gerais,Montes Claros,Brazil,,,,,2024-12-31,31 December 2024,Journal on Efficiency and Responsibility in Education and Science,23362375,21100898037,18031617,Journal,17,4,,314-327,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85215327581,10.9771/rds.v5i2.65229,,,Femicide as an autonomous crime and its impacts on civil law,ar,Article,da Cunha L.R.,,Universidade Federal da Bahia,Salvador,Brazil,,,,,2024-12-31,31 December 2024,Revista Direito E Sexualidade,,21101146385,26753596,Journal,5,2,,203-219,,,0,0,,,,,
2-s2.0-85214800352,10.34624/rtd.v47i0.38787,,,On-line Travel Reviews and Dark Tourism: What can TripAdvisor users teach us about macabre visiting experiences in Brazil?,ar,Article,Furtado F.G.C.,,Universidade Federal do Maranhão,Sao Luis,Brazil,,,,,2024-12-31,31 December 2024,Journal of Tourism and Development,16459261,21100933997,21821453,Journal,47,,,469-490,,,0,0,,,,,
2-s2.0-85214439737,10.9771/rds.v5i2.65230,,,Introduction,no,Note,Cunha L.R.d.,,Universidade Federal da Bahia,Salvador,Brazil,,,,,2024-12-31,31 December 2024,Revista Direito E Sexualidade,,21101146385,26753596,Journal,5,2,,I-II,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85214435258,10.9771/rds.v6i2.62854,,,GENDER AND SEXUALITY UNDER THE ARCHEGENEALOGICAL ANALYSIS OF KNOWLEDGE – POWER,ar,Article,de Toni Junior C.N.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2024-12-31,31 December 2024,Revista Direito E Sexualidade,,21101146385,26753596,Journal,5,2,,109-131,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85214424453,10.9771/rds.v6i2.60881,,,ALIMONY FOR EX-SPOUSE: MATERIAL AND FORMAL LIMITS OF THE PRINCIPLE OF SOLIDARITY IN FAMILY LAW,ar,Article,Fonseca Á.A.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2024-12-31,31 December 2024,Revista Direito E Sexualidade,,21101146385,26753596,Journal,5,2,,28-41,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85214394566,10.9771/rds.v6i2.60109,,,GENITAL “NORMALIZATION” SURGERIES ON INTERSEX CHILDREN AND ADOLESCENTS: MEDICAL NECESSITY OR VIOLATION OF HUMAN RIGHTS?,ar,Article,Oliveira B.I.M.d.,,Núcleo TransUnifesp,,Brazil,,,,,2024-12-31,31 December 2024,Revista Direito E Sexualidade,,21101146385,26753596,Journal,5,2,,1-27,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85214365761,10.9771/rds.v6i2.64219,,,AN ANALYSIS OF AUTONOMY AND CONSENT IN THE PRACTICE OF CHILD MARRIAGE IN BRAZIL,ar,Article,Nogues N.C.,,Tribunal de Justiça do Estado do Paraná,Paraná,Brazil,,,,,2024-12-31,31 December 2024,Revista Direito E Sexualidade,,21101146385,26753596,Journal,5,2,,132-153,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85214362597,10.9771/rds.v6i2.61582,,,NAME PROTECTION AS A PERSONALITY RIGHT AND CHANGING THE FIRST NAME OF TRANSSEXUAL PEOPLE IN RE 670.422/RS AND ADI 4.275,ar,Article,Varão M.F.O.,,Tribunal Regional Federal da 4ª Região (TRF4),,Brazil,,,,,2024-12-31,31 December 2024,Revista Direito E Sexualidade,,21101146385,26753596,Journal,5,2,,42-59,,,1,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85214352235,10.9771/rds.v6i2.61935,,,ABORTION AND (IN)COHERENCE OF (DE)CRIMINALIZATION IN THE BRAZILIAN CONSTITUTIONAL ORDER,ar,Article,Labres C.,,Fundação da Escola Superior do Ministério Público do RS (FMP),,Brazil,,,,,2024-12-31,31 December 2024,Revista Direito E Sexualidade,,21101146385,26753596,Journal,5,2,,60-81,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85213937236,10.4324/9781003401681-9,,,Brazil: From denialism to cynicism,ch,Book Chapter,Joathan Í.,,Centro Universitário Inta (UNINTA),Florianopolis,Brazil,,,,,2024-12-31,31 December 2024,Risk Communication and Covid 19 Governmental Communication and Management of Pandemic,,21101267156,,Book,,,,57-70,,,0,0,,,,,
2-s2.0-85213701588,10.1136/bmjnph-2024-000975,,,Health policy to address disease-related malnutrition: a scoping review,re,Review,Ford K.L.,,University of Waterloo,Waterloo,Canada,,,,,2024-12-31,31 December 2024,BMJ Nutrition Prevention and Health,,21101022490,25165542,Journal,7,2,,426-440,,,2,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85213464316,10.1075/il.24002.dan,,,Grounding lists Building common ground as a multimodal practice in interaction,ar,Article,Dankel P.,,Universität Basel,Basel,Switzerland,,,,,2024-12-31,31 December 2024,Interactional Linguistics,26664224,21101263949,26664232,Journal,4,2,,193-224,,,0,0,,,,,
2-s2.0-105003434779,10.1075/ml.24027.deg,,,NLP and education: Using semantic similarity to evaluate filled gaps in a large-scale Cloze test in the classroom,ar,Article,de Gois T.S.,,Université Fédérale de Sergipe,Sao Cristovao,Brazil,,,,,2024-12-31,31 December 2024,Mental Lexicon,18711340,12100155713,18711375,Journal,19,1,,90-99,,,0,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-105003431750,10.1075/ml.24018.est,,,"Word processing through lexical decision in Brazilian Portuguese: Blends, derived, and simplex words",ar,Article,Estivalet G.,,Universidade Federal da Paraíba;Conselho Nacional de Desenvolvimento Cientifico E Tecnologico Cnpq,Joao Pessoa;Brasilia,Brazil;Brazil,,,,,2024-12-31,31 December 2024,Mental Lexicon,18711340,12100155713,18711375,Journal,19,1,,145-160,,,0,0,,,,,
2-s2.0-105002194880,10.4018/979-8-3693-5315-8.ch003,,,Bullying and neurodiverse adolescents: Mapping review and implications,ch,Book Chapter,Lembo V.M.R.,,Pontificia Universidade Catolica de Campinas,Campinas,Brazil,,,,,2024-12-31,31 December 2024,Preventing Bullying Among Children with Special Educational Needs,,21101287423,,Book,,,,65-92,,,0,0,,,,,
2-s2.0-85216994935,10.17851/2237-2083.32.3.700-737,,,Vocal and Prosodic Parameters on Transgender Digital Influencers’ Speech on Brazilian Social Media,ar,Article,Soncin G.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2024-12-30,30 December 2024,Revista De Estudos Da Linguagem,01040588,21101021172,22372083,Journal,32,3,,700-737,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85216988169,10.17851/2237-2083.32.3.851-875,,,Metaphorical Phraseologies in a Learner Corpus: Investigating Translations from Brazilian Portuguese to English,ar,Article,Rocha J.M.P.,,Instituto Federal do Mato Grosso do Sul (IFMS),Coxim,Brazil,,,,,2024-12-30,30 December 2024,Revista De Estudos Da Linguagem,01040588,21101021172,22372083,Journal,32,3,,851-875,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85216986661,10.17851/2237-2083.32.3.876-895,,,The Variation of Pronominal Order in Verb Complexes in the Mozambican Variety of Portuguese,ar,Article,Mutoba B.O.,,Universidade Estadual de Feira de Santana,Feira de Santana,Brazil,,,,,2024-12-30,30 December 2024,Revista De Estudos Da Linguagem,01040588,21101021172,22372083,Journal,32,3,,876-895,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85216963638,10.17851/2237-2083.32.3.738-761,,,Subject Doubling it has two Prosodic Realizations: Prosodic Phrasing of the Subject Doubling Constructions in the Speech of Rio de Janeiro,ar,Article,Rezende Dos Reis E.P.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2024-12-30,30 December 2024,Revista De Estudos Da Linguagem,01040588,21101021172,22372083,Journal,32,3,,738-761,,,0,1,all publisherfullgold,All Open Access Gold,,,
