Scopus Source ID,Title,Citation Count,Scholarly Output,Percent Cited,CiteScore,SNIP,SJR,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Percentile,RANK,Rank Out Of,Publisher,Main Publisher,Type,Open Access,Quartile,Top 10% (CiteScore Percentile),URL Scopus Source ID,Print ISSN,E-ISSN
12001,Journal of the Experimental Analysis of Behavior,815,261,69,3.1,0.973,0.936,3205,Experimental and Cognitive Psychology,43,96,169,Wiley-Blackwell,John Wiley & Sons,j,No,3,FALSE,https://www.scopus.com/sourceid/12001,00225002,19383711
12001,Journal of the Experimental Analysis of Behavior,815,261,69,3.1,0.973,0.936,2802,Behavioral Neuroscience,26,67,90,Wiley-Blackwell,John Wiley & Sons,j,No,3,FALSE,https://www.scopus.com/sourceid/12001,00225002,19383711
12002,Journal of the History of the Behavioral Sciences,105,87,49,1.2,0.833,0.252,1202,History,87,225,1850,Wiley-Blackwell,John Wiley & Sons,j,No,1,FALSE,https://www.scopus.com/sourceid/12002,00225061,15206696
12002,Journal of the History of the Behavioral Sciences,105,87,49,1.2,0.833,0.252,3201,Psychology (miscellaneous),35,70,107,Wiley-Blackwell,John Wiley & Sons,j,No,3,FALSE,https://www.scopus.com/sourceid/12002,00225061,15206696
12004,Journal of Trauma and Dissociation,774,153,81,5.1,1.426,0.971,3203,Clinical Psychology,75,78,313,Taylor & Francis,Taylor & Francis,j,No,1,FALSE,https://www.scopus.com/sourceid/12004,15299732,15299740
12004,Journal of Trauma and Dissociation,774,153,81,5.1,1.426,0.971,2738,Psychiatry and Mental Health,67,188,580,Taylor & Francis,Taylor & Francis,j,No,2,FALSE,https://www.scopus.com/sourceid/12004,15299732,15299740
12005,Journal of Traumatic Stress,2525,441,83,5.7,1.151,1.185,3203,Clinical Psychology,79,65,313,Wiley-Blackwell,John Wiley & Sons,j,No,1,FALSE,https://www.scopus.com/sourceid/12005,08949867,15736598
12005,Journal of Traumatic Stress,2525,441,83,5.7,1.151,1.185,2738,Psychiatry and Mental Health,74,149,580,Wiley-Blackwell,John Wiley & Sons,j,No,2,FALSE,https://www.scopus.com/sourceid/12005,08949867,15736598
12006,Journal of Vocational Behavior,3096,288,89,10.8,2.409,2.793,3304,Education,96,54,1620,Elsevier,Elsevier,j,No,1,TRUE,https://www.scopus.com/sourceid/12006,00018791,10959084
12006,Journal of Vocational Behavior,3096,288,89,10.8,2.409,2.793,3319,Life-span and Life-course Studies,94,4,60,Elsevier,Elsevier,j,No,1,TRUE,https://www.scopus.com/sourceid/12006,00018791,10959084
