Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Telefone,Sitio,e-Mail,Endereço Sede,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,Data do Ato de Criação da IES,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Reitor/Dirigente Principal,Representante Legal,Sinalizações Vigentes,Situação da IES,Data de Descredenciamento,eid,afid,name,domain,url,variants,name_match,url_match,domain_match,variant_match
1404,UNIAO EDUCACIONAL DO NORTE LTDA,04.515.940/0001-74,Privada com fins lucrativos,2132,CENTRO UNIVERSITÁRIO UNINORTE,-,(68) 3213 7070,www.uninorteac.com.br,juliano.cavalcante@uninorteac.com.br;regulacao@uninorteac.com.br,Alameda Alemanha - 200 - CEP: 69915-901 - Jardim Europa,Rio Branco,AC,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada com fins lucrativos,2002-09-09,4,2023.0,4,2017.0,2,2023.0,,,Unificação de Mantidas,Ativa,,10-s2.0-123595940,123595940,Centro Universitário Uninorte,,,[],1,0,0,0
15014,"INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DO ACRE",10.918.674/0001-23,Pessoa Jurídica de Direito Público - Federal,15507,"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",IFAC,(68)3222-8291,www.ifac.edu.br,reitoria@ifac.edu.br,Via Chico Mendes - 3084 - CEP: 69906-302 - Areal,Rio Branco,AC,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior /,Publica,Pública Federal,2008-12-30,5,2021.0,-,,3,2023.0,,,,Ativa,,10-s2.0-60271904,60271904,"Instituto Federal De Educação, Ciência E Tecnologia Do Acre – IFAC",ifac.edu.br,https://www.ifac.edu.br/,"['Instituto Federal De Educação, Ciência E Tecnologia Do Acre – IFAC']",0,1,1,0
381,FUNDACAO UNIVERSIDADE FEDERAL DO ACRE,04.071.106/0001-37,Pessoa Jurídica de Direito Público - Federal,549,UNIVERSIDADE FEDERAL DO ACRE (UFAC),UFAC,(68) 3901 2571,www.ufac.br,reitoria@ufac.br,Campus Universitário - 6637 - CEP: 69915-900 - Distrito Industrial,Rio Branco,AC,Universidade,EAD - Superior / Presencial - Superior /,Publica,Pública Federal,1971-05-03,4,2016.0,4,2023.0,4,2023.0,,,,Ativa,,10-s2.0-60015612,60015612,Universidade Federal do Acre,ufac.br,http://www.ufac.br,"['Federal University of Acre', 'Universidade Federal do Acre']",1,1,1,1
404,FUNDACAO EDUCACIONAL JAYME DE ALTAVILA-FEJAL,12.207.742/0001-71,Privada sem fins lucrativos,621,CENTRO UNIVERSITÁRIO CESMAC (CESMAC),CESMAC,(82)3215.5205,www.cesmac.edu.br,emec@cesmac.edu.br,Rua Íris Alagoense - 1009 - CEP: 57051-370 - Farol,Maceió,AL,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1973-09-20,5,2023.0,4,2018.0,3,2023.0,,,,Ativa,,10-s2.0-60272034,60272034,Centro Universitário CESMAC,acesso.cesmac.edu.br,https://acesso.cesmac.edu.br/maceio,"['Centro Universitário CESMAC', 'CESMAC University Center']",1,0,0,1
404,FUNDACAO EDUCACIONAL JAYME DE ALTAVILA-FEJAL,12.207.742/0001-71,Privada sem fins lucrativos,621,CENTRO UNIVERSITÁRIO CESMAC (CESMAC),CESMAC,(82)3215.5205,www.cesmac.edu.br,emec@cesmac.edu.br,Rua Íris Alagoense - 1009 - CEP: 57051-370 - Farol,Maceió,AL,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1973-09-20,5,2023.0,4,2018.0,3,2023.0,,,,Ativa,,10-s2.0-112969946,112969946,Centro Universitário CESMAC,,,"['Centro Universitário Cesmac', 'Centro Universitário Cesmac (cesmac)', 'Centro Universitario Cesmac', 'Centro Universitário (cesmac)', 'Cesmac Centro Educacional', 'Centro Universitário De Maceió (cesmac)', 'Centro Universitário Cesmac. Rua Cônego Machado', 'Centro Universitário Cesmac. Maceió', 'Centro Universitário Cesmac-hospital Do Coração', 'Centro Universitário Cesmac - Cesmac']",1,0,0,3
545,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",02.608.755/0001-07,Privada com fins lucrativos,1298,Faculdade Estácio de Alagoas - Estácio FAL (ESTÁCIO FAL),ESTÁCIO FAL,,www.estacio.br,cgfalal@gmail.com;regulatorio.nacional@estacio.br;,RUA PIO XII - 70 - CEP: 57035-560 - JATIÚCA,Maceió,AL,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,1999-04-14,5,2024.0,-,,3,2023.0,,,,Ativa,,10-s2.0-60022378,60022378,Universidade Estacio de Sa,estacio.br,http://www.estacio.br,"['Estacio de Sa University', 'Universidade Estacio de Sa']",0,1,1,0
545,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",02.608.755/0001-07,Privada com fins lucrativos,1298,Faculdade Estácio de Alagoas - Estácio FAL (ESTÁCIO FAL),ESTÁCIO FAL,,www.estacio.br,cgfalal@gmail.com;regulatorio.nacional@estacio.br;,RUA PIO XII - 70 - CEP: 57035-560 - JATIÚCA,Maceió,AL,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,1999-04-14,5,2024.0,-,,3,2023.0,,,,Ativa,,10-s2.0-60003597,60003597,Universidade Estacio de Sa Faculdade de Medicina,estacio.br,http://www.estacio.br,"['Estacio de Sa University Faculty of Medicine', 'Universidade Estacio de Sa Faculdade de Medicina']",0,1,1,0
15532,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE ALAGOAS - IF/AL",10.825.373/0001-55,Pessoa Jurídica de Direito Público - Federal,3160,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS (IFAL)",IFAL,(82) 3194-1191,www.ifal.edu.br,secgab@ifal.edu.br;pei.reitoria@ifal.edu.br,Rua Doutor Odilon Vasconcelos - 103 - CEP: 57035-660 - Jatiúca,Maceió,AL,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior /,Publica,Pública Federal,1999-03-23,4,2015.0,3,2017.0,3,2023.0,,,,Ativa,,10-s2.0-60100490,60100490,Instituto Federal de Alagoas,ifal.edu.br,https://www2.ifal.edu.br/,"['Institutio Federal de Educação Ciência Tecnologia Alagoas, Brazil', 'Instituto Federal de Educação, Ciência e Tecnologia de Alagoas', 'Instituto Federal de Alagoas', 'Federal Institute of Alagoas']",0,1,1,1
335,UNIVERSIDADE ESTADUAL DE ALAGOAS,02.436.870/0001-33,Pessoa Jurídica de Direito Público - Estadual,5242,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL (UNEAL),UNEAL,(82)3521-3019,www.uneal.edu.br,gabinete@uneal.edu.br,Rua Governador Luiz Cavalcante - s/n - CEP: 57312-270 - Alto do Cruzeiro,Arapiraca,AL,Universidade,EAD - Superior / Presencial - Superior /,Publica,Pública Estadual,2006-12-22,-,,3,2022.0,3,2023.0,,,,Ativa,,10-s2.0-60271967,60271967,Universidade Estadual de Alagoas - UNEAL,uneal.edu.br,http://www.uneal.edu.br/,"['Universidade Estadual de Alagoas - UNEAL', 'State University of Alagoas - UNEAL', 'Universidade Estadual de Alagoas', 'State University of Alagoas']",1,1,1,1
32,UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE ALAGOAS - UNCISAL,12.517.793/0001-08,Pessoa Jurídica de Direito Público - Estadual,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL (UNCISAL),UNCISAL,(82) 33156705 / (82) 33156702,www.uncisal.edu.br,reitoria@uncisal.edu.br,Rua Jorge de Lima - 113 - CEP: 57010-300 - Trapiche da Barra,Maceió,AL,Universidade,EAD - Superior / Presencial - Superior /,Publica,Pública Estadual,1970-03-15,-,,3,2013.0,4,2023.0,,,,Ativa,,10-s2.0-60101657,60101657,Universidade Estadual de Ciências da Saúde de Alagoas,,http://www.uncisal.edu.br/,['Universidade Estadual de Ciências da Saúde de Alagoas'],0,1,0,0
15601,UNIVERSIDADE FEDERAL DE ALAGOAS,24.464.109/0001-48,Pessoa Jurídica de Direito Público - Federal,577,UNIVERSIDADE FEDERAL DE ALAGOAS (UFAL),UFAL,(82) 3214 1767,www.ufal.edu.br,gr@reitoria.ufal.br;pi@reitoria.ufal.br,Av. Lourival de Melo Mota - s/n - CEP: 57072-970 - TABULEIRO DO MARTINS,Maceió,AL,Universidade,EAD - Superior / Presencial - Superior /,Publica,Pública Federal,1961-01-27,4,2018.0,4,2019.0,4,2023.0,,,,Ativa,,10-s2.0-60005405,60005405,Universidade Federal de Alagoas,ufal.br,https://ufal.br/ufal,"['Federal University of Alagoas', 'Universidade Federal de Alagoas']",1,0,0,1
2405,CENESUP - CENTRO NACIONAL DE ENSINO SUPERIOR LTDA,05.474.470/0001-00,Privada com fins lucrativos,1422,CENTRO UNIVERSITÁRIO DO NORTE (UNINORTE),UNINORTE,(81) 3413-4611,http://www.uninorte.com.br,emec@sereducacional.com,Av. Getúlio Vargas - 604 - CEP: 69020-010 - centro,Manaus,AM,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1994-07-14,5,2023.0,4,2023.0,3,2023.0,,,Unificação de Mantidas,Ativa,,10-s2.0-118441119,118441119,Centro Universitário do Norte,,,['Centro Universitário Do Norte'],1,0,0,1
2405,CENESUP - CENTRO NACIONAL DE ENSINO SUPERIOR LTDA,05.474.470/0001-00,Privada com fins lucrativos,1422,CENTRO UNIVERSITÁRIO DO NORTE (UNINORTE),UNINORTE,(81) 3413-4611,http://www.uninorte.com.br,emec@sereducacional.com,Av. Getúlio Vargas - 604 - CEP: 69020-010 - centro,Manaus,AM,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1994-07-14,5,2023.0,4,2023.0,3,2023.0,,,Unificação de Mantidas,Ativa,,10-s2.0-126286473,126286473,Centro Universitário do Norte (UniNorte),,,['Centro Universitário Do Norte (uninorte)'],1,0,0,1
2405,CENESUP - CENTRO NACIONAL DE ENSINO SUPERIOR LTDA,05.474.470/0001-00,Privada com fins lucrativos,1422,CENTRO UNIVERSITÁRIO DO NORTE (UNINORTE),UNINORTE,(81) 3413-4611,http://www.uninorte.com.br,emec@sereducacional.com,Av. Getúlio Vargas - 604 - CEP: 69020-010 - centro,Manaus,AM,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1994-07-14,5,2023.0,4,2023.0,3,2023.0,,,Unificação de Mantidas,Ativa,,10-s2.0-111855232,111855232,Centro Universitário do Norte,,,['Centro Universitário Do Norte'],1,0,0,1
2405,CENESUP - CENTRO NACIONAL DE ENSINO SUPERIOR LTDA,05.474.470/0001-00,Privada com fins lucrativos,1422,CENTRO UNIVERSITÁRIO DO NORTE (UNINORTE),UNINORTE,(81) 3413-4611,http://www.uninorte.com.br,emec@sereducacional.com,Av. Getúlio Vargas - 604 - CEP: 69020-010 - centro,Manaus,AM,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1994-07-14,5,2023.0,4,2023.0,3,2023.0,,,Unificação de Mantidas,Ativa,,10-s2.0-120736169,120736169,Centro Universitário do Norte (UNINORTE/Manaus),,,['Centro Universitário Do Norte (uninorte/manaus)'],1,0,0,1
2405,CENESUP - CENTRO NACIONAL DE ENSINO SUPERIOR LTDA,05.474.470/0001-00,Privada com fins lucrativos,1422,CENTRO UNIVERSITÁRIO DO NORTE (UNINORTE),UNINORTE,(81) 3413-4611,http://www.uninorte.com.br,emec@sereducacional.com,Av. Getúlio Vargas - 604 - CEP: 69020-010 - centro,Manaus,AM,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1994-07-14,5,2023.0,4,2023.0,3,2023.0,,,Unificação de Mantidas,Ativa,,10-s2.0-117223444,117223444,Centro Universitário do Norte,,,"['Centro Universitário Do Norte (uninorte)', 'Centro Universitário Do Norte', 'Centro Universitario Do Norte (uninorte)', 'Centro Universitario Do Norte']",1,0,0,4
417,SOCIEDADE PORVIR CIENTIFICO,92.741.990/0001-37,Privada sem fins lucrativos,2676,FACULDADE LA SALLE,-,(92) 3655 1246,www.lasalle.edu.br/faculdade/manaus,mariafatima.duraes@lasalle.org.br,Avenida Dom Pedro I - 151 - CEP: 69040-040 - Dom Pedro,Manaus,AM,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2004-08-12,4,2024.0,-,,3,2023.0,,,,Ativa,,10-s2.0-117310813,117310813,Faculdades La Salle,,,"['Faculdade La Salle', 'Faculdades La Salle']",0,0,0,1
417,SOCIEDADE PORVIR CIENTIFICO,92.741.990/0001-37,Privada sem fins lucrativos,2676,FACULDADE LA SALLE,-,(92) 3655 1246,www.lasalle.edu.br/faculdade/manaus,mariafatima.duraes@lasalle.org.br,Avenida Dom Pedro I - 151 - CEP: 69040-040 - Dom Pedro,Manaus,AM,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2004-08-12,4,2024.0,-,,3,2023.0,,,,Ativa,,10-s2.0-119177488,119177488,Faculdade La Salle,,,['Faculdade La Salle'],1,0,0,1
417,SOCIEDADE PORVIR CIENTIFICO,92.741.990/0001-37,Privada sem fins lucrativos,2676,FACULDADE LA SALLE,-,(92) 3655 1246,www.lasalle.edu.br/faculdade/manaus,mariafatima.duraes@lasalle.org.br,Avenida Dom Pedro I - 151 - CEP: 69040-040 - Dom Pedro,Manaus,AM,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2004-08-12,4,2024.0,-,,3,2023.0,,,,Ativa,,10-s2.0-115241797,115241797,Facultade la Salle,,,"['Facultade La Salle', 'Faculdade La Salle']",0,0,0,1
1433,INSPETORIA SALESIANA MISSIONARIA DA AMAZONIA,04.373.163/0001-70,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,2186,FACULDADE SALESIANA DOM BOSCO (FSDB),FSDB,(92) 31314100,http://www.fsdb.edu.br,frankbrito@hotmail.com,AVENIDA COSME FERREIRA - 5122 - CEP: 69083-000 - ZUMBI DOS PALMARES,Manaus,AM,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2002-04-18,4,2017.0,-,,3,2023.0,,,,Ativa,,10-s2.0-118452322,118452322,Faculdade Salesiana Dom Bosco,,,['Faculdade Salesiana Dom Bosco'],1,0,0,1
16460,SOCIEDADE EDUCACIONAL IDAAM LTDA,02.514.969/0001-06,Privada com fins lucrativos,20651,Faculdades IDAAM (IDAAM),IDAAM,(92)3304.5590,www.idaam.edu.br,direcao@idaam.edu.br,Avenida Djalma Batista - 1719 - CEP: 69050-010 - Chapada,Manaus,AM,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2017-05-04,2,2022.0,-,,2,2023.0,,,Em Descredenciamento voluntário,Ativa,,10-s2.0-114612345,114612345,IDAAM,,,"['Idaam', 'Faculdades Idaam', 'Idaam Educação Superior', 'Idaam Educacao Superior']",0,0,0,1
16583,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAZONAS",10.792.928/0001-00,Pessoa Jurídica de Direito Público - Federal,1812,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS (IFAM)",IFAM,(92)3303-0003 / 3306-0054 / 3306-0055,http://www2.ifam.edu.br/,gabinete@ifam.edu.br; cpei.proen@ifam.edu.br; proen@ifam.edu.br,Avenida Sete de Setembro - 1975 - CEP: 69020-120 - CENTRO,Manaus,AM,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior /,Publica,Pública Federal,2001-03-27,4,2012.0,4,2020.0,3,2023.0,,,,Ativa,,10-s2.0-60101673,60101673,"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",,,"['Instituto Federal de Educação, Ciência e Tecnologia do Amazonas']",1,0,0,1
2015,UNIVERSIDADE DO ESTADO DO AMAZONAS,04.280.196/0001-76,Pessoa Jurídica de Direito Público - Estadual,3172,UNIVERSIDADE DO ESTADO DO AMAZONAS (UEA),UEA,92-99517-3052,www.uea.edu.br,gabinetechefia@uea.edu.br,Avenida Djalma Batista - 2490 - CEP: 69005-010 - Flores,Manaus,AM,Universidade,EAD - Superior / Presencial - Superior /,Publica,Pública Estadual,2001-01-12,-,,3,2023.0,4,2023.0,,,,Ativa,,10-s2.0-60002175,60002175,Universidade do Estado do Amazonas,uea.edu.br,https://www3.uea.edu.br/?lang=en,"['Amazon State University', 'Universidade do Estado do Amazonas', 'University of the State of Amazonas']",1,0,1,1
2015,UNIVERSIDADE DO ESTADO DO AMAZONAS,04.280.196/0001-76,Pessoa Jurídica de Direito Público - Estadual,3172,UNIVERSIDADE DO ESTADO DO AMAZONAS (UEA),UEA,92-99517-3052,www.uea.edu.br,gabinetechefia@uea.edu.br,Avenida Djalma Batista - 2490 - CEP: 69005-010 - Flores,Manaus,AM,Universidade,EAD - Superior / Presencial - Superior /,Publica,Pública Estadual,2001-01-12,-,,3,2023.0,4,2023.0,,,,Ativa,,10-s2.0-60010116,60010116,"Universidade do Estado do Amazonas, Faculdade de Medicina",www3.uea.edu.br,,"['Amazon State University, Faculty of Medicine', 'Universidade do Estado do Amazonas, Faculdade de Medicina']",0,0,1,0
4,FUNDACAO UNIVERSIDADE DO AMAZONAS,04.378.626/0001-97,Pessoa Jurídica de Direito Público - Federal,4,UNIVERSIDADE FEDERAL DO AMAZONAS (UFAM),UFAM,(92) 3305-4513,www.ufam.edu.br,gabinete@ufam.edu.br,Av. Rodrigo Otávio - 6200 - CEP: 69077-000 - Coroado II,Manaus,AM,Universidade,EAD - Superior / Presencial - Superior /,Publica,Pública Federal,1962-06-27,4,2019.0,-,,4,2023.0,,,,Ativa,,10-s2.0-60000943,60000943,Universidade Federal do Amazonas,ufam.edu.br,https://ufam.edu.br/,"['Federal University of Amazonas', 'Universidade Federal do Amazonas']",1,1,1,1
441,CENTRO DE ENSINO SUPERIOR NILTON LINS,04.803.904/0001-06,Privada sem fins lucrativos,669,UNIVERSIDADE NILTON LINS (UNINILTONLINS),UNINILTONLINS,(92) 3643 2000,www.niltonlins.br,warce@niltonlins.br;jmotta@niltonlins.br;karla@niltonlins.br,Av. Prof. Nilton Lins - 3259 - CEP: 69058-040 - Parque das Laranjeiras,Manaus,AM,Universidade,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1989-08-22,4,2017.0,3,2016.0,3,2023.0,,,,Ativa,,10-s2.0-60194532,60194532,Universidade Nilton Lins,universidadeniltonlins.com.br,https://universidadeniltonlins.com.br/,"['Universidade Nilton Lins', 'Nilton Lins University']",1,0,0,1
