eid,subject area code
2-s2.0-85006942666,1106
2-s2.0-85006942666,2916
2-s2.0-85007578710,3400
2-s2.0-85028262929,2738
2-s2.0-85028262929,2803
2-s2.0-85006852931,2735
2-s2.0-85006852931,3500
2-s2.0-85007499591,3614
2-s2.0-85007499591,2502
2-s2.0-85007499591,2204
2-s2.0-85007499591,2741
2-s2.0-85007494367,1000
2-s2.0-85028235183,2738
2-s2.0-85028235183,2803
2-s2.0-85027926515,2738
2-s2.0-85027926515,2803
2-s2.0-85011086332,1706
2-s2.0-85011086332,2605
2-s2.0-85011086332,2701
2-s2.0-85011086332,1305
2-s2.0-85011086332,1311
2-s2.0-85011086332,2718
2-s2.0-85011086332,1101
2-s2.0-85007508412,2723
2-s2.0-85007508412,2403
2-s2.0-85007508412,2740
2-s2.0-85007499591,3614
2-s2.0-85007499591,2502
2-s2.0-85007499591,2204
2-s2.0-85007499591,2741
2-s2.0-85007486880,2701
2-s2.0-85007486880,1313
2-s2.0-85007486880,1301
2-s2.0-85007486880,1307
2-s2.0-85006317171,2738
2-s2.0-85006317171,2803
2-s2.0-84992549316,2738
2-s2.0-84992549316,2803
2-s2.0-84992533459,2738
2-s2.0-84992533459,2803
2-s2.0-84990854984,2738
2-s2.0-84990854984,2803
2-s2.0-84988447861,2738
2-s2.0-84988447861,2803
2-s2.0-85015057095,1303
2-s2.0-85015057095,2403
2-s2.0-85015057095,2720
2-s2.0-85015057095,1307
2-s2.0-85015342652,2739
2-s2.0-85007415446,1602
2-s2.0-85007415446,1313
2-s2.0-85007415446,3004
2-s2.0-85007415446,3003
2-s2.0-85007415446,3002
2-s2.0-85007415446,2707
2-s2.0-85007415446,1605
2-s2.0-85021932495,2700
2-s2.0-85008618905,2739
2-s2.0-85008618905,2725
2-s2.0-85008496927,2732
2-s2.0-85007028895,2700
2-s2.0-85006818093,2739
2-s2.0-85006829870,2405
2-s2.0-85006829870,1103
2-s2.0-85006829870,3005
2-s2.0-85006829870,2725
2-s2.0-85006817241,2743
2-s2.0-85006817241,2748
2-s2.0-85006744087,2405
2-s2.0-85006744087,1103
2-s2.0-85006744087,3005
2-s2.0-85006744087,2725
2-s2.0-85006744002,2405
2-s2.0-85006744002,1103
2-s2.0-85006744002,3005
2-s2.0-85006744002,2725
2-s2.0-85006707452,2405
2-s2.0-85006707452,1103
2-s2.0-85006707452,3005
2-s2.0-85006707452,2725
2-s2.0-85007610468,2808
2-s2.0-85007610468,2728
2-s2.0-85006852931,2735
2-s2.0-85006852931,3500
2-s2.0-85006850851,3505
2-s2.0-85006850851,2735
2-s2.0-85006850851,3504
2-s2.0-85006850851,3500
2-s2.0-85006725085,2736
2-s2.0-85006494255,2405
2-s2.0-85006494255,2725
2-s2.0-85008153091,2740
2-s2.0-85006867393,2735
2-s2.0-85006867393,3500
2-s2.0-85006341760,2724
2-s2.0-85006341760,2712
2-s2.0-85010408529,1311
2-s2.0-85010408529,2716
2-s2.0-85020555081,2700
2-s2.0-85020553963,2700
2-s2.0-85020545652,2700
2-s2.0-85020543018,2700
2-s2.0-85020535278,2700
2-s2.0-85020523516,2700
2-s2.0-85020523314,2700
2-s2.0-85020513184,2700
2-s2.0-85020509035,2700
2-s2.0-85020507971,2700
2-s2.0-85020503770,2700
2-s2.0-85020501281,2700
2-s2.0-85020494548,2700
2-s2.0-85020490863,2700
2-s2.0-85020490028,2700
2-s2.0-85020488394,2700
2-s2.0-85011115092,1305
2-s2.0-85011115092,1311
2-s2.0-85011115092,1502
2-s2.0-85011115092,2204
2-s2.0-85011115092,2718
2-s2.0-85011081875,1305
2-s2.0-85011081875,1311
2-s2.0-85011081875,1502
2-s2.0-85011081875,2204
2-s2.0-85011081875,2718
2-s2.0-85011061616,1305
2-s2.0-85011061616,1311
2-s2.0-85011061616,1502
2-s2.0-85011061616,2204
2-s2.0-85011061616,2718
2-s2.0-85009145005,2739
2-s2.0-85009145005,2725
2-s2.0-85007086481,2725
2-s2.0-85007086481,2406
2-s2.0-85006952363,2735
2-s2.0-85006952363,3500
2-s2.0-85006942263,2735
2-s2.0-85006942263,3500
2-s2.0-85006931197,2735
2-s2.0-85006931197,3500
2-s2.0-85006915711,2735
2-s2.0-85006915711,3500
2-s2.0-85006897460,3505
2-s2.0-85006897460,2735
2-s2.0-85006897460,3504
2-s2.0-85006897460,3500
2-s2.0-84961211749,2735
2-s2.0-84961211749,2729
2-s2.0-84961207949,2735
2-s2.0-84961207949,2729
2-s2.0-84961204405,2735
2-s2.0-84961204405,2729
2-s2.0-85037855666,2726
2-s2.0-85037855666,2725
2-s2.0-85019494088,2748
2-s2.0-85007472407,2740
2-s2.0-85007472407,2706
2-s2.0-85007441246,2740
2-s2.0-85007441246,2719
2-s2.0-85007441246,2739
2-s2.0-85007394415,2726
2-s2.0-85007394415,2725
2-s2.0-85006974873,2730
2-s2.0-85006974873,1306
2-s2.0-85006835100,2700
2-s2.0-85006515671,2735
2-s2.0-85006515671,2726
2-s2.0-85006515671,2725
2-s2.0-85006484748,2726
2-s2.0-85006484748,2725
2-s2.0-85006386466,2735
2-s2.0-85006386466,2726
2-s2.0-85006386466,2725
2-s2.0-85006324915,2736
2-s2.0-85006110969,2700
2-s2.0-85005989501,2700
2-s2.0-85005959779,2707
2-s2.0-85004115629,2720
2-s2.0-85004115629,1309
2-s2.0-85004115629,1307
2-s2.0-85002213771,2723
2-s2.0-85002213771,2403
2-s2.0-85002213771,2808
2-s2.0-85002213771,2728
2-s2.0-84999648480,2723
2-s2.0-84999648480,2403
2-s2.0-84999648480,2808
2-s2.0-84999648480,2728
2-s2.0-84999648314,2723
2-s2.0-84999648314,2403
2-s2.0-84999648314,2808
2-s2.0-84999648314,2728
2-s2.0-84997523850,1313
2-s2.0-84997523850,3004
2-s2.0-84997523850,3003
2-s2.0-84997523850,3002
2-s2.0-84997523850,2707
2-s2.0-84996774851,1313
2-s2.0-84996774851,3004
2-s2.0-84996774851,3003
2-s2.0-84996774851,3002
2-s2.0-84996774851,2707
2-s2.0-84994091930,2730
2-s2.0-84994091930,1306
2-s2.0-84992549134,2808
2-s2.0-84992549134,2728
2-s2.0-84991706292,2808
2-s2.0-84991706292,2728
2-s2.0-84991704918,2705
2-s2.0-84991661917,2808
2-s2.0-84991661917,2728
2-s2.0-84990847685,2705
2-s2.0-84990187284,2705
2-s2.0-84990041412,2705
2-s2.0-84989888171,2705
2-s2.0-84981251959,2725
2-s2.0-84981251959,2736
2-s2.0-85055232384,2730
2-s2.0-85055232384,2741
2-s2.0-85055232384,2736
2-s2.0-85016121908,2700
2-s2.0-85015625406,2744
2-s2.0-85015625406,3004
2-s2.0-85006456136,2715
2-s2.0-85006371109,2740
