eid,title,published date,cited by count
2-s2.0-85087563423,Breastfeeding and complementary feeding associated with body composition in 18-19 years old adolescents in the 1993 Pelotas Birth Cohort,2017-12-22,4
2-s2.0-85039417470,What does not kill it makes it weaker: Effects of sub-lethal concentrations of ivermectin on the locomotor activity of Anopheles aquasalis,2017-12-28,16
2-s2.0-85042651374,Nucleic acid-based aptasensors for cancer diagnostics: An insight into immobilisation strategies,2017-12-30,3
2-s2.0-85078950931,Acceptance and efficiency of anesthesia by photobiomodulation therapy during conventional cavity preparation in permanent teeth: a pilot randomized crossover clinical study,2017-12-01,7
2-s2.0-85042651374,Nucleic acid-based aptasensors for cancer diagnostics: An insight into immobilisation strategies,2017-12-30,3
2-s2.0-85054420983,Yogurt consumption is associated with a better lifestyle in Brazilian population,2017-12-22,6
2-s2.0-85048255437,Mistaken perception of lipid intake and its effects: A randomized trial,2017-12-22,4
2-s2.0-85038943451,A randomized controlled trial of exercise during pregnancy on maternal and neonatal outcomes: Results from the PAMELA study,2017-12-22,77
2-s2.0-85169229134,Patient-centered outcomes,2017-12-21,1
2-s2.0-85169228579,Textbook of pulmonary rehabilitation,2017-12-21,20
2-s2.0-85169227451,Conclusions: Perspectives in pulmonary rehabilitation,2017-12-21,0
2-s2.0-85052795826,Risk classification priorities in an emergency unit and outcomes of the service provided,2017-12-21,4
2-s2.0-85038901074,Nutrition and Culinary in the Kitchen Program: A randomized controlled intervention to promote cooking skills and healthy eating in university students - Study protocol,2017-12-20,33
2-s2.0-85038626012,Harmonising data on the correlates of physical activity and sedentary behaviour in young people: Methods and lessons learnt from the international Children's Accelerometry database (ICAD),2017-12-20,17
2-s2.0-85038595866,The dual antioxidant/prooxidant effect of eugenol and its action in cancer development and treatment,2017-12-17,140
2-s2.0-85038579210,Effects of beetroot juice supplementation on a 30-s high-intensity inertial cycle ergometer test,2017-12-15,69
2-s2.0-85038374714,Effect of maternal dyslipidaemia on the cardiorespiratory physiology and biochemical parameters in male rat offspring,2017-12-14,16
2-s2.0-85037529488,Effect of grazing behavior on weight regain post-bariatric surgery: A systematic review,2017-12-05,76
2-s2.0-85026228239,The Meaning of Stigma for People with Mental Disorders in Brazil,2017-12-02,9
2-s2.0-85125198194,Priority nursing foci and interventions for older people in acute care settings Focos de atenção prioritários e ações de enfermagem dirigidos à pessoa idosa em contexto clínico agudo Focos de atención prioritarios y acciones de enfermería dirigidas a la persona anciana en un contexto clínico agudo,2017-12-01,5
2-s2.0-85114355942,Clinical and nutritional factors associated with dialysis initiation and mortality in chronic kidney disease,2017-12-01,0
2-s2.0-85114335038,Evaluation of energy metabolism in septic patients with and without AKI,2017-12-01,0
2-s2.0-85114332583,Anthropometric changes caused by hepatitis C treatment with interferon and ribavirin: which patients and which measures are affected?,2017-12-01,0
2-s2.0-85114317448,The action of herbal medicine on the libido: aspects of nutritional intervention in increasing sexual desire,2017-12-01,8
2-s2.0-85114289394,Food and nutrition security: pesticide residues in food,2017-12-01,39
2-s2.0-85111575180,Polymorphisms in PPARG and APOE: relationships with lipid profile of adolescents with cardiovascular risk factors,2017-12-01,2
2-s2.0-85104486106,Nursing students’ perception of training on human sexuality A formação relacionada com a sexualidade humana na perceção de estudantes de enfermagem La formación relacionada con la sexualidad humana en la percepción de los estudiantes de enfermería,2017-12-01,5
2-s2.0-85102251428,"Mg status in inflammation, insulin resistance, and associated conditions",2017-12-01,2
2-s2.0-85098569069,Recognition of visceral obesity beyond body fat: assessment of cardiovascular risk in chronic kidney disease using anthropometry,2017-12-01,5
2-s2.0-85094570799,Patterns of lifestyle-related behaviors and parents’ overweight are associated with increased body adiposity in schoolchildren: a cross-sectional study in Portugal,2017-12-01,3
2-s2.0-85089428406,Role of vitamin D in insulin resistance in obese individuals,2017-12-01,11
2-s2.0-85084859236,"Effect of the Brazilian iron fortification of wheat and corn flour on the nutritional iron status in adolescents, 6 years after its implementation",2017-12-01,3
2-s2.0-85071710473,Medicinal mushrooms in adjuvant cancer therapies: an approach to anticancer effects and presumed mechanisms of action,2017-12-01,32
2-s2.0-85063761199,The cross-talk between the kidney and the gut: implications for chronic kidney disease,2017-12-01,25
2-s2.0-85063757889,Effects of energy drinks on biochemical and sperm parameters in Wistar rats,2017-12-01,8
2-s2.0-85063255792,Physicochemical characterization and antioxidant activity of decolorized Moringa oleifera Lam leaf flour,2017-12-01,10
2-s2.0-85061220594,"Home food availability, parents’/caregivers’ support, and family meals influence on dietary servings of low-income urban adolescent girls from Brazil",2017-12-01,6
2-s2.0-85058703251,Phase angle is associated with the length of ICU stay in patients with non-ST elevation acute coronary syndrome,2017-12-01,3
2-s2.0-85058684397,"Perceptions of neighborhood environments and their association with overweight in children, adolescents, and caretakers in a medium-sized city in Brazil",2017-12-01,2
2-s2.0-85058041300,The influence of obesity by a diet high in saturated fats and carbohydrates balance in the manifestation of systemic complications and comorbidities,2017-12-01,8
2-s2.0-85057566571,Phytochemical profile and gastroprotective potential of Myrcianthes pungens fruits and leaves,2017-12-01,8
2-s2.0-85057002721,Editorial,2017-12-01,0
2-s2.0-85055820211,Efficacy and safety of intragastric balloon in the treatment of obesity in adolescent females,2017-12-01,2
2-s2.0-85053031905,High C-reactive protein instead of metabolic syndrome is associated with lower bioimpedance phase angle in individuals clinically screened for a lifestyle modification program,2017-12-01,20
2-s2.0-85050366853,Analysis of vaccine coverage against influenza in the State of Minas Gerais Análise da cobertura vacinal contra influenza no Estado de Minas Gerais Análisis de la cobertura de vacuna contra influenza en el Estado de Minas Gerais,2017-12-01,0
2-s2.0-85050318342,Different protein and derivatives supplementation strategies combined with resistance training in pre-frail and frail elderly: Rationale and protocol for the “pro-elderly” study,2017-12-01,8
2-s2.0-85050316532,Probiotic supplementation in sports and physical exercise: Does it present any ergogenic effect?,2017-12-01,25
2-s2.0-85050291532,Pre-season dietary intake of professional soccer players,2017-12-01,24
2-s2.0-85050282216,"Combined exercise training reduces climacteric symptoms without the additive effects of isoflavone supplementation: A clinical, controlled, randomised, double-blind study",2017-12-01,12
2-s2.0-85050268047,Heteropterys tomentosa A. Juss: Toxicological and adaptogenic effects in experimental models,2017-12-01,2
2-s2.0-85050260429,Creatine supplementation elicits greater muscle hypertrophy in upper than lower limbs and trunk in resistance-trained men,2017-12-01,17
2-s2.0-85049595201,"The design and rationale of an interdisciplinary, non-prescriptive, and health at every size®-based clinical trial: The “health and wellness in obesity” study",2017-12-01,8
2-s2.0-85048241770,Aerobic training performed at ventilatory threshold improves liver enzymes and lipid profile related to non-alcoholic fatty liver disease in adolescents with obesity,2017-12-01,23
2-s2.0-85047743863,Feeding difficulties are not associated with higher rates of iron deficiency anemia in Brazilian children and adolescents—cross-sectional study,2017-12-01,1
2-s2.0-85047661545,Caffeine effects on VO2max test outcomes investigated by a placebo perceived-as-caffeine design,2017-12-01,22
2-s2.0-85047089696,Quality of food choices of Brazilian adolescents according to individual earnings,2017-12-01,8
2-s2.0-85044938251,Infectious complications in adult burn patients and antimicrobial resistance pattern of microorganisms isolated Complications infectieuses chez des adultes brûlés et profils de résistance aux antibiotiques des bactéries en cause,2017-12-01,20
2-s2.0-85043340776,Validity of a questionnaire to estimate Vitamin A intake in pregnant women,2017-12-01,0
2-s2.0-85042694879,Adjusting diet-outcome associations for random error: Comparison of associations based on observed and estimated usual intakes,2017-12-01,3
2-s2.0-85042667751,Profit and loss of retirement: Integrative review Ganancias y pérdidas de la jubilación: Revisión integradora,2017-12-01,1
2-s2.0-85042496929,Single nucleotide polymorphisms in carnosinase genes (CNDP1 and CNDP2) are associated with power athletic status,2017-12-01,16
2-s2.0-85041096584,A critical evaluation of quality of life in clinical trials of breast cancer patients treated with radiation therapy,2017-12-01,18
2-s2.0-85040635612,Topical Growth Hormone Accelerates Wound Healing in Mice,2017-12-01,5
2-s2.0-85040095198,"Nutritional management for Alzheimer’s disease in all stages: mild, moderate, and severe",2017-12-01,12
2-s2.0-85039904829,The impact of cranberry (Vaccinium macrocarpon) and cranberry products on each component of the metabolic syndrome: a review,2017-12-01,18
2-s2.0-85039166518,International Survey of Speech-Language Pathologists' Practices in Working with Children with Autism Spectrum Disorder,2017-12-01,41
2-s2.0-85039150089,Stimulation of Executive Functions as Part of the Language Intervention Process in Children with Autism Spectrum Disorder,2017-12-01,7
2-s2.0-85037343299,Nuts and human health outcomes: A systematic review,2017-12-01,200
2-s2.0-85037045430,Effect of gamma-oryzanol as therapeutic agent to prevent cardiorenal metabolic syndrome in animals submitted to high sugar-fat diet,2017-12-01,55
2-s2.0-85037038326,Resveratrol role in autoimmune disease—a mini-review,2017-12-01,104
2-s2.0-85036620716,International consensus on use of continuous glucose monitoring,2017-12-01,1667
2-s2.0-85035358973,A critical review of published research literature reviews on nursing and healthcare ageism,2017-12-01,34
2-s2.0-85034764008,The possibilities and challenges in providing pediatric spiritual care,2017-12-01,25
