eid,subject area code
2-s2.0-85213701588,3306
2-s2.0-85213701588,2701
2-s2.0-85213701588,2916
2-s2.0-85210103938,2701
2-s2.0-85210103938,2916
2-s2.0-85214055121,2701
2-s2.0-85214055121,2917
2-s2.0-85214055121,2914
2-s2.0-85138644930,2701
2-s2.0-85138644930,2917
2-s2.0-85138644930,2914
2-s2.0-85218782120,2900
2-s2.0-85060764642,3306
2-s2.0-85060764642,2910
2-s2.0-85060764642,1211
2-s2.0-85060764642,2719
2-s2.0-85057528631,2701
2-s2.0-85057528631,2916
2-s2.0-85088953657,2916
2-s2.0-85088953657,2739
2-s2.0-85088953657,2701
2-s2.0-85088953657,2712
2-s2.0-85058892682,2900
2-s2.0-85058980202,1106
2-s2.0-85058980202,2916
2-s2.0-85059916812,2910
2-s2.0-85059916812,2701
2-s2.0-85059916812,2739
2-s2.0-85057863973,2921
2-s2.0-85057863973,3601
2-s2.0-85057863973,3203
2-s2.0-85057863973,2738
2-s2.0-85058611963,2701
2-s2.0-85058611963,2916
2-s2.0-85059771744,2921
2-s2.0-85114381781,1106
2-s2.0-85114381781,2916
2-s2.0-85114381781,1303
2-s2.0-85114381781,1314
2-s2.0-85114381781,2712
2-s2.0-85114381781,2739
2-s2.0-85114370468,1106
2-s2.0-85114370468,2916
2-s2.0-85114370468,1303
2-s2.0-85114370468,1314
2-s2.0-85114370468,2712
2-s2.0-85114370468,2739
2-s2.0-85114352249,1106
2-s2.0-85114352249,2916
2-s2.0-85114352249,1303
2-s2.0-85114352249,1314
2-s2.0-85114352249,2712
2-s2.0-85114352249,2739
2-s2.0-85114348997,1106
2-s2.0-85114348997,2916
2-s2.0-85114348997,1303
2-s2.0-85114348997,1314
2-s2.0-85114348997,2712
2-s2.0-85114348997,2739
2-s2.0-85114344872,1106
2-s2.0-85114344872,2916
2-s2.0-85114344872,1303
2-s2.0-85114344872,1314
2-s2.0-85114344872,2712
2-s2.0-85114344872,2739
2-s2.0-85114318615,1106
2-s2.0-85114318615,2916
2-s2.0-85114318615,1303
2-s2.0-85114318615,1314
2-s2.0-85114318615,2712
2-s2.0-85114318615,2739
2-s2.0-85114305858,1106
2-s2.0-85114305858,2712
2-s2.0-85114305858,1303
2-s2.0-85114305858,1314
2-s2.0-85114305858,2916
2-s2.0-85114305858,2739
2-s2.0-85113171358,2900
2-s2.0-85103328403,1106
2-s2.0-85103328403,2916
2-s2.0-85103328403,2712
2-s2.0-85100954350,1106
2-s2.0-85100954350,2712
2-s2.0-85100954350,1303
2-s2.0-85100954350,1314
2-s2.0-85100954350,2916
2-s2.0-85100954350,2739
2-s2.0-85100859553,2900
2-s2.0-85100843927,2900
2-s2.0-85089541451,1106
2-s2.0-85089541451,2712
2-s2.0-85089541451,1303
2-s2.0-85089541451,1314
2-s2.0-85089541451,2916
2-s2.0-85089541451,2739
2-s2.0-85083997232,1106
2-s2.0-85083997232,2916
2-s2.0-85083997232,1303
2-s2.0-85083997232,1314
2-s2.0-85083997232,2712
2-s2.0-85083997232,2739
2-s2.0-85079125037,1106
2-s2.0-85079125037,2916
2-s2.0-85079125037,1303
2-s2.0-85079125037,1314
2-s2.0-85079125037,2712
2-s2.0-85079125037,2739
2-s2.0-85077360140,1106
2-s2.0-85077360140,2712
2-s2.0-85077360140,1303
2-s2.0-85077360140,1314
2-s2.0-85077360140,2916
2-s2.0-85077360140,2739
2-s2.0-85075473106,1106
2-s2.0-85075473106,2916
2-s2.0-85075473106,1303
2-s2.0-85075473106,1314
2-s2.0-85075473106,2712
2-s2.0-85075473106,2739
2-s2.0-85071644560,3200
2-s2.0-85071644560,2806
2-s2.0-85071644560,1105
2-s2.0-85071644560,3300
2-s2.0-85071644560,2921
2-s2.0-85071644560,2805
2-s2.0-85068501934,1106
2-s2.0-85068501934,2916
2-s2.0-85068501934,1303
2-s2.0-85068501934,1314
2-s2.0-85068501934,2712
2-s2.0-85068501934,2739
