eid,title,published date,cited by count
2-s2.0-85213701588,Health policy to address disease-related malnutrition: a scoping review,2024-12-31,2
2-s2.0-85210103938,Prospective association between the Cardiovascular Health Diet Index and subclinical atherosclerosis: the Brazilian Longitudinal Study of Adult Health (ELSA-Brasil) cohort study,2024-12-28,0
2-s2.0-85214055121,Osteonecrosis: photobiomodulation and photodynamic therapy – a systematic review,2024-12-25,1
2-s2.0-85138644930,NIH stroke scale and unfavourable outcomes in acute ischaemic stroke: retrospective study,2024-12-25,3
2-s2.0-85218782120,Analysis of the ‘Rural Nursing’ Concept According to Walker and Avant’s Model Análise do conceito “enfermagem rural” segundo o modelo de Walker e Avant Análisis del concepto de “enfermería rural” según el modelo de Walker y Avant,2024-12-20,0
2-s2.0-85060764642,The Problems of Under-Inclusion in Marine Biodiversity Conservation: the Case of Brazilian Traditional Fishing Communities,2018-12-28,4
2-s2.0-85057528631,Effect of fructo-oligosaccharide supplementation in soya beverage on the intestinal absorption of calcium and iron in newly weaned rats,2018-12-28,10
2-s2.0-85088953657,Promoting healthy eating in primary health care from the perspective of health professionals: A qualitative comparative study in the context of South America,2018-12-27,2
2-s2.0-85058892682,Attitudes of nursing students towards substance users and perceptions about religious/spiritual care,2018-12-20,5
2-s2.0-85058980202,Iron biofortified carioca bean (phaseolus vulgaris L.)—based brazilian diet delivers more absorbable iron and affects the gut microbiota in vivo (gallus gallus),2018-12-13,39
2-s2.0-85059916812,A case report of intramyocardial bridge on right coronary artery Reporte de un caso de puente intramiocárdico en arteria coronaria derecha,2018-12-12,0
2-s2.0-85057863973,"Therapeutic communities in Santa Catarina, Brazil",2018-12-10,2
2-s2.0-85058611963,"Higher dietary magnesium intake is associated with lower body mass index, waist circumference and serum glucose in Mexican adults",2018-12-05,50
2-s2.0-85059771744,Opinions of Hospitalized Patients with Mental Disorders and Patients in Basic Health Units in Brazil Regarding Tobacco Smoking,2018-12-02,2
2-s2.0-85114381781,"Correction to: The action of herbal medicine on the libido: aspects of nutritional intervention in increasing sexual desire (Nutrire, (2017), 42, 1, (29), 10.1186/s41110-017-0051-0)",2018-12-01,1
2-s2.0-85114370468,Is living in the community associated with better nutritional status than living in long-term care facilities?,2018-12-01,0
2-s2.0-85114352249,Nutritional risk in outpatients of a geriatric neuropsychiatry clinic,2018-12-01,0
2-s2.0-85114348997,Brazilian Curcuma longa L. attenuates comorbidities by modulating adipose tissue dysfunction in obese rats,2018-12-01,4
2-s2.0-85114344872,Enteral nutritional therapy of inpatients: clinical and nutritional outcomes,2018-12-01,0
2-s2.0-85114318615,"Correction to: High-fat diet or low-protein diet changes peritoneal macrophages function in mice (Nutrire, (2016), 41, 1, (6), 10.1186/s41110-016-0006-x)",2018-12-01,0
2-s2.0-85114305858,Performance of the Brazilian version of GloboDiet software for dietary intake assessment,2018-12-01,1
2-s2.0-85113171358,Coping strategies used during treatment by patients submitted to hematopoietic stem cell transplantation Estratégias de enfrentamento utilizadas durante o tratamento por pacientes submetidos ao transplante de células-tronco hematopoiéticas Estrategias de afrontamiento utilizadas durante el tratamiento por pacientes sometidos a trasplante de células madre hematopoyéticas,2018-12-01,3
2-s2.0-85103328403,Healthy Eating Index: Assessment of the Diet Quality of a Brazilian Elderly Population,2018-12-01,9
2-s2.0-85100954350,Evaluation of food intake in patients with mucopolysaccharidosis,2018-12-01,4
2-s2.0-85100859553,Professional nursing practice grounded in the theoretical framework of the discipline: Reality or utopia Exercício profissional dos enfermeiros sustentado nos referenciais teóricos da disciplina: Realidade ou utopia Ejercicio profesional de los enfermeros sostenido en los referentes teóricos de la disciplina: Realidad o utopía,2018-12-01,16
2-s2.0-85100843927,Cross-cultural adaptation and validation of the Drug and Drug Problems Perceptions Questionnaire for Brazil Adaptação transcultural e validação do Drug and Drug Problems Perceptions Questionnaire para o contexto brasileiro Adaptación transcultural y validación del Drug and Drug Problems Perceptions Questionnaire para el contexto brasileño,2018-12-01,2
2-s2.0-85089541451,An overview of nutritional strategies for recovery process in sports-related muscle injuries,2018-12-01,14
2-s2.0-85083997232,Low-FODMAP diet in the management of irritable bowel syndrome,2018-12-01,5
2-s2.0-85079125037,"Role of glutamine, as free or dipeptide form, on muscle recovery from resistance training: a review study",2018-12-01,10
2-s2.0-85077360140,Vitamin D3 suppresses the early stages of chemically induced hepatocarcinogenesis in rats: a dose-response analysis,2018-12-01,5
2-s2.0-85075473106,Handgrip strength in end stage of renal disease—a narrative review,2018-12-01,15
2-s2.0-85071644560,Detecting latent safety threats in an interprofessional training that combines in situ simulation with task training in an emergency department,2018-12-01,29
2-s2.0-85068501934,The evolutionary roles of nutrition selection and dietary quality in the human brain size and encephalization,2018-12-01,22
2-s2.0-85066805644,Resistin and visfatin concentrations are related to central obesity and inflammation in Brazilian children,2018-12-01,7
2-s2.0-85064922824,Tools for peristomal skin complications assessment: Integrative review Instrumentos de avaliação das complicações na pele periestoma: Revisão integrativa Instrumentos de evaluación de complicaciones de la piel periestoma: Revisión integradora,2018-12-01,6
2-s2.0-85064915777,Fathers prepared for and committed to their role as companions during the birth process Pai preparado e comprometido em seu papel como acompanhante durante o processo de nascimento Padre preparado y comprometido en su rol de acompañante durante el proceso de parto,2018-12-01,4
2-s2.0-85064910771,Violence against elderly people: A documentary analysis Violência contra idosos: Uma análise documental Violencia contra los ancianos: Un análisis documental,2018-12-01,12
2-s2.0-85064900077,Psychometric indicators of nurses’ knowledge and work in the palliative care of individuals with a malignant wound Indicadores psicométricos do saber e o fazer de enfermeiros nos cuidados paliativos à pessoa com ferida tumoral Indicadores psicométricos del saber y el quehacer de enfermeros en los cuidados paliativos a la persona con herida tumoral,2018-12-01,0
2-s2.0-85063283858,Colon epithelial cells luminal environment and physiopathological consequences: impact of nutrition and exercise,2018-12-01,11
2-s2.0-85062962749,Vitamin D status in the tropics: Is sunlight exposure the main determinant?,2018-12-01,49
2-s2.0-85059430405,Health monitoring and decision-making by older adults,2018-12-01,0
2-s2.0-85059373373,"Twelve years of ISG masterclasses: Past, present, and future",2018-12-01,3
2-s2.0-85059259448,Probiotic supplementation in dental caries: is it possible to replace conventional treatment?,2018-12-01,17
2-s2.0-85059243276,Frailty screening: Inflammatory markers assessment and identification of adverse health factors in hospitalized older adults,2018-12-01,0
2-s2.0-85059241967,Confirmatory factor analysis and reliability of the Burn Specific Health Scale-Revised in Brazilian Burned Patients,2018-12-01,1
2-s2.0-85059138885,"Spirituality, health and well-being in the elderly",2018-12-01,26
2-s2.0-85058902523,Representation of the black woman on the Brazilian ministry of heath advertising posters,2018-12-01,1
2-s2.0-85058879396,Occupational hazards for nursing professionals related to the reuse and single use of the dialyzer,2018-12-01,0
2-s2.0-85058805745,"Outcomes of Embedded Palliative Care Outpatients Initial Consults on Timing of Palliative Care Access, Symptoms, and End-of-Life Quality Care Indicators among Advanced Nonsmall Cell Lung Cancer Patients",2018-12-01,13
2-s2.0-85058677914,Effects of Rudgea viburnoides (Cham.) Benth. (Rubiaceae) Leaves on Metabolic and Inflammatory Dysfunction Induced by High Refined Carbohydrate-Containing Diet in Mice,2018-12-01,4
2-s2.0-85058676069,Biological Characterization of an Edible Species from Brazilian Biodiversity: From Pharmacognostic Data to Ethnopharmacological Investigation,2018-12-01,5
2-s2.0-85058309564,"Intakes of Zinc, Potassium, Calcium, and Magnesium of individuals with type 2 diabetes mellitus and the relationship with glycemic control",2018-12-01,29
2-s2.0-85058002626,Supplementation of Juçara berry (Euterpe edulis mart.) modulates epigenetic markers in monocytes from obese adults: A double-blind randomized trial,2018-12-01,21
2-s2.0-85057562792,Impact of a Telemedicine Network on Neonatal Mortality in a State in Northeast Brazil,2018-12-01,5
2-s2.0-85057136227,"International Clinical Practice Guidelines for Sarcopenia (ICFSR): Screening, Diagnosis and Management",2018-12-01,781
2-s2.0-85056707346,Cannabis use as a risk factor for psychotic-like experiences: A systematic review of non-clinical populations evaluated with the Community Assessment of Psychic Experiences,2018-12-01,29
2-s2.0-85056570237,Reply – Letter to the Editor – Statistically but not clinically significant? Biomarkers in gastric cancer,2018-12-01,0
2-s2.0-85056376640,Diagnostic Accuracy of Bioelectrical Impedance Analysis Parameters for the Evaluation of Malnutrition in Patients Receiving Hemodialysis,2018-12-01,13
2-s2.0-85056334948,Physical activity prevents blood pressure increases in individuals under treatment for knee osteoarthritis,2018-12-01,3
2-s2.0-85056323172,Reproducibility of ambulatory blood pressure after high-intensity interval training sessions in healthy individuals,2018-12-01,2
2-s2.0-85056243316,"PLS, iPLS, GA-PLS models for soluble solids content, pH and acidity determination in intact dovyalis fruit using near-infrared spectroscopy",2018-12-01,22
2-s2.0-85055906280,Factors Associated With Body Image Perception Among Brazilian Students From Low Human Development Index Areas,2018-12-01,13
2-s2.0-85055793196,Palliative care for all? How can Brazil develop a palliative care service founded on principles of equity and access for all?,2018-12-01,6
2-s2.0-85055789400,Mendelian randomization causally link lipoproteins to systemic atherosclerosis and help design clinical trials for the future of lipidology,2018-12-01,2
2-s2.0-85055414622,Protein structure modification and allergenic properties of whey proteins upon interaction with tea and coffee phenolic compounds,2018-12-01,91
2-s2.0-85055188785,ATP in the lateral hypothalamus/perifornical area enhances the CO2 chemoreflex control of breathing,2018-12-01,5
