eid,index,afid,name,domain,url,variants
10-s2.0-60069331,100,60069331,Fleury,fleury.com.br,http://www.fleury.com.br/Pages/Default.aspx,['Fleury']
10-s2.0-116087112,125,116087112,Laboratório de Neuroinfecção,,,['Laboratório de Neuroinfecção']
10-s2.0-116186326,71,116186326,Federal University Hospital of Pará,,,['Federal University Hospital Of Pará']
10-s2.0-116188891,115,116188891,Sao Goncalo Hospital and Clinic,,,['Sao Goncalo Hospital And Clinic']
10-s2.0-60069371,38,60069371,Centro de Ciencias Biologicas da UFPE,ccb.ufpe.br,,['Centro de Ciencias Biologicas da UFPE']
10-s2.0-113622059,70,113622059,Federal University Hospital of Campina Grande,,,"['Federal University Hospital Of Campina Grande', 'Federal University Of Campina Grand']"
10-s2.0-60101671,80,60101671,"Instituto Carlos Chagas, Curitiba",,http://www.icc.fiocruz.br/,"['Instituto Carlos Chagas, Curitiba']"
10-s2.0-110455370,5,110455370,ABC Federal University (UFABC),,,"['Federal University Of Ufabc', 'Federal University Of Abc–ufabc', 'Abc Federal University (ufabc)', 'Federal University Of The Abc (ufabc)']"
10-s2.0-113488943,59,113488943,State University Hospital of Londrina,,,[]
10-s2.0-60100492,101,60100492,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,gov.br,https://www.gov.br/capes/pt-br,"['Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, Brazil']"
10-s2.0-60021980,15,60021980,Universidade de Pernambuco,upe.br,http://www.upe.br/,[]
10-s2.0-60013918,106,60013918,Universidade Federal de Vicosa,ufv.br,https://www.ufv.br/,"['Federal University of Vicosa', 'Universidade Federal de Vicosa', 'Federal University of Viçosa']"
10-s2.0-117120679,135,117120679,Red Bull Brazil Football,,,"['Red Bull Brazil Football', 'Red Bull Brazil', 'Red Bull']"
10-s2.0-60031482,16,60031482,Universidade Federal de Pernambuco,ufpe.br,http://www.ufpe.br/,"['Universidade Federal de Pernambuco', 'Federal University of Pernambuco']"
10-s2.0-60022764,89,60022764,Universidade Federal de Ouro Preto,en.ufop.br,https://en.ufop.br/,"['Federal University of Ouro Preto', 'Universidade Federal de Ouro Preto']"
10-s2.0-60015786,49,60015786,Universidade Federal do Maranhão,portalpadrao.ufma.br,https://portalpadrao.ufma.br/,"['Federal University of Maranhao', 'Universidade Federal do Maranhao', 'Federal University of Maranhão (UFMA)', 'Federal University of Maranhão', 'Universidade Federal do Maranhão']"
10-s2.0-60015043,60,60015043,Universidade Federal do Parana,ufpr.br,https://www.ufpr.br/portalufpr/,"['Federal University of Parana', 'Universidade Federal do Parana', 'Federal University of Paraná (UFPR)', 'Federal University of Paraná']"
10-s2.0-60000590,81,60000590,Universidade Federal de Juiz de Fora,ufjf.br,https://www2.ufjf.br/ufjf/,"['Federal University of Juiz de Fora', 'Universidade Federal de Juiz de Fora', 'Federal University of Juiz de Fora (UFJF)']"
10-s2.0-101025548,128,101025548,CNPq,,,[]
10-s2.0-112471418,0,112471418,Centro Universitário Metodista Izabela Hendrix,,,"['Centro Universitário Metodista Izabela Hendrix', 'Centro Universitário Metodista Izabela Hendrix- Imih', 'Centro Universitário Izabela Hendrix']"
10-s2.0-60026686,10,60026686,Universidade de Cuiaba,unic.br,http://www.unic.br,"['University of Cuiaba', 'Universidade de Cuiaba']"
10-s2.0-116113636,39,116113636,Rua Jacobina,,,['Rua Jacobina']
10-s2.0-60025299,107,60025299,Universidade Federal de Itajubá,unifei.edu.br,https://unifei.edu.br/,"['Federal University of Itajubá', 'Universidade Federal de Itajubá']"
10-s2.0-60028426,48,60028426,Universidade Federal do Espírito Santo,internacional.ufes.br,https://internacional.ufes.br/en/home,"['Federal University of Espirito Santo', 'Universidade Federal do Espirito Santo', 'Federal University of Espírito Santo', 'Federal University of Espírito Santo (Ufes)', 'Universidade Federal do Espírito Santo']"
10-s2.0-60029159,102,60029159,Instituto Nacional de Pesquisas Da Amazonia,gov.br,https://www.gov.br/inpa/pt-br,['Instituto Nacional de Pesquisas Da Amazonia']
10-s2.0-60027866,31,60027866,Universidade Estadual de Londrina,uel.br,http://www.uel.br/portal/english/,"['State University of Londrina', 'Universidade Estadual de Londrina']"
10-s2.0-101424648,91,101424648,Brazilian Medical Association,,,[]
10-s2.0-110039444,116,110039444,Hospital Universitário Terezinha de Jesus,,,[]
10-s2.0-60001865,6,60001865,Universidade Federal Fluminense,uff.br,https://www.uff.br/,"['Fluminense Federal University', 'Universidade Federal Fluminense']"
10-s2.0-60001890,50,60001890,Universidade Federal do Pará,ufpa.br,https://portal.ufpa.br/,"['Federal University of Para', 'Universidade Federal do Para', 'Federal University of Pará', 'Universidade Federal do Pará']"
10-s2.0-116186113,72,116186113,Getúlio Vargas University Hospital of Amazonas,,,['Getúlio Vargas University Hospital Of Amazonas']
10-s2.0-112655451,108,112655451,University Center of the Educational Foundation of Barretos (UNIFEB),,,"['University Center Of The Educational Foundation Of Barretos (unifeb)', 'University Center Of Educational Foundation Of Barretos (unifeb)', 'University Center-educational Foundation Of Barretos (unifeb)', 'University Center Of The Barretos Educational Foundation (unifeb)', 'Educational Foundation Of Barretos (unifeb)', 'University Centre Of The Foundation Of Barretos (unifeb)', 'University Centre Of The Educational Foundation Of Barretos (unifeb)', 'University Center Of The Educational Foundation Of Barretos-unifeb']"
10-s2.0-60005896,82,60005896,Hospital Sirio-Libanês,hospitalsiriolibanes.org.br,http://www.hospitalsiriolibanes.org.br,[]
10-s2.0-114365867,61,114365867,Institute for Children with Diabetes,,,[]
10-s2.0-60069947,25,60069947,Hospital Universitario Antonio Pedro,rede.huap.uff.br,http://rede.huap.uff.br/portal/,['Hospital Universitario Antonio Pedro']
