index,afid,name,domain,url,variants
0,60008088,Universidade de São Paulo,usp.br,https://www5.usp.br/,[]
1,112471418,Centro Universitário Metodista Izabela Hendrix,,,"['Centro Universitário Metodista Izabela Hendrix', 'Centro Universitário Metodista Izabela Hendrix- Imih', 'Centro Universitário Izabela Hendrix']"
2,60030074,Universidade Federal de Minas Gerais,ufmg.br,https://ufmg.br/international-visitors,"['Federal University of Minas Gerais', 'Universidade Federal de Minas Gerais', 'University of Minas Gerais', 'Universidade de Minas Gerais']"
3,60000036,Universidade Federal do Rio de Janeiro,ufrj.br,https://ufrj.br/en/,"['Federal University of Rio de Janeiro', 'Universidade Federal do Rio de Janeiro', 'Cidade Universitária da Universidade Federal do Rio de Janeiro']"
4,60012368,Universidade Estadual de Mato Grosso do Sul,uems.br,,"['State University of Mato Grosso do Sul', 'Universidade Estadual de Mato Grosso do Sul']"
5,60026686,Universidade de Cuiaba,unic.br,http://www.unic.br,"['University of Cuiaba', 'Universidade de Cuiaba']"
6,60029570,Universidade Estadual de Campinas,unicamp.br,https://www.unicamp.br/unicamp/english,"['State University of Campinas', 'Universidade Estadual de Campinas', 'University of Campinas']"
7,60031257,Universidade de Taubate,unitau.br,http://www.unitau.br,"['University of Taubate', 'Universidade de Taubate']"
8,60020457,Universidade Federal do Ceará,,http://www.ufc.br,"['Federal University of Ceara', 'Universidade Federal do Ceara', 'Federal University of Ceará (UFC)', 'Universidade Federal do Ceará']"
9,60021980,Universidade de Pernambuco,upe.br,http://www.upe.br/,[]
10,60031482,Universidade Federal de Pernambuco,ufpe.br,http://www.ufpe.br/,"['Universidade Federal de Pernambuco', 'Federal University of Pernambuco']"
11,60026891,Universidade Estadual da Paraiba,uepb.edu.br,https://uepb.edu.br/,"['State University of Paraiba', 'Universidade Estadual da Paraiba']"
12,60018756,Centro Universitário FMABC,fmabc.br,https://fmabc.br/,"['Centro Universitário FMABC', 'FMABC University Center']"
13,60014992,Universidade Federal de São Paulo,unifesp.br,https://www.unifesp.br/,"['Universidade Federal de São Paulo', 'Federal University of São Paulo']"
14,60033356,Universidade Federal de Santa Maria,ufsm.br,https://www.ufsm.br/,"['Federal University of Santa Maria', 'Universidade Federal de Santa Maria']"
15,60017609,Universidade Federal de Santa Catarina,ufsc.br,https://ufsc.br/,"['Federal University of Santa Catarina', 'Universidade Federal de Santa Catarina', 'Universidade de Santa Catarina']"
16,60001865,Universidade Federal Fluminense,uff.br,https://www.uff.br/,"['Fluminense Federal University', 'Universidade Federal Fluminense']"
17,60008082,Universidade Severino Sombra,uss.br,,"['Severino Sombra University', 'Universidade Severino Sombra']"
18,60028176,Centro Universitario Herminio Ometto,uniararas.br,http://www.uniararas.br,"['Herminio Ometto University Center', 'Centro Universitario Herminio Ometto']"
19,60006028,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",international.unesp.br,https://www.international.unesp.br/,"['UNESP-Universidade Estadual Paulista', 'Universidade Estadual Paulista ""Júlio de Mesquita Filho""', 'São Paulo State University', 'São Paulo State University (UNESP)']"
20,110455370,ABC Federal University (UFABC),,,"['Federal University Of Ufabc', 'Federal University Of Abc–ufabc', 'Abc Federal University (ufabc)', 'Federal University Of The Abc (ufabc)']"
21,60027136,Universidade Federal de Goiás,ufg.br,https://www.ufg.br/,"['Federal University of Goias', 'Universidade Federal de Goias', 'Federal University of Goiás', 'Universidade Federal de Goiás']"
22,114825860,Instituto de Cirurgia Metabólica,,,['Instituto de Cirurgia Metabólica']
23,112932810,Hospital Unique,,,[]
24,60011324,Universidade Federal da Paraíba,ufpb.br,https://www.ufpb.br/,"['Federal University of Paraiba', 'Universidade Federal da Paraiba', 'Federal University of Paraí\xadba (UFPB)', 'Federal University of Paraíba', 'Universidade Federal da Paraíba']"
25,60069336,Instituto Materno Infantil de Pernambuco,imip.org.br,http://www.imip.org.br/,['Instituto Materno Infantil de Pernambuco']
26,113039496,Centro de Estudos do Laboratório de Aptidão Física de São Caetano do Sul,,,[]
27,60028469,Universidade Federal do Estado do Rio de Janeiro,unirio.br,http://www.unirio.br,"['Rio de Janeiro State Federal University', 'Universidade Federal do Estado do Rio de Janeiro', 'Federal University of the State of Rio de Janeiro']"
28,128990766,Clínica da Família Felippe Cardoso,,,['Clínica Da Família Felippe Cardoso']
